,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,AIN,JRE Clips,Joe Rogan & Bill Burr Watch Crazy Bear Videos,392196,JRE Clips,7
1,AIN,JRE Clips,Joe Rogan & Bill Burr Watch Crazy Bear Videos,392196,PowerfulJRE,2
2,AIN,JRE Clips,Joe Rogan & Bill Burr Watch Crazy Bear Videos,392196,LaughPlanet,1
3,AIN,JRE Clips,The Problem with America’s Lab Mice and Why it Should Matter to You,449680,JRE Clips,3
4,AIN,JRE Clips,The Problem with America’s Lab Mice and Why it Should Matter to You,449680,PowerfulJRE,3
5,AIN,JRE Clips,The Problem with America’s Lab Mice and Why it Should Matter to You,449680,Fox News,1
6,AIN,JRE Clips,The Problem with America’s Lab Mice and Why it Should Matter to You,449680,Late Night with Seth Meyers,1
7,AIN,JRE Clips,The Problem with America’s Lab Mice and Why it Should Matter to You,449680,Rebel Wisdom,1
8,AIN,JRE Clips,The Problem with America’s Lab Mice and Why it Should Matter to You,449680,MSNBC,1
9,AIN,Rebel News,OPEN SUMMER CAMP! Doug Ford may keep kids inside this year due to COVID-19,14996,Rebel News,1
10,AIN,Rebel News,OPEN SUMMER CAMP! Doug Ford may keep kids inside this year due to COVID-19,14996,Fox News,6
11,AIN,Rebel News,OPEN SUMMER CAMP! Doug Ford may keep kids inside this year due to COVID-19,14996,Late Night with Seth Meyers,1
12,AIN,Rebel News,OPEN SUMMER CAMP! Doug Ford may keep kids inside this year due to COVID-19,14996,Good Morning America,1
13,AIN,Rebel News,OPEN SUMMER CAMP! Doug Ford may keep kids inside this year due to COVID-19,14996,Yahoo,1
14,AIN,Project Veritas Action,John Podesta Gets Hostile With James O'Keefe Over Hidden Cam Footage,95262,Project Veritas Action,2
15,AIN,Project Veritas Action,John Podesta Gets Hostile With James O'Keefe Over Hidden Cam Footage,95262,Fox News,2
16,AIN,Project Veritas Action,John Podesta Gets Hostile With James O'Keefe Over Hidden Cam Footage,95262,TeleSUR English,1
17,AIN,Project Veritas Action,John Podesta Gets Hostile With James O'Keefe Over Hidden Cam Footage,95262,Gabriel Iglesias,1
18,AIN,Project Veritas Action,John Podesta Gets Hostile With James O'Keefe Over Hidden Cam Footage,95262,FreedomsLighthouse,1
19,AIN,Project Veritas Action,John Podesta Gets Hostile With James O'Keefe Over Hidden Cam Footage,95262,Yahoo,1
20,AIN,Project Veritas Action,John Podesta Gets Hostile With James O'Keefe Over Hidden Cam Footage,95262,Project Veritas,1
21,AIN,Project Veritas Action,John Podesta Gets Hostile With James O'Keefe Over Hidden Cam Footage,95262,Jimmy Carr,1
22,AIN,Mouthy Buddha,BLM Demands Statue Be Taken Down: A Short Documentary,16692,Mouthy Buddha,1
23,AIN,Mouthy Buddha,BLM Demands Statue Be Taken Down: A Short Documentary,16692,Fox News,4
24,AIN,Mouthy Buddha,BLM Demands Statue Be Taken Down: A Short Documentary,16692,Yahoo,2
25,AIN,Mouthy Buddha,BLM Demands Statue Be Taken Down: A Short Documentary,16692,HooverInstitution,1
26,AIN,Mouthy Buddha,BLM Demands Statue Be Taken Down: A Short Documentary,16692,Jocko Podcast,1
27,AIN,Mouthy Buddha,BLM Demands Statue Be Taken Down: A Short Documentary,16692,jimgaffigan,1
28,AIN,Computing Forever,How is This a Thing? 23rd of January 2020,76320,Computing Forever,3
29,AIN,Computing Forever,How is This a Thing? 23rd of January 2020,76320,Yahoo,1
30,AIN,Computing Forever,How is This a Thing? 23rd of January 2020,76320,Fox News,3
31,AIN,Computing Forever,How is This a Thing? 23rd of January 2020,76320,Official Jim Cornette,1
32,AIN,Computing Forever,How is This a Thing? 23rd of January 2020,76320,Jimmy Carr,1
33,AIN,Computing Forever,How is This a Thing? 23rd of January 2020,76320,HooverInstitution,1
34,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,Brittany Sellner,1
35,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,The Aspen Institute,1
36,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,BRIDGES.TV,1
37,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,HooverInstitution,2
38,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,Yahoo,1
39,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,Channel 4 News,1
40,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,John Anderson,1
41,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,The Sun,1
42,AIN,Brittany Sellner,Political Islam With Dr. Bill Warner (Virtue Of The West),11659,Room for Discussion,1
43,AIN,Chris Ray Gun,X-MEN is SEXIST! - Billboard Promotes Violence Against Women,299344,Chris Ray Gun,8
44,AIN,Chris Ray Gun,X-MEN is SEXIST! - Billboard Promotes Violence Against Women,299344,YouTube,1
45,AIN,Chris Ray Gun,X-MEN is SEXIST! - Billboard Promotes Violence Against Women,299344,Fire Films,1
46,AIN,Destiny,Your Outlook on Our Country is PATHETIC - Bryson Gray vs Destiny,100121,Destiny,10
47,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,Lauren Chen,1
48,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,Patriot Act,1
49,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,Lindsay Ellis,1
50,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,Skavlan,1
51,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,Studio 10,1
52,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,PowerfulJRE,2
53,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,Jubilee,1
54,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,Fox News,1
55,AIN,Lauren Chen,Can Men & Women JUST Be Friends?,27767,Channel 4 News,1
56,AIN,StevenCrowder,The Chloroquine Lady Saga: From Leftist Star to HOMICIDE Case! | Louder with Crowder,570929,StevenCrowder,2
57,AIN,StevenCrowder,The Chloroquine Lady Saga: From Leftist Star to HOMICIDE Case! | Louder with Crowder,570929,Fox News,2
58,AIN,StevenCrowder,The Chloroquine Lady Saga: From Leftist Star to HOMICIDE Case! | Louder with Crowder,570929,Gabriel Iglesias,1
59,AIN,StevenCrowder,The Chloroquine Lady Saga: From Leftist Star to HOMICIDE Case! | Louder with Crowder,570929,PowerfulJRE,2
60,AIN,StevenCrowder,The Chloroquine Lady Saga: From Leftist Star to HOMICIDE Case! | Louder with Crowder,570929,Skavlan,1
61,AIN,StevenCrowder,The Chloroquine Lady Saga: From Leftist Star to HOMICIDE Case! | Louder with Crowder,570929,Patriot Act,1
62,AIN,StevenCrowder,The Chloroquine Lady Saga: From Leftist Star to HOMICIDE Case! | Louder with Crowder,570929,Yahoo,1
63,AIN,Rebel News,Single-use plastics are “unnecessary” and “harmful!” Liberals still on track with 2021 ban,14028,Rebel News,1
64,AIN,Rebel News,Single-use plastics are “unnecessary” and “harmful!” Liberals still on track with 2021 ban,14028,J.J. McCullough,1
65,AIN,Rebel News,Single-use plastics are “unnecessary” and “harmful!” Liberals still on track with 2021 ban,14028,Fox News,5
66,AIN,Rebel News,Single-use plastics are “unnecessary” and “harmful!” Liberals still on track with 2021 ban,14028,SpACeFrOoT ENTeRtAinMeNT,1
67,AIN,Rebel News,Single-use plastics are “unnecessary” and “harmful!” Liberals still on track with 2021 ban,14028,Jimmy Carr,1
68,AIN,Rebel News,Single-use plastics are “unnecessary” and “harmful!” Liberals still on track with 2021 ban,14028,Yahoo,1
69,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,SJWCentral,1
70,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,LaughPlanet,1
71,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,George Carlin Official YouTube Channel,1
72,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,Steve Hofstetter,1
73,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,MotleyTV,2
74,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,Jimmy Carr,1
75,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,Studio 10,1
76,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,Good Morning Britain,1
77,AIN,SJWCentral,SJW COMEDIAN FAILS HARD - SJWS OWNED #54,1678769,Jeremy Vine on 5 - Official Channel,1
78,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,Lauren Southern,1
79,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,Sky News,1
80,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,Yahoo,1
81,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,MLive,1
82,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,Fox News,2
83,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,Jimmy Carr,1
84,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,VICE News,1
85,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,VICE,1
86,AIN,Lauren Southern,'Allah Is Gay' - Here's What Happened in Luton,942436,Tallahassee Democrat,1
87,AIN,Coach Red Pill,🔴 Managing Sexually Aggressive Women | Coach Red Pill,85461,Coach Red Pill,4
88,AIN,Coach Red Pill,🔴 Managing Sexually Aggressive Women | Coach Red Pill,85461,Jocko Podcast,1
89,AIN,Coach Red Pill,🔴 Managing Sexually Aggressive Women | Coach Red Pill,85461,21 Studios,1
90,AIN,Coach Red Pill,🔴 Managing Sexually Aggressive Women | Coach Red Pill,85461,Jeremy Vine on 5 - Official Channel,1
91,AIN,Coach Red Pill,🔴 Managing Sexually Aggressive Women | Coach Red Pill,85461,Skavlan,1
92,AIN,Coach Red Pill,🔴 Managing Sexually Aggressive Women | Coach Red Pill,85461,James Jani,1
93,AIN,Coach Red Pill,🔴 Managing Sexually Aggressive Women | Coach Red Pill,85461,Gonzalo Lira,1
94,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,Lauren Chen,1
95,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,LegalEagle,1
96,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,The Critical Drinker,1
97,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,Studio 10,1
98,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,Yahoo,1
99,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,Jubilee,1
100,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,Fox News,1
101,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,PowerfulJRE,2
102,AIN,Lauren Chen,"Hollywood FAILS With Progressive Message: GET WOKE, GO BROKE | Ep 104",284689,ReasonTV,1
103,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,Millennial Woes,2
104,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,British GQ,1
105,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,Manhattan Institute,1
106,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,HooverInstitution,1
107,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,Fox News,1
108,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,Yahoo,1
109,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,Truyện Ma Kinh Dị 2018,1
110,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,Just For Laughs,1
111,AIN,Millennial Woes,Millenniyule 2018: Black-Pilled,22798,abcqanda,1
112,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,StevenCrowder,1
113,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,LastWeekTonight,1
114,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,YouTube,1
115,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,PowerfulJRE,2
116,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,Jimmy Carr,1
117,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,Watson Institute for International and Public Affairs,1
118,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,Studio 10,1
119,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,Yahoo,1
120,AIN,StevenCrowder,REBUTTAL: John Oliver's Healthcare Lies | Louder with Crowder,696313,Fox News,1
121,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,American Renaissance,1
122,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,British GQ,1
123,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,Yahoo,1
124,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,HooverInstitution,2
125,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,Studio 10,1
126,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,Lewis Howes,1
127,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,Fox News,1
128,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,abcqanda,1
129,AIN,American Renaissance,"Richard Spencer: ""Why Do They Hate Us?""",349902,The Auburn Plainsman Online,1
130,AIN,StevenCrowder,Why Labor Day SUCKS! | Louder with Crowder,589001,StevenCrowder,4
131,AIN,StevenCrowder,Why Labor Day SUCKS! | Louder with Crowder,589001,YouTube,1
132,AIN,StevenCrowder,Why Labor Day SUCKS! | Louder with Crowder,589001,PowerfulJRE,1
133,AIN,StevenCrowder,Why Labor Day SUCKS! | Louder with Crowder,589001,American Thought Leaders - The Epoch Times,1
134,AIN,StevenCrowder,Why Labor Day SUCKS! | Louder with Crowder,589001,Fox News,1
135,AIN,StevenCrowder,Why Labor Day SUCKS! | Louder with Crowder,589001,CrowderBits,1
136,AIN,StevenCrowder,Why Labor Day SUCKS! | Louder with Crowder,589001,British GQ,1
137,AIN,MILO,Where MILO Goes for News,19667,MILO,1
138,AIN,MILO,Where MILO Goes for News,19667,Channel 4 News,1
139,AIN,MILO,Where MILO Goes for News,19667,abcqanda,1
140,AIN,MILO,Where MILO Goes for News,19667,The Late Show with Stephen Colbert,1
141,AIN,MILO,Where MILO Goes for News,19667,Fox News,2
142,AIN,MILO,Where MILO Goes for News,19667,Studio 10,1
143,AIN,MILO,Where MILO Goes for News,19667,Jimmy Carr,1
144,AIN,MILO,Where MILO Goes for News,19667,i24NEWS English,1
145,AIN,MILO,Where MILO Goes for News,19667,Gabriel Iglesias,1
146,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,Black Pigeon Speaks,1
147,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,Yahoo,2
148,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,Fox News,1
149,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,Studio 10,1
150,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,HooverInstitution,1
151,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,Jocko Podcast,1
152,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,Jimmy Carr,1
153,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,British GQ,1
154,AIN,Black Pigeon Speaks,Sweden: Censorship Good ✔ Patriarchy Bad ✘,137498,abcqanda,1
155,AIN,Project Veritas,A Message for Jack Dorsey: O'Keefe Teases Next Undercover Twitter Video,56274,Project Veritas,1
156,AIN,Project Veritas,A Message for Jack Dorsey: O'Keefe Teases Next Undercover Twitter Video,56274,CNN Business,1
157,AIN,Project Veritas,A Message for Jack Dorsey: O'Keefe Teases Next Undercover Twitter Video,56274,Yahoo,2
158,AIN,Project Veritas,A Message for Jack Dorsey: O'Keefe Teases Next Undercover Twitter Video,56274,abcqanda,1
159,AIN,Project Veritas,A Message for Jack Dorsey: O'Keefe Teases Next Undercover Twitter Video,56274,Fox News,5
160,AIN,JRE Clips,Dr. Rhonda Patrick Goes In Depth on the Benefits of Vitamin D,1079668,JRE Clips,1
161,AIN,JRE Clips,Dr. Rhonda Patrick Goes In Depth on the Benefits of Vitamin D,1079668,PowerfulJRE,4
162,AIN,JRE Clips,Dr. Rhonda Patrick Goes In Depth on the Benefits of Vitamin D,1079668,FoundMyFitness,1
163,AIN,JRE Clips,Dr. Rhonda Patrick Goes In Depth on the Benefits of Vitamin D,1079668,Dr. John Campbell,1
164,AIN,JRE Clips,Dr. Rhonda Patrick Goes In Depth on the Benefits of Vitamin D,1079668,Jocko Podcast,1
165,AIN,JRE Clips,Dr. Rhonda Patrick Goes In Depth on the Benefits of Vitamin D,1079668,Jimmy Carr,1
166,AIN,JRE Clips,Dr. Rhonda Patrick Goes In Depth on the Benefits of Vitamin D,1079668,Gabriel Iglesias,1
167,AIN,Project Veritas Action,Donald Trump Mentions Project Veritas Action Videos at Third Presidential Debate,30275,Project Veritas Action,1
168,AIN,Project Veritas Action,Donald Trump Mentions Project Veritas Action Videos at Third Presidential Debate,30275,Leo Ashe,1
169,AIN,Project Veritas Action,Donald Trump Mentions Project Veritas Action Videos at Third Presidential Debate,30275,Yahoo,2
170,AIN,Project Veritas Action,Donald Trump Mentions Project Veritas Action Videos at Third Presidential Debate,30275,The Late Show with Stephen Colbert,1
171,AIN,Project Veritas Action,Donald Trump Mentions Project Veritas Action Videos at Third Presidential Debate,30275,Jimmy Carr,1
172,AIN,Project Veritas Action,Donald Trump Mentions Project Veritas Action Videos at Third Presidential Debate,30275,TALKSONLAW,1
173,AIN,Project Veritas Action,Donald Trump Mentions Project Veritas Action Videos at Third Presidential Debate,30275,Fox News,2
174,AIN,Project Veritas Action,Donald Trump Mentions Project Veritas Action Videos at Third Presidential Debate,30275,Gabriel Iglesias,1
175,AIN,Candace Owens,MY BLEXIT - KingFace,15627,Candace Owens,2
176,AIN,Candace Owens,MY BLEXIT - KingFace,15627,Liberty University,1
177,AIN,Candace Owens,MY BLEXIT - KingFace,15627,KUSI News,1
178,AIN,Candace Owens,MY BLEXIT - KingFace,15627,REVOLT TV,1
179,AIN,Candace Owens,MY BLEXIT - KingFace,15627,GrassRoots Community Network,1
180,AIN,Candace Owens,MY BLEXIT - KingFace,15627,Fox News,1
181,AIN,Candace Owens,MY BLEXIT - KingFace,15627,Anthony ONeal,1
182,AIN,Candace Owens,MY BLEXIT - KingFace,15627,Yahoo,1
