,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,AntiSJW,AustralianRealist,"Why Do Women Have Smaller Brains Than Men? ""A Real Scientific Paradox""",11159,AustralianRealist,5
1,AntiSJW,AustralianRealist,"Why Do Women Have Smaller Brains Than Men? ""A Real Scientific Paradox""",11159,Boston Children's Hospital,1
2,AntiSJW,AustralianRealist,"Why Do Women Have Smaller Brains Than Men? ""A Real Scientific Paradox""",11159,VOA Learning English,1
3,AntiSJW,AustralianRealist,"Why Do Women Have Smaller Brains Than Men? ""A Real Scientific Paradox""",11159,Bite-sized Philosophy,1
4,AntiSJW,AustralianRealist,"Why Do Women Have Smaller Brains Than Men? ""A Real Scientific Paradox""",11159,Chomsky's Philosophy,1
5,AntiSJW,AustralianRealist,"Why Do Women Have Smaller Brains Than Men? ""A Real Scientific Paradox""",11159,MovementMaterial,1
6,AntiSJW,Patrick,Victoria banning the words 'boy' and 'girl',38713,Patrick,3
7,AntiSJW,Patrick,Victoria banning the words 'boy' and 'girl',38713,Fox News,1
8,AntiSJW,Patrick,Victoria banning the words 'boy' and 'girl',38713,The Telegraph,1
9,AntiSJW,Patrick,Victoria banning the words 'boy' and 'girl',38713,This Morning,1
10,AntiSJW,Patrick,Victoria banning the words 'boy' and 'girl',38713,Fueled By Ramen,1
11,AntiSJW,Patrick,Victoria banning the words 'boy' and 'girl',38713,Haschak Sisters,1
12,AntiSJW,Patrick,Victoria banning the words 'boy' and 'girl',38713,Universal Music France,1
13,AntiSJW,Patrick,Victoria banning the words 'boy' and 'girl',38713,Good Mythical Morning,1
14,AntiSJW,Blonde in the Belly of the Beast,What's Wrong on the Right?,54409,Blonde in the Belly of the Beast,3
15,AntiSJW,Blonde in the Belly of the Beast,What's Wrong on the Right?,54409,Elex Michaelson,1
16,AntiSJW,Blonde in the Belly of the Beast,What's Wrong on the Right?,54409,Schwarzkopf Professional,1
17,AntiSJW,Blonde in the Belly of the Beast,What's Wrong on the Right?,54409,Sailing La Vagabonde,1
18,AntiSJW,Blonde in the Belly of the Beast,What's Wrong on the Right?,54409,MassResistance,1
19,AntiSJW,Blonde in the Belly of the Beast,What's Wrong on the Right?,54409,ellebangs,1
