,Category,Next Channel,Probability
0,Educational News,Rationality Rules,0.058823529411764705
1,Educational News,YouTube,0.017488076311605722
2,Educational News,The Atheist Experience,0.03815580286168521
3,Educational News,CosmicSkeptic,0.05246422893481717
4,Educational News,Rachel Oates,0.001589825119236884
5,Educational News,Zeducation,0.001589825119236884
6,Educational News,Talk Heathen,0.01589825119236884
7,Educational News,Professor Dave Explains,0.0985691573926868
8,Educational News,Sydney Watson,0.001589825119236884
9,Educational News,TheThinkingAtheist,0.03179650238473768
10,Educational News,Karl Marx,0.003179650238473768
11,Educational News,Center for Inquiry,0.009538950715421303
12,Educational News,FFRF,0.009538950715421303
13,Educational News,AronRa,0.01589825119236884
14,Educational News,Valsyrie,0.003179650238473768
15,Educational News,Bart D. Ehrman,0.012718600953895072
16,Educational News,Mike Licona,0.012718600953895072
17,Educational News,socratesinthecity,0.0047694753577106515
18,Educational News,Bubear56,0.001589825119236884
19,Educational News,Atheist Canada,0.003179650238473768
20,Educational News,ChristopherHitchslap,0.001589825119236884
21,Educational News,Paulogia,0.04133545310015898
22,Educational News,Genetically Modified Skeptic,0.011128775834658187
23,Educational News,Jaden Lindner,0.001589825119236884
24,Educational News,Viced Rhino,0.003179650238473768
25,Educational News,Questioning The Narrative,0.001589825119236884
26,Educational News,TMM,0.001589825119236884
27,Educational News,Andhorhal,0.001589825119236884
28,Educational News,Matt Fradd,0.001589825119236884
29,Educational News,Bishop Robert Barron,0.001589825119236884
30,Educational News,Fixed Point Foundation,0.001589825119236884
31,Educational News,Skeptic,0.034976152623211444
32,Educational News,University of Notre Dame,0.034976152623211444
33,Educational News,Closer To Truth,0.011128775834658187
34,Educational News,NCASVideo,0.003179650238473768
35,Educational News,LiveTalksLA,0.006359300476947536
36,Educational News,The NonSequitur Show,0.0047694753577106515
37,Educational News,Discovery Science,0.001589825119236884
38,Educational News,Talks at Google,0.00794912559618442
39,Educational News,Jimmy Carr,0.011128775834658187
40,Educational News,Official Jim Cornette,0.009538950715421303
41,Educational News,FOCLOnline,0.001589825119236884
42,Educational News,Matt Dillahunty,0.019077901430842606
43,Educational News,BiolaUniversity,0.003179650238473768
44,Educational News,92nd Street Y,0.034976152623211444
45,Educational News,Agatan Foundation,0.003179650238473768
46,Educational News,Charisma on Command,0.006359300476947536
47,Educational News,Matteo Zilli,0.003179650238473768
48,Educational News,TED Archive,0.003179650238473768
49,Educational News,The Late Show with Stephen Colbert,0.009538950715421303
50,Educational News,Beaulah Larkin,0.001589825119236884
51,Educational News,How To Academy,0.001589825119236884
52,Educational News,Josh Gad,0.00794912559618442
53,Educational News,toxpac,0.001589825119236884
54,Educational News,HooverInstitution,0.014308426073131956
55,Educational News,theinfiniteyes,0.001589825119236884
56,Educational News,Channel 4 News,0.001589825119236884
57,Educational News,Muslim Debate Initiative Archive,0.003179650238473768
58,Educational News,Lex Fridman,0.003179650238473768
59,Educational News,GQ,0.003179650238473768
60,Educational News,TheDooo,0.001589825119236884
61,Educational News,UFC - Ultimate Fighting Championship,0.003179650238473768
62,Educational News,Philip DeFranco,0.003179650238473768
63,Educational News,Josh Keefe,0.003179650238473768
64,Educational News,Cuck Philosophy,0.001589825119236884
65,Educational News,PowerfulJRE,0.012718600953895072
66,Educational News,MMA On Point,0.001589825119236884
67,Educational News,azureScapegoat,0.001589825119236884
68,Educational News,Sky News Australia,0.00794912559618442
69,Educational News,Perimeter Institute for Theoretical Physics,0.003179650238473768
70,Educational News,Overlook Horizon,0.001589825119236884
71,Educational News,NASA,0.0047694753577106515
72,Educational News,The Oriental Institute,0.003179650238473768
73,Educational News,Sabine Hossenfelder,0.001589825119236884
74,Educational News,Commonwealth Club,0.001589825119236884
75,Educational News,"Humanists, Atheists, and Agnostics of Manitoba",0.003179650238473768
76,Educational News,Danny Waysted,0.001589825119236884
77,Educational News,space googlevesaire,0.001589825119236884
78,Educational News,The Royal Institution,0.00794912559618442
79,Educational News,Bioneers,0.001589825119236884
80,Educational News,American Museum of Natural History,0.0047694753577106515
81,Educational News,Pioneer Works,0.001589825119236884
82,Educational News,The Middle Way Society,0.001589825119236884
83,Educational News,David GN,0.001589825119236884
84,Educational News,UC Santa Cruz,0.001589825119236884
85,Educational News,Berlin Psychoanalytic,0.001589825119236884
86,Educational News,Intelligence Squared,0.003179650238473768
87,Educational News,Sean Carroll,0.001589825119236884
88,Educational News,Ravi Zacharias International Ministries,0.001589825119236884
89,Educational News,New York Daily News,0.001589825119236884
90,Educational News,WGBHForum,0.003179650238473768
91,Educational News,World Science Festival,0.0047694753577106515
92,Educational News,BBC Documentary,0.001589825119236884
93,Educational News,Christo Aivalis,0.001589825119236884
94,Educational News,9 News Australia,0.001589825119236884
95,Educational News,EAE,0.001589825119236884
96,Educational News,Mr.Within's Gift,0.001589825119236884
97,Educational News,Pop Culture Detective,0.001589825119236884
98,Educational News,The New School,0.003179650238473768
99,Educational News,StarMediaEN,0.003179650238473768
100,Educational News,Anthony Pompliano,0.001589825119236884
101,Educational News,StarTalk,0.001589825119236884
102,Educational News,Gordon Ramsay,0.001589825119236884
103,Educational News,National Constitution Center,0.001589825119236884
104,Educational News,Unbelievable?,0.001589825119236884
105,Educational News,Lewis Howes,0.003179650238473768
106,Educational News,Bret Weinstein,0.001589825119236884
107,Educational News,Tr3Vel0cita,0.003179650238473768
108,Educational News,Ligonier Ministries,0.006359300476947536
109,Educational News,Mark Rober,0.006359300476947536
110,Educational News,Truth Seeker,0.001589825119236884
111,Educational News,agadmator's Chess Channel,0.0047694753577106515
112,Educational News,El Rincón De Giorgio,0.003179650238473768
113,Educational News,Integrating Ethics: From Thought to Action,0.001589825119236884
114,Educational News,jimgaffigan,0.001589825119236884
115,Educational News,truTV,0.003179650238473768
116,Educational News,Gabriel Iglesias,0.001589825119236884
117,Educational News,Goalcast,0.001589825119236884
118,Educational News,Eric Rosen,0.001589825119236884
119,Educational News,The Agenda with Steve Paikin,0.001589825119236884
120,Educational News,TEDx Talks,0.009538950715421303
121,Educational News,Brown University,0.003179650238473768
122,Educational News,The World of Boxing!,0.001589825119236884
123,Educational News,WF Buckley Jr Program,0.001589825119236884
124,Educational News,Gravitahn,0.003179650238473768
125,Educational News,DW Documentary,0.001589825119236884
126,Educational News,John Anderson,0.003179650238473768
127,Educational News,University of California Television (UCTV),0.001589825119236884
128,Educational News,Eckhart Tolle,0.003179650238473768
129,Educational News,Friendly Atheist,0.003179650238473768
130,Educational News,iERA,0.0047694753577106515
131,Educational News,Fire Films,0.001589825119236884
132,Educational News,LaughPlanet,0.0047694753577106515
133,Educational News,Eyewitness News ABC7NY,0.001589825119236884
134,Educational News,Vsauce,0.001589825119236884
135,Educational News,CrashCourse,0.001589825119236884
136,Educational News,The Salvation Army Kroc Center,0.001589825119236884
137,Educational News,Steubenville Conferences,0.001589825119236884
138,Educational News,LastWeekTonight,0.006359300476947536
139,Educational News,Patriot Act,0.001589825119236884
140,Educational News,JW Escape,0.001589825119236884
141,Educational News,The Pondering Primate,0.001589825119236884
142,Educational News,Kings and Generals,0.001589825119236884
143,Educational News,The Pat McAfee Show,0.001589825119236884
144,Educational News,Epic History TV,0.001589825119236884
145,Educational News,La Resistencia en Movistar+,0.001589825119236884
146,Educational News,The Aspen Institute,0.001589825119236884
147,Educational News,PBS NewsHour,0.001589825119236884
148,Educational News,Philosophy Tube,0.003179650238473768
149,Educational News,The People,0.001589825119236884
150,Educational News,Saturday Night Live,0.001589825119236884
151,Educational News,Mississippi Public Broadcasting,0.003179650238473768
152,Educational News,Penguin Random House,0.001589825119236884
153,Educational News,Anders Jacobsson,0.001589825119236884
154,Educational News,Vox Stoica,0.001589825119236884
155,Educational News,Cross Examined,0.001589825119236884
156,Educational News,Late Night with Seth Meyers,0.001589825119236884
157,Educational News,Netflix Is A Joke,0.001589825119236884
158,Educational News,The Veritas Forum,0.001589825119236884
159,Educational News,Answers in Genesis,0.001589825119236884
160,Educational News,WorshipMob,0.001589825119236884
161,Educational News,Christ Community Chapel,0.001589825119236884
162,Educational News,Stanford Graduate School of Business,0.001589825119236884
163,Educational News,Victory Tulsa,0.001589825119236884
164,Educational News,Bethel Music,0.001589825119236884
165,Educational News,miracleofsound,0.001589825119236884
166,Educational News,Holy Koolaid,0.003179650238473768
167,Educational News,BBC Newsnight,0.001589825119236884
168,Educational News,Jordan B Peterson,0.001589825119236884
169,Educational News,Top 5 Best,0.001589825119236884
170,Educational News,Ichigoku,0.001589825119236884
171,Educational News,DarkMatter2525,0.001589825119236884
172,Educational News,Fox News,0.001589825119236884
173,Educational News,WGBH News,0.001589825119236884
174,Educational News,VICE,0.001589825119236884
175,Educational News,Nigel Farage,0.001589825119236884
176,Educational News,John Cedars,0.001589825119236884
177,Educational News,Bob Ross,0.001589825119236884
