,Category,Next Channel,Count
0,AntiWhiteness,ReyRoSho,84
1,AntiWhiteness,TheAlmonteFilms,35
2,AntiWhiteness,HooverInstitution,1
3,AntiWhiteness,The Rubin Report,2
4,AntiWhiteness,The Feels,3
5,AntiWhiteness,Comedy Hype,69
6,AntiWhiteness,Daryl Talks Games,26
7,AntiWhiteness,Cody Ko,34
8,AntiWhiteness,CBC,69
9,AntiWhiteness,Wild 'N Out,130
10,AntiWhiteness,Tina Learns Spanish,1
11,AntiWhiteness,Talks at Google,1
12,AntiWhiteness,HipHopMadness,3
13,AntiWhiteness,Empressive,2
14,AntiWhiteness,Spill,1
15,AntiWhiteness,Trap Lore Ross,34
16,AntiWhiteness,GaryVee TV,1
17,AntiWhiteness,African Diaspora News Channel,62
18,AntiWhiteness,MSNBC,38
19,AntiWhiteness,Jabez,14
20,AntiWhiteness,Good Morning America,6
21,AntiWhiteness,Vox,28
22,AntiWhiteness,Patriot Act,41
23,AntiWhiteness,WCCO - CBS Minnesota,1
24,AntiWhiteness,CNN,17
25,AntiWhiteness,Late Night with Seth Meyers,4
26,AntiWhiteness,Doctor Mike Hansen,1
27,AntiWhiteness,Inside Edition,1
28,AntiWhiteness,theGrio,1
29,AntiWhiteness,NBC News,22
30,AntiWhiteness,YouTube Movies,72
31,AntiWhiteness,The Telegraph,1
32,AntiWhiteness,Skip and Shannon: UNDISPUTED,2
33,AntiWhiteness,Aba & Preach,51
34,AntiWhiteness,Noisey,38
35,AntiWhiteness,TRT World,9
36,AntiWhiteness,Odd Salon,6
37,AntiWhiteness,Breakfast Club Power 105.1 FM,220
38,AntiWhiteness,MTV News,39
39,AntiWhiteness,GQ,8
40,AntiWhiteness,VIBE Magazine,1
41,AntiWhiteness,Chicago Humanities Festival,58
42,AntiWhiteness,Emory University,20
43,AntiWhiteness,OWN,6
44,AntiWhiteness,REVOLT TV,20
45,AntiWhiteness,eNCA,1
46,AntiWhiteness,FOX 13 News - Tampa Bay,3
47,AntiWhiteness,Discovery Science,4
48,AntiWhiteness,Roland S. Martin,20
49,AntiWhiteness,All Def,1
50,AntiWhiteness,HOOD POLITICS,1
51,AntiWhiteness,Dwayne N Jazz,3
52,AntiWhiteness,John L. Brooks,2
53,AntiWhiteness,ABC News,3
54,AntiWhiteness,Voicetv Nigeria,3
55,AntiWhiteness,ABC13 Houston,15
56,AntiWhiteness,Democracy Now!,1
57,AntiWhiteness,WLWT,3
58,AntiWhiteness,Blakademik TV,1
59,AntiWhiteness,Reveal,1
60,AntiWhiteness,Desus & Mero,2
61,AntiWhiteness,First We Feast,4
62,AntiWhiteness,SM East Harbinger,8
63,AntiWhiteness,BBC Three,3
64,AntiWhiteness,1453malcolmx,1
65,AntiWhiteness,HOT 97,2
66,AntiWhiteness,Jubilee,3
67,AntiWhiteness,BlackySpeakz,1
68,AntiWhiteness,Strombo,3
69,AntiWhiteness,MTV Vault,1
70,AntiWhiteness,CashNastyPlays,1
71,AntiWhiteness,TODAY,2
72,AntiWhiteness,Rocky Mountain PBS,1
73,AntiWhiteness,BuzzFeed UK,1
74,AntiWhiteness,CGTN America,1
75,AntiWhiteness,Starbucks Coffee,1
76,AntiWhiteness,A&E,15
77,AntiWhiteness,TYT's The Conversation,1
78,AntiWhiteness,The Atlantic,7
79,AntiWhiteness,WYCC PBS Chicago,9
80,AntiWhiteness,Brown University,29
81,AntiWhiteness,WIRED UK,1
82,AntiWhiteness,The Dick Cavett Show,5
83,AntiWhiteness,CBC News,29
84,AntiWhiteness,Paternity Court,20
85,AntiWhiteness,The Young Turks,5
86,AntiWhiteness,Jeff Wittek,6
87,AntiWhiteness,VICE,3
88,AntiWhiteness,JJ Olatunji,32
89,AntiWhiteness,Washington Post,4
90,AntiWhiteness,Divorce Court,2
91,AntiWhiteness,BlastphamousHD TV2,1
92,AntiWhiteness,JoshDub,1
93,AntiWhiteness,djvlad,5
94,AntiWhiteness,WatchMojo.com,1
95,AntiWhiteness,Joshy,1
96,AntiWhiteness,NELK,10
97,AntiWhiteness,Complex,1
98,AntiWhiteness,Carmelo Anthony,2
99,AntiWhiteness,Fox News,19
100,AntiWhiteness,Reuters,5
101,AntiWhiteness,CBC Sports,1
102,AntiWhiteness,Tallahassee Democrat,1
103,AntiWhiteness,News4JAX,4
104,AntiWhiteness,VH1 Love & Hip Hop,9
105,AntiWhiteness,Kenny Beats,1
106,AntiWhiteness,Click On Detroit | Local 4 | WDIV,2
107,AntiWhiteness,Just For Laughs,2
108,AntiWhiteness,Scott Cramer,1
109,AntiWhiteness,The Kino Corner,3
110,AntiWhiteness,Polo G,3
111,AntiWhiteness,What Would You Do?,22
112,AntiWhiteness,LegalEagle,1
113,AntiWhiteness,Gabriel Iglesias,1
114,AntiWhiteness,Donald Glover,8
115,AntiWhiteness,Tommy Craze,17
116,AntiWhiteness,Lyrical Central,2
117,AntiWhiteness,Movieclips,1
118,AntiWhiteness,The Sun,5
119,AntiWhiteness,cctvuser,6
120,AntiWhiteness,"WKBW TV | Buffalo, NY",5
121,AntiWhiteness,USA TODAY,7
122,AntiWhiteness,NowThis News,28
123,AntiWhiteness,ABC 7 Chicago,1
124,AntiWhiteness,FOX 2 St. Louis,4
125,AntiWhiteness,Beats 1,2
126,AntiWhiteness,LOCAL 12,8
127,AntiWhiteness,LackLuster,1
128,AntiWhiteness,ABC 10 News,4
129,AntiWhiteness,CBSDFW,2
130,AntiWhiteness,True Crime Daily,1
131,AntiWhiteness,inteNsifyCharts,17
132,AntiWhiteness,"Tyler, The Creator",2
133,AntiWhiteness,Eminem Central Music,1
134,AntiWhiteness,Lil Dicky,1
135,AntiWhiteness,Hip-Hop Universe,7
136,AntiWhiteness,New York Post,1
137,AntiWhiteness,Team Coco,1
138,AntiWhiteness,The View,1
139,AntiWhiteness,WPXI-TV News Pittsburgh,4
140,AntiWhiteness,Lyrical Lemonade,5
141,AntiWhiteness,Thomas Petrou,8
142,AntiWhiteness,Abyss16,2
143,AntiWhiteness,Daily Dose Of Internet,3
