,Alt-light,Alt-right,Anti-Theist,Anti-white,Conspiracy,IDW,Libertarian,MRA,Partisan Left,Partisan Right,Religious Conservative,Revolutionary Socialist,Social Justice,Socialist
Alt-light,0.6631098734909171,0.0,0.0,0.0,0.10374387874802432,0.04103712352762241,0.03475886942227569,7.391289862950586e-05,0.039083558741167077,0.10968681480943279,0.0,0.0,0.007959626062675794,0.0005463422992553296
Alt-right,0.0012815676396596709,0.25053490174164184,0.0,0.0,0.002344196599612576,0.14380454662798456,0.5344498939496045,0.0,0.007991451166217715,0.007417236823861665,0.0,0.0,0.05209793792417265,7.826752724477895e-05
Anti-Theist,0.0,0.0,0.8759086586423036,0.0,0.006158631424292243,0.009411724433332644,0.0,0.0,0.07181451949393586,0.002802512736647067,0.0,0.0,0.033903953269488626,0.0
Anti-white,0.0005384771614810628,0.0,0.0,0.3410279165494823,0.0,0.0,0.0,0.0,0.4863300289124838,0.03797459151446819,0.0,0.0,0.1341289858620847,0.0
Conspiracy,0.0,0.0,0.0,0.002538007754944365,0.6491394375016929,0.011599796748756554,0.09957633084204641,0.0,0.03716778397286211,0.1740387188531682,0.0,0.0,0.025175255557826893,0.0007646687687025572
IDW,0.023180798866728247,0.0,0.008170268856409067,0.0,0.00974575965304823,0.9379670183994483,0.005156717606429093,0.0,0.006482116630854944,0.0007958597296189048,0.0,0.0,0.0066207373673048825,0.0018807228901583722
Libertarian,0.0,0.0,0.0,0.0,0.0,0.12960056084713975,0.812752547491709,0.0,0.014329123712182371,0.02194443030239978,0.0,0.0,0.017500279590858175,0.0038730580557109423
MRA,0.011446074866967217,0.0,0.0,0.0,0.08430064034143499,0.17619547462615096,0.04128481600717142,0.4948354640451003,0.023925982561150444,0.03825373444511159,0.0,0.0,0.12975781310691312,0.0
Partisan Left,0.0,0.0,0.0,0.0,0.0034488437381210344,0.0,9.609666277250583e-05,0.0,0.8401660429307843,0.027919149285432435,0.0,0.0,0.12836836784233963,1.4995405500646495e-06
Partisan Right,0.000994424636900176,0.0,0.0,0.0,0.0011821952897227673,7.359854733749806e-05,0.1146161798510121,0.0,0.05747132772921615,0.8208875557718817,0.0,0.0,0.004774718173929656,0.0
Religious Conservative,0.010048016850699226,0.0,0.005843994566216269,0.0,0.0,0.025473198581241925,0.10249533504219673,0.0,0.03908564794584195,0.0857139721329564,0.7248895830779436,0.0,0.006450251802903914,0.0
Revolutionary Socialist,0.0,0.0,0.0,0.0,0.0,0.018661549449983383,0.0033657878848077417,0.0,0.002062965208797309,0.0014402078081713222,0.0,0.9485569859393443,0.010248706122438599,0.01566379758645727
Social Justice,0.0004449372933829965,0.0,0.0,7.58983380379685e-06,0.0017064620529270336,0.001923122313852621,0.00033745266254083304,0.0,0.02421440127470197,0.0020862447522886278,0.0,0.0,0.9550094078939415,0.014270381922560587
Socialist,0.0,0.0,0.0,1.8676898541610632e-05,0.010144319985748726,0.024967138474917314,0.0006739699625873049,0.0,0.05071893918109524,0.001439206152764527,0.0,0.0017022585149349574,0.12082467987589239,0.7895108109535179
