,Steady State Probability
PartisanRight,0.03737866599648787
PartisanLeft,0.009262706197165738
Libertarian,0.006695336457012687
AntiSJW,0.002635544952369366
WhiteIdentitarian,0.028923337577817607
MRA,0.20342524976815038
ReligiousConservative,0.17958037629799695
SocialJustice,0.00041188118342588023
Mainstream News,0.014662474126337779
AntiTheist,1.5653235609415287e-271
StateFunded,0.0
Conspiracy,0.004528186099400219
Educational,0.2598246637954641
Socialist,0.10593865838016356
Provocateur,0.0003613641796355713
LateNightTalkShow,0.001965702812591104
ManoelAltRight,0.09195870107404924
AntiWhiteness,0.013653345126034966
MissingLinkMedia,0.03739507944577802
ManoelAltLite,0.0013987265301097437
