,AIN,AntiSJW,AntiTheist,AntiWhiteness,Conspiracy,Educational,LateNightTalkShow,Libertarian,MRA,Mainstream News,ManoelAltLite,ManoelAltRight,ManoelIDW,MissingLinkMedia,PartisanLeft,PartisanRight,Politician,Provocateur,ReligiousConservative,Revolutionary,SocialJustice,Socialist,StateFunded,TV,WhiteIdentitarian
AIN,0.0863963970597639,0.24727065495708506,0.0031883199752590456,0.0,0.18097801953775805,0.027671122027859152,0.004640448127512026,0.09488050591841299,0.002649607396243204,0.0705090459114449,0.00858749070373366,0.0003534112017151248,0.0140394917408075,0.007304751278612057,0.01794209050988301,0.10621871484228611,0.0,0.00036765740288962256,0.0163319907438447,0.0,0.008761088183442706,0.0007383686704488599,0.0008516096928424465,0.09585726205530518,0.0044619520628507055
AntiSJW,0.0753674832304707,0.3809438962210466,0.051915226475768454,0.0,0.14423975496035665,0.004229153809084211,0.0,0.05248497609074436,0.0007520932121176038,0.020270883491165244,0.01382249332473128,0.05030229542743747,0.007218734869629204,0.0,0.0023060133022928843,0.12956546388813348,0.0,0.0005867755546670966,0.011991361417726278,0.0,0.0027183256870128097,0.0,0.001014901505663675,0.05027016753195207,0.0
AntiTheist,0.0034838797318090704,0.10485843730540635,0.7714530748063292,4.853134640782716e-06,0.011310330921385055,0.027902102389108726,0.0005321898244795645,9.598918837898348e-05,0.0,0.002716480612319774,0.0,0.0,0.028269889482047304,0.00019501997266186763,0.019808594606235106,0.002046256009024952,0.0,0.002814504986193279,0.009343782616782913,0.0,0.0040491021823920266,0.00548770995090976,0.0007022508189888353,0.004925551460906469,0.0
AntiWhiteness,0.0,0.0,0.0,0.2150520728747998,0.0,0.0,0.008023309655457578,0.0,0.0,0.11639936597345031,0.0,0.0,0.0,0.0,0.1529102358867104,0.03852828523799784,0.0,0.1737430086937036,0.0,0.0,0.06441008396520302,0.0,0.004227376442102189,0.22670626127057528,0.0
Conspiracy,0.0,0.000756036253763648,0.0,0.0,0.29400522212305163,0.0003451866015162227,0.0,0.33318689943953617,0.0,0.05806700558676755,0.0008446255263257984,0.0,0.00029469012830395515,0.005631914570548658,0.004036073175562129,0.12464340172460446,0.0,0.0,0.0020049862768926788,0.0,0.043304634994267566,0.0,0.04018749181783718,0.09269183178102237,0.0
Educational,0.00022707049019516623,0.001230068278234234,0.001513964862788222,0.0,0.0,0.6223523602956219,0.010604370922165337,5.672403447222358e-05,0.0,0.0034664427858314274,0.0,0.0,0.0006633042129827898,0.300679580213398,0.02296442704353618,0.00010435198155138274,0.0,0.0,0.0,0.0,0.013731749502241175,6.79548744933003e-06,0.0017744854808159477,0.020624304408716643,0.0
LateNightTalkShow,0.0,0.0,0.0,0.0,0.0,0.0,0.2794523016940719,0.0,0.0,0.015396291574424764,0.0,0.0,0.0,0.0013465522738867316,0.2526784602335682,0.00010426972712175753,0.0,0.0,0.0,0.0,0.11743054318867575,0.0,0.0,0.3335915813082509,0.0
Libertarian,0.008778797055918068,0.10576891480968724,0.0,0.0,0.0,0.0002441013159195768,0.0,0.40320364738315106,0.0,0.06287558346687794,0.007921871074260171,0.0,0.04184029309619347,0.0,0.051124933618883636,0.22544278420932387,0.0009445321619181077,0.0018320754570867405,0.0005376866688120713,0.0,5.4537089690998054e-05,0.0,0.01630521443047805,0.07312502816179899,0.0
MRA,0.0071569796680938874,0.10854482434408932,0.0,0.0,0.027247917397947057,0.014365851042372162,0.0,0.1157349073419905,0.2599990198233276,0.08689892479788329,0.0010391264458724273,0.0,0.021177581868361876,0.0,0.029634140607238336,0.05578716288657457,0.0,0.0,0.03453870211685356,0.0,0.06551377610478387,0.0,0.0927433027639491,0.0796177827906624,0.0
Mainstream News,0.0,0.0,0.0,0.02075377951250999,0.0,0.008328548814190194,0.0068369690140139714,0.0,0.0,0.34164692513142714,0.0,0.0,0.0,0.001536188083112063,0.1247421634290755,0.13425562941923988,0.0,0.0,0.0,0.0,0.0302042591017861,0.0,0.04462176125279101,0.28707377624185415,0.0
ManoelAltLite,0.051786496492491806,0.07002578242917386,0.0,0.0022254319951900818,0.02432587927404076,0.0008699353999471619,0.0020093819283644233,0.15342871496158142,0.0007537488316171205,0.09204373203075325,0.02802703175228783,0.0,0.013987627567598164,0.01231239398527095,0.09728643201569753,0.31346209690941057,0.0,0.016103089396975,0.0010479250410409568,0.0,0.001393958079201674,0.0,0.0022516879404438158,0.10796964727169579,0.008689006697217857
ManoelAltRight,0.01801045954864565,0.08347991225014836,0.0,0.0,6.0006236713783037e-05,0.0004057420444631837,0.0,0.3343842243982029,0.0,0.108058557612003,0.0,0.17750105881118186,0.005452660035611772,0.0,6.061159597445172e-05,0.15988256938381917,0.0,0.0,2.09227294468613e-05,0.0,0.003769950465721797,0.0,0.023034600897611578,0.04119170872715421,0.04468701526330139
ManoelIDW,0.06863253065866107,0.18182089115674463,0.0020020563263387207,0.0,0.05576897935424866,0.015489915273188277,0.0,0.11492769502535129,0.0,0.04179299844820693,0.0,0.0,0.25670304867605426,0.00015829340568020202,0.012669837999346735,0.04292323924955208,0.0,0.0013353557394469235,0.13783869112211009,0.0,0.019437618456474036,0.0,0.03540104927247852,0.013097799836117594,0.0
MissingLinkMedia,0.0,0.0003994380614237709,0.0,0.0,0.0,0.3864588412533691,0.007967152117464077,0.019042762142667927,0.0,0.0901045270833344,0.0,0.0,0.0,0.14563081571089145,0.01560996418988968,0.0488269049194031,0.0,0.0,0.0433469106343774,0.0,0.14203109373117148,0.0,0.0024737347611278023,0.0981078553948798,0.0
PartisanLeft,0.0,0.0031456807599320492,9.839106917139181e-05,0.00015192638902722494,0.0033667385721296624,0.0007076029569979395,0.31493126661650983,0.0018045563366803088,0.0,0.022211127569789803,0.0,0.0,0.0,0.000786537645108906,0.09169654353733611,0.0009102796474319699,0.0,0.0,0.0,0.0,0.43930905716866947,0.002291813477501517,0.002290888367025405,0.1162975898866884,0.0
