,Category,Next Channel,Probability
0,Educational News,Edge of Wonder,0.09322033898305085
1,Educational News,Real Science,0.001694915254237288
2,Educational News,Jordan B Peterson,0.03728813559322034
3,Educational News,SciShow,0.001694915254237288
4,Educational News,RT Documentary,0.001694915254237288
5,Educational News,AMPAMPLIFY,0.001694915254237288
6,Educational News,Lewis Howes,0.00847457627118644
7,Educational News,Hillsdale College,0.01694915254237288
8,Educational News,Moyers & Company,0.023728813559322035
9,Educational News,HooverInstitution,0.11016949152542373
10,Educational News,Kurzgesagt – In a Nutshell,0.001694915254237288
11,Educational News,WatchMojo.com,0.001694915254237288
12,Educational News,PowerfulJRE,0.04745762711864407
13,Educational News,The Oriental Institute,0.00847457627118644
14,Educational News,socratesinthecity,0.006779661016949152
15,Educational News,The Royal Institution,0.006779661016949152
16,Educational News,Josh Gad,0.003389830508474576
17,Educational News,The Real Truth About Health,0.001694915254237288
18,Educational News,Politics and Prose,0.015254237288135594
19,Educational News,vpro documentary,0.023728813559322035
20,Educational News,YouTube Movies,0.006779661016949152
21,Educational News,Canam Missing Project,0.01864406779661017
22,Educational News,Big Buck Registry,0.001694915254237288
23,Educational News,BBC Documentary,0.011864406779661017
24,Educational News,Dr Taylor Marshall,0.001694915254237288
25,Educational News,Learn Liberty,0.010169491525423728
26,Educational News,Fox News,0.030508474576271188
27,Educational News,Talks at Google,0.04406779661016949
28,Educational News,Encore +,0.01694915254237288
29,Educational News,TVO Docs,0.022033898305084745
30,Educational News,Mindvalley Talks,0.01694915254237288
31,Educational News,American Museum of Natural History,0.03389830508474576
32,Educational News,Spark,0.011864406779661017
33,Educational News,World Science Festival,0.010169491525423728
34,Educational News,DW Documentary,0.015254237288135594
35,Educational News,Jason Goodman,0.010169491525423728
36,Educational News,Chicago Humanities Festival,0.005084745762711864
37,Educational News,Brown University,0.005084745762711864
38,Educational News,The 700 Club,0.001694915254237288
39,Educational News,NBCLA,0.003389830508474576
40,Educational News,MSNBC,0.023728813559322035
41,Educational News,The Zero Hour with RJ Eskow,0.005084745762711864
42,Educational News,CBC News,0.003389830508474576
43,Educational News,The New School,0.01694915254237288
44,Educational News,The Intercept,0.006779661016949152
45,Educational News,Mississippi Public Broadcasting,0.001694915254237288
46,Educational News,Rolling Stone,0.010169491525423728
47,Educational News,"Christina Lopes, DPT, MPH",0.001694915254237288
48,Educational News,Higher Self,0.001694915254237288
49,Educational News,Secrets d'Histoire Officiel,0.001694915254237288
50,Educational News,Al Jazeera English,0.001694915254237288
51,Educational News,RubinMuseum,0.001694915254237288
52,Educational News,FOX 13 News Utah,0.006779661016949152
53,Educational News,Valuetainment,0.011864406779661017
54,Educational News,60 Minutes Australia,0.00847457627118644
55,Educational News,TEDx Talks,0.001694915254237288
56,Educational News,BBC Click,0.001694915254237288
57,Educational News,World Affairs,0.001694915254237288
58,Educational News,Futurology,0.001694915254237288
59,Educational News,ScottiesTech.Info,0.001694915254237288
60,Educational News,CNBC,0.001694915254237288
61,Educational News,EdChoice,0.001694915254237288
62,Educational News,Digital Trends,0.001694915254237288
63,Educational News,Jay Myers Documentaries,0.006779661016949152
64,Educational News,Dalhousie University,0.001694915254237288
65,Educational News,KOMO News,0.001694915254237288
66,Educational News,GQ,0.001694915254237288
67,Educational News,VOA News,0.001694915254237288
68,Educational News,OWN,0.001694915254237288
69,Educational News,HELLO! Canada Magazine,0.001694915254237288
70,Educational News,Royal Reviewer,0.003389830508474576
71,Educational News,Entertainment Tonight,0.005084745762711864
72,Educational News,On Demand News,0.001694915254237288
73,Educational News,KTLA 5,0.001694915254237288
74,Educational News,The Royal Family Channel,0.003389830508474576
75,Educational News,Real Royalty,0.001694915254237288
76,Educational News,Global News,0.001694915254237288
77,Educational News,PINKVILLA,0.001694915254237288
78,Educational News,WGBHForum,0.001694915254237288
79,Educational News,Rob Moore,0.001694915254237288
80,Educational News,PeopleTV,0.001694915254237288
81,Educational News,TODAY,0.001694915254237288
82,Educational News,Church Militant,0.001694915254237288
83,Educational News,Closer To Truth,0.003389830508474576
84,Educational News,Sky News Australia,0.001694915254237288
85,Educational News,NBC News,0.020338983050847456
86,Educational News,Victory Tulsa,0.006779661016949152
87,Educational News,1091 ON DEMAND,0.003389830508474576
88,Educational News,Sky News,0.003389830508474576
89,Educational News,VICE Asia,0.001694915254237288
90,Educational News,The Atlantic,0.001694915254237288
91,Educational News,MagellanTV,0.003389830508474576
92,Educational News,KONCRETE,0.001694915254237288
93,Educational News,BuzzFeed Multiplayer,0.001694915254237288
94,Educational News,space and astronomy,0.001694915254237288
95,Educational News,Truthstream Media,0.001694915254237288
96,Educational News,Simulation,0.001694915254237288
97,Educational News,Derek Van Schaik,0.005084745762711864
98,Educational News,Reel Truth History Documentaries,0.001694915254237288
99,Educational News,CNN,0.001694915254237288
100,Educational News,YaleCourses,0.001694915254237288
101,Educational News,NASA,0.003389830508474576
102,Educational News,Spirit Tribe Awakening,0.001694915254237288
103,Educational News,WellesleyCollege,0.00847457627118644
104,Educational News,PBS NewsHour,0.006779661016949152
105,Educational News,CBS News,0.010169491525423728
106,Educational News,Emory University,0.005084745762711864
107,Educational News,Seattle Channel,0.001694915254237288
108,Educational News,Miami Herald,0.001694915254237288
109,Educational News,CNBC Television,0.001694915254237288
110,Educational News,92nd Street Y,0.001694915254237288
111,Educational News,University of California Television (UCTV),0.001694915254237288
112,Educational News,Gapminder Foundation,0.001694915254237288
113,Educational News,Digiday,0.001694915254237288
114,Educational News,Reiki with Anna,0.001694915254237288
115,Educational News,CONTACT in the DESERT,0.001694915254237288
116,Educational News,Life Changing Word,0.001694915254237288
117,Educational News,Levy Economics Institute,0.003389830508474576
118,Educational News,Jocko Podcast,0.001694915254237288
119,Educational News,Christo Aivalis,0.001694915254237288
120,Educational News,Lex Fridman,0.001694915254237288
121,Educational News,FiveThirtyEight,0.001694915254237288
122,Educational News,VICE,0.001694915254237288
123,Educational News,EncourageTV,0.001694915254237288
124,Educational News,WELT Documentary,0.001694915254237288
125,Educational News,offTheLeftEye,0.001694915254237288
126,Educational News,FOX 10 Phoenix,0.001694915254237288
127,Educational News,The University of Melbourne,0.003389830508474576
128,Educational News,LegalEagle,0.003389830508474576
129,Educational News,wocomoDOCS,0.001694915254237288
130,Educational News,Professor Dave Explains,0.001694915254237288
