,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Alt-right,Survive the Jive,Jive Talk: Who is Norse God TYR... A Sky-Father?,11901,Survive the Jive,5
1,Alt-right,Survive the Jive,Jive Talk: Who is Norse God TYR... A Sky-Father?,11901,Jackson Crawford,1
2,Alt-right,Survive the Jive,Jive Talk: Who is Norse God TYR... A Sky-Father?,11901,LoL Mobile Gaming,1
3,Alt-right,Survive the Jive,Jive Talk: Who is Norse God TYR... A Sky-Father?,11901,NCASVideo,1
4,Alt-right,Survive the Jive,Jive Talk: Who is Norse God TYR... A Sky-Father?,11901,Spark,1
5,Alt-right,Survive the Jive,Jive Talk: Who is Norse God TYR... A Sky-Father?,11901,Talks at Google,1
6,Alt-right,American Renaissance,"Marcus Follin: ""The Defense of the West Begins with You""",47100,American Renaissance,2
7,Alt-right,American Renaissance,"Marcus Follin: ""The Defense of the West Begins with You""",47100,HooverInstitution,2
8,Alt-right,American Renaissance,"Marcus Follin: ""The Defense of the West Begins with You""",47100,Institute for Humane Studies,1
9,Alt-right,American Renaissance,"Marcus Follin: ""The Defense of the West Begins with You""",47100,Palaestra Media,1
10,Alt-right,American Renaissance,"Marcus Follin: ""The Defense of the West Begins with You""",47100,Digiday,1
11,Alt-right,American Renaissance,"Marcus Follin: ""The Defense of the West Begins with You""",47100,RECONQUISTA Україна,1
12,Alt-right,American Renaissance,"Marcus Follin: ""The Defense of the West Begins with You""",47100,Wilfred Reilly,1
13,Alt-right,American Renaissance,"Marcus Follin: ""The Defense of the West Begins with You""",47100,KOMO News,1
14,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,Blonde in the Belly of the Beast,1
15,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,Moyers & Company,2
16,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,Project Syndicate,1
17,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,Real Time with Bill Maher,1
18,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,VICE,1
19,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,Steubenville Conferences,1
20,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,KOMO News,1
21,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,TREY the Explainer,1
22,Alt-right,Blonde in the Belly of the Beast,You Can't Sit With Us! | Purity Spirals & Group Cannibalism,30234,HooverInstitution,1
23,Alt-right,On The Offensive,England Belongs To Us | Patriotic Alternative Conference Speech,23361,On The Offensive,1
24,Alt-right,On The Offensive,England Belongs To Us | Patriotic Alternative Conference Speech,23361,Traditional Britain Group,2
25,Alt-right,On The Offensive,England Belongs To Us | Patriotic Alternative Conference Speech,23361,TEDx Talks,1
26,Alt-right,On The Offensive,England Belongs To Us | Patriotic Alternative Conference Speech,23361,Liberty University,2
27,Alt-right,On The Offensive,England Belongs To Us | Patriotic Alternative Conference Speech,23361,Cyber Investing Summit,1
28,Alt-right,On The Offensive,England Belongs To Us | Patriotic Alternative Conference Speech,23361,BiolaUniversity,1
29,Alt-right,On The Offensive,England Belongs To Us | Patriotic Alternative Conference Speech,23361,UnivNantes,1
30,Alt-right,On The Offensive,England Belongs To Us | Patriotic Alternative Conference Speech,23361,Good Morning Britain,1
31,Alt-right,Stefan Molyneux,Jordan Peterson Near Death?!?,84009,Stefan Molyneux,1
32,Alt-right,Stefan Molyneux,Jordan Peterson Near Death?!?,84009,Skavlan,1
33,Alt-right,Stefan Molyneux,Jordan Peterson Near Death?!?,84009,How To Academy,1
34,Alt-right,Stefan Molyneux,Jordan Peterson Near Death?!?,84009,ANU TV,1
35,Alt-right,Stefan Molyneux,Jordan Peterson Near Death?!?,84009,Room for Discussion,1
36,Alt-right,Stefan Molyneux,Jordan Peterson Near Death?!?,84009,Moyers & Company,1
37,Alt-right,Stefan Molyneux,Jordan Peterson Near Death?!?,84009,Jordan B Peterson,1
