,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Anti-Theist,Telltale,"Steven Anderson Uses Shaming, Fear, And Guilt Against His Congregation",50304,Telltale,8
1,Anti-Theist,Telltale,"Steven Anderson Uses Shaming, Fear, And Guilt Against His Congregation",50304,Professor Dave Explains,1
2,Anti-Theist,Telltale,"Steven Anderson Uses Shaming, Fear, And Guilt Against His Congregation",50304,LoL Mobile Gaming,1
3,Anti-Theist,Paulogia,Genetic Entropy. We're all DOOMED! - Creation Today Claims,35626,Paulogia,9
4,Anti-Theist,Paulogia,Genetic Entropy. We're all DOOMED! - Creation Today Claims,35626,Professor Dave Explains,1
5,Anti-Theist,Thunderf00t,Can 1000C Gummy Melt GOLD??,81807,Thunderf00t,8
6,Anti-Theist,Thunderf00t,Can 1000C Gummy Melt GOLD??,81807,Ask Jeff Williams,1
7,Anti-Theist,Thunderf00t,Can 1000C Gummy Melt GOLD??,81807,William Osman,1
8,Anti-Theist,Thunderf00t,MASSIVE Radiation Leak on Russian submarine -BUSTED!,257713,Thunderf00t,9
9,Anti-Theist,Thunderf00t,MASSIVE Radiation Leak on Russian submarine -BUSTED!,257713,Internet Historian,1
10,Anti-Theist,Paulogia,The Devil's in the Dino-Details (feat. Dr. Mary Schweitzer) - (Ken) Ham & AiG News,35559,Paulogia,8
11,Anti-Theist,Paulogia,The Devil's in the Dino-Details (feat. Dr. Mary Schweitzer) - (Ken) Ham & AiG News,35559,YouTube,1
12,Anti-Theist,Paulogia,The Devil's in the Dino-Details (feat. Dr. Mary Schweitzer) - (Ken) Ham & AiG News,35559,Miklos Jako,1
13,Anti-Theist,Thunderf00t,Solar Roadways generate ~10 CENTS per day!!,280314,Thunderf00t,10
14,Anti-Theist,Rachel Oates,Frogmouths are the Coolest Birds Ever,4582,Rachel Oates,4
15,Anti-Theist,Rachel Oates,Frogmouths are the Coolest Birds Ever,4582,vlogbrothers,1
16,Anti-Theist,Rachel Oates,Frogmouths are the Coolest Birds Ever,4582,ssssnakecatcher,1
17,Anti-Theist,Rachel Oates,Frogmouths are the Coolest Birds Ever,4582,BIBY TV,1
18,Anti-Theist,Rachel Oates,Frogmouths are the Coolest Birds Ever,4582,YouTube,1
19,Anti-Theist,Rachel Oates,Frogmouths are the Coolest Birds Ever,4582,Talons and Teeth,1
20,Anti-Theist,Rachel Oates,Frogmouths are the Coolest Birds Ever,4582,Knowing Better,1
21,Anti-Theist,misterdeity,WOTM: God vs. Atheism: Which is More Rational (Part II),14217,misterdeity,9
22,Anti-Theist,misterdeity,WOTM: God vs. Atheism: Which is More Rational (Part II),14217,ReasonableFaithOrg,1
23,Anti-Theist,Rationality Rules,Questions No Atheist Can Answer – Debunked,2023778,Rationality Rules,6
24,Anti-Theist,Rationality Rules,Questions No Atheist Can Answer – Debunked,2023778,The Late Show with Stephen Colbert,1
25,Anti-Theist,Rationality Rules,Questions No Atheist Can Answer – Debunked,2023778,Genetically Modified Skeptic,1
26,Anti-Theist,Rationality Rules,Questions No Atheist Can Answer – Debunked,2023778,YouTube,1
27,Anti-Theist,Rationality Rules,Questions No Atheist Can Answer – Debunked,2023778,SanVic,1
28,Anti-Theist,DarkMatter2525,The Lambaste Supper (with Sagan),601566,DarkMatter2525,9
29,Anti-Theist,DarkMatter2525,The Lambaste Supper (with Sagan),601566,YouTube,1
30,Anti-Theist,misterdeity,WOTM: He's Not The Messiah. He's a Very Naughty Boy.,8360,misterdeity,8
31,Anti-Theist,misterdeity,WOTM: He's Not The Messiah. He's a Very Naughty Boy.,8360,YouTube,1
32,Anti-Theist,misterdeity,WOTM: He's Not The Messiah. He's a Very Naughty Boy.,8360,YouTube Movies,1
33,Anti-Theist,AronRa,So how was Antarctica?,19993,AronRa,4
34,Anti-Theist,AronRa,So how was Antarctica?,19993,TEDx Talks,1
35,Anti-Theist,AronRa,So how was Antarctica?,19993,HISTORY,1
36,Anti-Theist,AronRa,So how was Antarctica?,19993,Spark,1
37,Anti-Theist,AronRa,So how was Antarctica?,19993,PHARRAOH,1
38,Anti-Theist,AronRa,So how was Antarctica?,19993,Big Think,1
39,Anti-Theist,AronRa,So how was Antarctica?,19993,TRACKS,1
40,Anti-Theist,John Cedars,The Montana Appeal - Episode 27 - Watchtower In Focus,33333,John Cedars,7
41,Anti-Theist,John Cedars,The Montana Appeal - Episode 27 - Watchtower In Focus,33333,Official W5,1
42,Anti-Theist,John Cedars,The Montana Appeal - Episode 27 - Watchtower In Focus,33333,The Atheist Experience,2
43,Anti-Theist,John Cedars,Is This the Final Part of the Last Days?,35700,John Cedars,6
44,Anti-Theist,John Cedars,Is This the Final Part of the Last Days?,35700,Ravi Zacharias International Ministries,1
45,Anti-Theist,John Cedars,Is This the Final Part of the Last Days?,35700,The Late Show with Stephen Colbert,1
46,Anti-Theist,John Cedars,Is This the Final Part of the Last Days?,35700,The Church of Almighty God,1
47,Anti-Theist,John Cedars,Is This the Final Part of the Last Days?,35700,Bart D. Ehrman,1
48,Anti-Theist,Paulogia,As Many True Things & As Few Ham Things (feat. Matt Dillahunty) - (Ken) Ham & AiG News,166565,Paulogia,6
49,Anti-Theist,Paulogia,As Many True Things & As Few Ham Things (feat. Matt Dillahunty) - (Ken) Ham & AiG News,166565,The Atheist Experience,1
50,Anti-Theist,Paulogia,As Many True Things & As Few Ham Things (feat. Matt Dillahunty) - (Ken) Ham & AiG News,166565,Professor Dave Explains,1
51,Anti-Theist,Paulogia,As Many True Things & As Few Ham Things (feat. Matt Dillahunty) - (Ken) Ham & AiG News,166565,UK Column,1
52,Anti-Theist,Paulogia,As Many True Things & As Few Ham Things (feat. Matt Dillahunty) - (Ken) Ham & AiG News,166565,Thunderf00t,1
53,Anti-Theist,potholer54,About the Made Easy Series,95565,potholer54,2
54,Anti-Theist,potholer54,About the Made Easy Series,95565,The Late Show with Stephen Colbert,1
55,Anti-Theist,potholer54,About the Made Easy Series,95565,20th Century Studios,1
56,Anti-Theist,potholer54,About the Made Easy Series,95565,LastWeekTonight,2
57,Anti-Theist,potholer54,About the Made Easy Series,95565,Professor Dave Explains,2
58,Anti-Theist,potholer54,About the Made Easy Series,95565,Fox News,1
