,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,African Diaspora News Channel,1
1,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,Emory University,1
2,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,Roland S. Martin,1
3,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,Voicetv Nigeria,1
4,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,Netflix Is A Joke,1
5,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,VisualPolitik EN,1
6,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,Virtue Grace,1
7,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,LastWeekTonight,1
8,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,Odd Salon,1
9,Anti-white,African Diaspora News Channel,Chinese Crew Threw 2 Tanzanian Stowaways Off Ship Into Shark Infested Waters,67721,Channel 4 News,1
10,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,African Diaspora News Channel,1
11,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,africanews,1
12,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,Thomas Frank,1
13,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,Gary Owen,1
14,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,LastWeekTonight,1
15,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,DW Africa,1
16,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,FRANCE 24 English,1
17,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,reelblack,1
18,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,VOA News,1
19,Anti-white,African Diaspora News Channel,The Mzungu Seeks Power,9497,TODAY,1
20,Anti-white,ReyRoSho,Rappers Don't Care About Music Anymore,136288,ReyRoSho,5
21,Anti-white,ReyRoSho,Rappers Don't Care About Music Anymore,136288,Become The Knight,1
22,Anti-white,ReyRoSho,Rappers Don't Care About Music Anymore,136288,TIME,1
23,Anti-white,ReyRoSho,Rappers Don't Care About Music Anymore,136288,Wild 'N Out,1
24,Anti-white,ReyRoSho,Rappers Don't Care About Music Anymore,136288,fantano,1
25,Anti-white,ReyRoSho,Rappers Don't Care About Music Anymore,136288,TheAlmonteFilms,1
26,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,ReyRoSho,1
27,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,ABC News,1
28,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,Unreported World,1
29,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,MTV News,1
30,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,TEDx Talks,1
31,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,NBC News,1
32,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,CBC,1
33,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,TRT World,1
34,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,CNN,1
35,Anti-white,ReyRoSho,Should We Legalize 'Prostitution?',23507,djvlad,1
36,Anti-white,ReyRoSho,Churches Don't Care About Musicians,35675,ReyRoSho,5
37,Anti-white,ReyRoSho,Churches Don't Care About Musicians,35675,LoL Mobile Gaming,1
38,Anti-white,ReyRoSho,Churches Don't Care About Musicians,35675,Gospel Musicians,1
39,Anti-white,ReyRoSho,Churches Don't Care About Musicians,35675,MTV News,1
40,Anti-white,ReyRoSho,Churches Don't Care About Musicians,35675,The CDUB Brand,1
41,Anti-white,ReyRoSho,Churches Don't Care About Musicians,35675,PrettySimpleMusic,1
42,Anti-white,African Diaspora News Channel,Belgium Apologizes for Ki*napping Ch*ldren from Africa,30662,African Diaspora News Channel,1
43,Anti-white,African Diaspora News Channel,Belgium Apologizes for Ki*napping Ch*ldren from Africa,30662,BBC News Africa,1
44,Anti-white,African Diaspora News Channel,Belgium Apologizes for Ki*napping Ch*ldren from Africa,30662,CNN,3
45,Anti-white,African Diaspora News Channel,Belgium Apologizes for Ki*napping Ch*ldren from Africa,30662,Emory University,1
46,Anti-white,African Diaspora News Channel,Belgium Apologizes for Ki*napping Ch*ldren from Africa,30662,MSNBC,1
47,Anti-white,African Diaspora News Channel,Belgium Apologizes for Ki*napping Ch*ldren from Africa,30662,Vox,1
48,Anti-white,African Diaspora News Channel,Belgium Apologizes for Ki*napping Ch*ldren from Africa,30662,Breakfast Club Power 105.1 FM,1
49,Anti-white,African Diaspora News Channel,Belgium Apologizes for Ki*napping Ch*ldren from Africa,30662,Channel 4 News,1
50,Anti-white,African Diaspora News Channel,Ukrainian Karen Calls 911 On Sista For Sitting Down On A Bench In Her Own Neighborhood,595807,African Diaspora News Channel,1
