,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Conspiracy,SGTreport,THEY HATE TRUMP BECAUSE HE DEMOLISHED THEIR NARRATIVE -- Mike Krieger,72389,SGTreport,2
1,Conspiracy,SGTreport,THEY HATE TRUMP BECAUSE HE DEMOLISHED THEIR NARRATIVE -- Mike Krieger,72389,Yahoo,2
2,Conspiracy,SGTreport,THEY HATE TRUMP BECAUSE HE DEMOLISHED THEIR NARRATIVE -- Mike Krieger,72389,Real Vision Finance,1
3,Conspiracy,SGTreport,THEY HATE TRUMP BECAUSE HE DEMOLISHED THEIR NARRATIVE -- Mike Krieger,72389,Moyers & Company,1
4,Conspiracy,SGTreport,THEY HATE TRUMP BECAUSE HE DEMOLISHED THEIR NARRATIVE -- Mike Krieger,72389,Fox News,2
5,Conspiracy,SGTreport,THEY HATE TRUMP BECAUSE HE DEMOLISHED THEIR NARRATIVE -- Mike Krieger,72389,HooverInstitution,2
6,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,American Intelligence Media,1
7,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,HooverInstitution,1
8,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,Kurzgesagt – In a Nutshell,2
9,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,metaRising,1
10,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,CrashCourse,1
11,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,Real Vision Finance,1
12,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,Physics Videos by Eugene Khutoryansky,1
13,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,The Chopra Well,1
14,Conspiracy,American Intelligence Media,Mystery of Seven and the Nature of Reality,15358,Moyers & Company,1
15,Conspiracy,DAHBOO77,A Shocking 17 Million Americans Have Filed for Unemployment In Past 3 Weeks,18824,DAHBOO77,1
16,Conspiracy,DAHBOO77,A Shocking 17 Million Americans Have Filed for Unemployment In Past 3 Weeks,18824,ABC 10 News,1
17,Conspiracy,DAHBOO77,A Shocking 17 Million Americans Have Filed for Unemployment In Past 3 Weeks,18824,Washington Post,1
18,Conspiracy,DAHBOO77,A Shocking 17 Million Americans Have Filed for Unemployment In Past 3 Weeks,18824,NBC News,1
19,Conspiracy,DAHBOO77,A Shocking 17 Million Americans Have Filed for Unemployment In Past 3 Weeks,18824,WPTV News - FL Palm Beaches and Treasure Coast,1
20,Conspiracy,DAHBOO77,A Shocking 17 Million Americans Have Filed for Unemployment In Past 3 Weeks,18824,Sky News Australia,1
21,Conspiracy,DAHBOO77,A Shocking 17 Million Americans Have Filed for Unemployment In Past 3 Weeks,18824,Jack Chapple,1
22,Conspiracy,DAHBOO77,A Shocking 17 Million Americans Have Filed for Unemployment In Past 3 Weeks,18824,Fox News,3
23,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,ChangeDaChannel,1
24,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,Fox News,1
25,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,DØVYDAS,1
26,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,Black Piano,1
27,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,America's Got Talent,1
28,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,SonicScoop,1
29,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,Mako Funasaka,1
30,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,Fueled By Ramen,1
31,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,CNBC,1
32,Conspiracy,ChangeDaChannel,Feeling It (CDC Production),1140,Bert ツ,1
33,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,Matthew North,1
34,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,YIVO Institute for Jewish Research,1
35,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,Christ Community Chapel,1
36,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,Digiday,1
37,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,Christiaan008,1
38,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,NCASVideo,1
39,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,Jeremy Bennett,1
40,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,Henry Abramson,1
41,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,CBC,1
42,Conspiracy,Matthew North,How The Jews Infiltrated The Illuminati & Vatican Sabbatai Zevi Jacob Frank & The Rothschilds,14502,Vsauce,1
43,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,ChangeDaChannel,1
44,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,Digiday,1
45,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,Nick Cannon,1
46,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,Recording Academy - Membership,1
47,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,ChrisFix,1
48,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,"Toy, Gadget and Product Reviews by Dad Does",1
49,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,Sales Insights Lab by Marc Wayshak,1
50,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,60 Minutes Australia,1
51,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,The Guardian,1
52,Conspiracy,ChangeDaChannel,"Spying, Closed Door Deals, Ban Everything (BOSS414)",2771,Amexem,1
53,Conspiracy,The Moore Show,Life-Between-Lives Regressions to reconnect with guides to help reconnect with our divine purpose,7034,The Moore Show,1
54,Conspiracy,The Moore Show,Life-Between-Lives Regressions to reconnect with guides to help reconnect with our divine purpose,7034,Mindvalley Talks,1
55,Conspiracy,The Moore Show,Life-Between-Lives Regressions to reconnect with guides to help reconnect with our divine purpose,7034,TVO Docs,1
56,Conspiracy,The Moore Show,Life-Between-Lives Regressions to reconnect with guides to help reconnect with our divine purpose,7034,BuzzFeed Multiplayer,1
