,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,IDW,Connors Conquest,BuzzFeed Does Flat Earth Theory,3728,Connors Conquest,1
1,IDW,Connors Conquest,BuzzFeed Does Flat Earth Theory,3728,LastWeekTonight,2
2,IDW,Connors Conquest,BuzzFeed Does Flat Earth Theory,3728,Digiday,1
3,IDW,Connors Conquest,BuzzFeed Does Flat Earth Theory,3728,BuzzFeedVideo,2
4,IDW,Connors Conquest,BuzzFeed Does Flat Earth Theory,3728,Yahoo,1
5,IDW,Connors Conquest,BuzzFeed Does Flat Earth Theory,3728,Life Noggin,1
6,IDW,Connors Conquest,BuzzFeed Does Flat Earth Theory,3728,Fox News,2
7,IDW,AIU-Resurrection,🔵 Black Child Charged With Assault For Playing Dodgeball,32326,AIU-Resurrection,6
8,IDW,AIU-Resurrection,🔵 Black Child Charged With Assault For Playing Dodgeball,32326,LastWeekTonight,1
9,IDW,AIU-Resurrection,🔵 Black Child Charged With Assault For Playing Dodgeball,32326,The Amazing Lucas,1
10,IDW,AIU-Resurrection,🔵 Black Child Charged With Assault For Playing Dodgeball,32326,TYT Sports,1
11,IDW,AIU-Resurrection,🔵 Black Child Charged With Assault For Playing Dodgeball,32326,Atheism-is-Unstoppable,1
12,IDW,Jordan B Peterson Clips,The True Meaning of Sacrifice | Jordan B Peterson,7514,Jordan B Peterson Clips,6
13,IDW,Jordan B Peterson Clips,The True Meaning of Sacrifice | Jordan B Peterson,7514,Jordan B Peterson,1
14,IDW,Jordan B Peterson Clips,The True Meaning of Sacrifice | Jordan B Peterson,7514,Bite-sized Philosophy,1
15,IDW,Jordan B Peterson Clips,The True Meaning of Sacrifice | Jordan B Peterson,7514,MULLIGAN BROTHERS INTERVIEWS,1
16,IDW,Jordan B Peterson Clips,The True Meaning of Sacrifice | Jordan B Peterson,7514,ManOfAllCreation,1
17,IDW,Ben Shapiro Thug Life,Ben Shapiro Thug Life - DePaul University Ban,20909,Ben Shapiro Thug Life,6
18,IDW,Ben Shapiro Thug Life,Ben Shapiro Thug Life - DePaul University Ban,20909,PowerfulJRE,1
19,IDW,Ben Shapiro Thug Life,Ben Shapiro Thug Life - DePaul University Ban,20909,YAFTV,1
20,IDW,Ben Shapiro Thug Life,Ben Shapiro Thug Life - DePaul University Ban,20909,Zane,1
21,IDW,Ben Shapiro Thug Life,Ben Shapiro Thug Life - DePaul University Ban,20909,fakeengineer,1
22,IDW,JaclynGlenn,Atheists Have NO Morals,177120,JaclynGlenn,8
23,IDW,JaclynGlenn,Atheists Have NO Morals,177120,Felepa Opinions,1
24,IDW,JaclynGlenn,Atheists Have NO Morals,177120,The Point with Ana Kasparian,1
25,IDW,The Free Speech Club,Jordan Peterson Predicts The Riots,306077,The Free Speech Club,2
26,IDW,The Free Speech Club,Jordan Peterson Predicts The Riots,306077,Jordan B Peterson,1
27,IDW,The Free Speech Club,Jordan Peterson Predicts The Riots,306077,The Aspen Institute,1
28,IDW,The Free Speech Club,Jordan Peterson Predicts The Riots,306077,PowerfulJRE,1
29,IDW,The Free Speech Club,Jordan Peterson Predicts The Riots,306077,Bite-sized Philosophy,2
30,IDW,The Free Speech Club,Jordan Peterson Predicts The Riots,306077,The Delve,1
31,IDW,The Free Speech Club,Jordan Peterson Predicts The Riots,306077,Motivation Madness,1
32,IDW,The Free Speech Club,Jordan Peterson Predicts The Riots,306077,Gravitahn,1
33,IDW,Shoe & Skeptic,reading crazy comments,1056202,Shoe & Skeptic,6
34,IDW,Shoe & Skeptic,reading crazy comments,1056202,Shoe0nHead,3
35,IDW,Shoe & Skeptic,reading crazy comments,1056202,Armoured Media,1
36,IDW,The Amazing Lucas,Breonna Taylor TARGETED by POLICE,62483,The Amazing Lucas,3
37,IDW,The Amazing Lucas,Breonna Taylor TARGETED by POLICE,62483,WHAS11,1
38,IDW,The Amazing Lucas,Breonna Taylor TARGETED by POLICE,62483,The View,1
39,IDW,The Amazing Lucas,Breonna Taylor TARGETED by POLICE,62483,NBC News,1
40,IDW,The Amazing Lucas,Breonna Taylor TARGETED by POLICE,62483,Rickey Smiley,1
41,IDW,The Amazing Lucas,Breonna Taylor TARGETED by POLICE,62483,SiriusXM,1
42,IDW,The Amazing Lucas,Breonna Taylor TARGETED by POLICE,62483,The Officer Tatum,1
43,IDW,The Amazing Lucas,Breonna Taylor TARGETED by POLICE,62483,Netflix Is A Joke,1
44,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,ToolTime,1
45,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,Pepsi,1
46,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,Jesus Culture,1
47,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,ESFI,1
48,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,Entertainment Tonight,1
49,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,Jordan B Peterson,1
50,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,The Jim Henson Company,1
51,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,MSNBC,1
52,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,ThePrint,1
53,IDW,ToolTime,Flashback: Age 22 (2006-07),2290,British GQ,1
54,IDW,Clash of Ideas,Jordan Peterson On PTSD,3856,Clash of Ideas,1
55,IDW,Clash of Ideas,Jordan Peterson On PTSD,3856,video knowingship,1
56,IDW,Clash of Ideas,Jordan Peterson On PTSD,3856,Vania Manolova,1
57,IDW,Clash of Ideas,Jordan Peterson On PTSD,3856,Jordan B Peterson,3
58,IDW,Clash of Ideas,Jordan Peterson On PTSD,3856,THE BESTS,1
59,IDW,Clash of Ideas,Jordan Peterson On PTSD,3856,TEDx Talks,1
60,IDW,Clash of Ideas,Jordan Peterson On PTSD,3856,Daily Dose Of Deepness,1
61,IDW,Clash of Ideas,Jordan Peterson On PTSD,3856,Bite-sized Philosophy,1
62,IDW,Eric Weinstein,"Daniel Schmachtenberger on The Portal (with host Eric Weinstein), Ep. #027 - On Avoiding Apocalypses",197058,Eric Weinstein,7
63,IDW,Eric Weinstein,"Daniel Schmachtenberger on The Portal (with host Eric Weinstein), Ep. #027 - On Avoiding Apocalypses",197058,Tomorrow's World,1
64,IDW,Eric Weinstein,"Daniel Schmachtenberger on The Portal (with host Eric Weinstein), Ep. #027 - On Avoiding Apocalypses",197058,Lex Fridman,1
65,IDW,Eric Weinstein,"Daniel Schmachtenberger on The Portal (with host Eric Weinstein), Ep. #027 - On Avoiding Apocalypses",197058,The Rubin Report,1
66,IDW,Skeptic,Michael Shermer with Nicholas A. Christakis — Blueprint: The Evolutionary Origins of a Good Society,6599,Skeptic,6
67,IDW,Skeptic,Michael Shermer with Nicholas A. Christakis — Blueprint: The Evolutionary Origins of a Good Society,6599,The Rubin Report,1
68,IDW,Skeptic,Michael Shermer with Nicholas A. Christakis — Blueprint: The Evolutionary Origins of a Good Society,6599,YouTube,1
69,IDW,Skeptic,Michael Shermer with Nicholas A. Christakis — Blueprint: The Evolutionary Origins of a Good Society,6599,TED,1
70,IDW,Skeptic,Michael Shermer with Nicholas A. Christakis — Blueprint: The Evolutionary Origins of a Good Society,6599,ALOUDla,1
71,IDW,Bearing,The Prince Andrew Defence (part 1),132166,Bearing,3
72,IDW,Bearing,The Prince Andrew Defence (part 1),132166,ERB,1
73,IDW,Bearing,The Prince Andrew Defence (part 1),132166,Channel 4,1
74,IDW,Bearing,The Prince Andrew Defence (part 1),132166,Lindsay Ellis,1
75,IDW,Bearing,The Prince Andrew Defence (part 1),132166,PowerfulJRE,1
76,IDW,Bearing,The Prince Andrew Defence (part 1),132166,Jordan B Peterson,1
77,IDW,Bearing,The Prince Andrew Defence (part 1),132166,The Straits Times,1
78,IDW,Bearing,The Prince Andrew Defence (part 1),132166,George Carlin Official YouTube Channel,1
79,IDW,Bite-sized Philosophy,Jordan Peterson - Why Young Men are Hungry for Responsibility,48624,Bite-sized Philosophy,7
80,IDW,Bite-sized Philosophy,Jordan Peterson - Why Young Men are Hungry for Responsibility,48624,Alex Swan,1
81,IDW,Bite-sized Philosophy,Jordan Peterson - Why Young Men are Hungry for Responsibility,48624,buckomania,1
82,IDW,Bite-sized Philosophy,Jordan Peterson - Why Young Men are Hungry for Responsibility,48624,ABC News In-depth,1
83,IDW,Raging Golden Eagle,Blade Devil Q&A while Minecrafting,4325,Raging Golden Eagle,4
84,IDW,Raging Golden Eagle,Blade Devil Q&A while Minecrafting,4325,Stealth,1
85,IDW,Raging Golden Eagle,Blade Devil Q&A while Minecrafting,4325,HVACR VIDEOS,1
86,IDW,Raging Golden Eagle,Blade Devil Q&A while Minecrafting,4325,Jordan B Peterson,4
87,IDW,Tomorrow's World Viewpoint,Epigenetics: How the Habits of Fathers Are Passed Onto Children,32471,Tomorrow's World Viewpoint,2
