,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,MRA,karen straughan,My thoughts re Chris Cantwell,32000,karen straughan,3
1,MRA,karen straughan,My thoughts re Chris Cantwell,32000,TEDx Talks,1
2,MRA,karen straughan,My thoughts re Chris Cantwell,32000,BigSpeak Speakers Bureau,1
3,MRA,karen straughan,My thoughts re Chris Cantwell,32000,Gravitahn,1
4,MRA,karen straughan,My thoughts re Chris Cantwell,32000,Digiday,1
5,MRA,karen straughan,My thoughts re Chris Cantwell,32000,ReasonTV,1
6,MRA,karen straughan,My thoughts re Chris Cantwell,32000,Coleman Hughes,1
7,MRA,karen straughan,My thoughts re Chris Cantwell,32000,American Enterprise Institute,1
8,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,An Ear for Men,1
9,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,92nd Street Y,1
10,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,Matt Leighton,2
11,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,Justice for Men & Boys,1
12,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,Kim Saeed,1
13,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,Cassie Jaye,1
14,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,How To Academy,1
15,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,GeenStijl,1
16,MRA,An Ear for Men,Destroy a Man NOW Regarding Men #37,7797,Mike Winger,1
17,MRA,Terrence Popp,No Booze or Sex Allowed | Live From The Lair,15545,Terrence Popp,5
18,MRA,Terrence Popp,No Booze or Sex Allowed | Live From The Lair,15545,Motivation Madness,1
19,MRA,Terrence Popp,No Booze or Sex Allowed | Live From The Lair,15545,George Carlin Official YouTube Channel,1
20,MRA,Terrence Popp,No Booze or Sex Allowed | Live From The Lair,15545,21 Studios,1
21,MRA,Terrence Popp,No Booze or Sex Allowed | Live From The Lair,15545,Gravitahn,1
22,MRA,Terrence Popp,No Booze or Sex Allowed | Live From The Lair,15545,Jordan B Peterson,1
23,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,BASSFZz,1
24,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,HooverInstitution,2
25,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,Fox News,1
26,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,Channel 4 News,1
27,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,George Carlin Official YouTube Channel,1
28,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,Official Jim Cornette,1
29,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,21 Studios,1
30,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,PowerfulJRE,1
31,MRA,BASSFZz,Thoughts on The Skeptic Community,7708,Gabriel Iglesias,1
32,MRA,Independent Man,Don't Apologise,28550,Independent Man,3
33,MRA,Independent Man,Don't Apologise,28550,The Delve,1
34,MRA,Independent Man,Don't Apologise,28550,HooverInstitution,2
35,MRA,Independent Man,Don't Apologise,28550,Jeremy Vine on 5 - Official Channel,1
36,MRA,Independent Man,Don't Apologise,28550,Fox News,1
37,MRA,Independent Man,Don't Apologise,28550,Charisma on Command,1
38,MRA,Independent Man,Don't Apologise,28550,Jordan B Peterson,1
39,MRA,Terrence Popp,"Divorced at 30, Invisible by 40 | Live From The Lair",55007,Terrence Popp,7
40,MRA,Terrence Popp,"Divorced at 30, Invisible by 40 | Live From The Lair",55007,This Morning,1
41,MRA,Terrence Popp,"Divorced at 30, Invisible by 40 | Live From The Lair",55007,PowerfulJRE,1
42,MRA,Terrence Popp,"Divorced at 30, Invisible by 40 | Live From The Lair",55007,Real Engineering,1
43,MRA,Coach Red Pill,🔴 The Peaks of Men's and Women's Attractiveness | COACH RED PILL,153009,Coach Red Pill,7
44,MRA,Coach Red Pill,🔴 The Peaks of Men's and Women's Attractiveness | COACH RED PILL,153009,21 Studios,1
45,MRA,Coach Red Pill,🔴 The Peaks of Men's and Women's Attractiveness | COACH RED PILL,153009,Better Bachelor,1
46,MRA,Coach Red Pill,🔴 The Peaks of Men's and Women's Attractiveness | COACH RED PILL,153009,TVO Docs,1
47,MRA,Sandman,Locker Room Girls - MGTOW,12478,Sandman,1
48,MRA,Sandman,Locker Room Girls - MGTOW,12478,Fox News,3
49,MRA,Sandman,Locker Room Girls - MGTOW,12478,Charisma on Command,1
50,MRA,Sandman,Locker Room Girls - MGTOW,12478,Motivation Madness,1
51,MRA,Sandman,Locker Room Girls - MGTOW,12478,Anne Reburn,1
52,MRA,Sandman,Locker Room Girls - MGTOW,12478,The School of Life,1
53,MRA,Sandman,Locker Room Girls - MGTOW,12478,WordToTheWise,1
54,MRA,Sandman,Locker Room Girls - MGTOW,12478,Gabriel Iglesias,1
