,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Partisan Left,Niko House & The MCSC Network,TRUMP ISSUES AN EXECUTIVE ORDER AGAINST TWITTER AFTER THE COMPANY CENSORS HIS TWEETS,1093,Niko House & The MCSC Network,1
1,Partisan Left,Niko House & The MCSC Network,TRUMP ISSUES AN EXECUTIVE ORDER AGAINST TWITTER AFTER THE COMPANY CENSORS HIS TWEETS,1093,CBC News,1
2,Partisan Left,Niko House & The MCSC Network,TRUMP ISSUES AN EXECUTIVE ORDER AGAINST TWITTER AFTER THE COMPANY CENSORS HIS TWEETS,1093,The Late Show with Stephen Colbert,1
3,Partisan Left,Niko House & The MCSC Network,TRUMP ISSUES AN EXECUTIVE ORDER AGAINST TWITTER AFTER THE COMPANY CENSORS HIS TWEETS,1093,LastWeekTonight,2
4,Partisan Left,Niko House & The MCSC Network,TRUMP ISSUES AN EXECUTIVE ORDER AGAINST TWITTER AFTER THE COMPANY CENSORS HIS TWEETS,1093,Late Night with Seth Meyers,1
5,Partisan Left,Niko House & The MCSC Network,TRUMP ISSUES AN EXECUTIVE ORDER AGAINST TWITTER AFTER THE COMPANY CENSORS HIS TWEETS,1093,Fox News,2
6,Partisan Left,Niko House & The MCSC Network,TRUMP ISSUES AN EXECUTIVE ORDER AGAINST TWITTER AFTER THE COMPANY CENSORS HIS TWEETS,1093,CNN,1
7,Partisan Left,Niko House & The MCSC Network,TRUMP ISSUES AN EXECUTIVE ORDER AGAINST TWITTER AFTER THE COMPANY CENSORS HIS TWEETS,1093,Crossroads with JOSHUA PHILIPP,1
8,Partisan Left,The Late Show with Stephen Colbert,Amy Sedaris Breaks Out The Craft Bin And Catches Up With Stephen Colbert,179340,The Late Show with Stephen Colbert,7
9,Partisan Left,The Late Show with Stephen Colbert,Amy Sedaris Breaks Out The Craft Bin And Catches Up With Stephen Colbert,179340,Watch What Happens Live with Andy Cohen,1
10,Partisan Left,The Late Show with Stephen Colbert,Amy Sedaris Breaks Out The Craft Bin And Catches Up With Stephen Colbert,179340,New York Magazine,1
11,Partisan Left,The Late Show with Stephen Colbert,Amy Sedaris Breaks Out The Craft Bin And Catches Up With Stephen Colbert,179340,Late Night with Seth Meyers,1
12,Partisan Left,Niko House & The MCSC Network,"Fmr. Green Party Candidate Ian Schlakman Details The Party's Effort To ""Anoint"" Howie Hawkins",1577,Niko House & The MCSC Network,3
13,Partisan Left,Niko House & The MCSC Network,"Fmr. Green Party Candidate Ian Schlakman Details The Party's Effort To ""Anoint"" Howie Hawkins",1577,The NOWMAN Show on The Arroyo Channel,1
14,Partisan Left,Niko House & The MCSC Network,"Fmr. Green Party Candidate Ian Schlakman Details The Party's Effort To ""Anoint"" Howie Hawkins",1577,Rolling Stone,1
15,Partisan Left,Niko House & The MCSC Network,"Fmr. Green Party Candidate Ian Schlakman Details The Party's Effort To ""Anoint"" Howie Hawkins",1577,Howie Hawkins,1
16,Partisan Left,Niko House & The MCSC Network,"Fmr. Green Party Candidate Ian Schlakman Details The Party's Effort To ""Anoint"" Howie Hawkins",1577,LastWeekTonight,2
