,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Partisan Right,Gotcha News Network,FISA WARRANT FOR CARTER PAGE REALLY ABOUT TARGETING TRUMP! DOJ IN POCKET OF DEMS!,2823,Gotcha News Network,1
1,Partisan Right,Gotcha News Network,FISA WARRANT FOR CARTER PAGE REALLY ABOUT TARGETING TRUMP! DOJ IN POCKET OF DEMS!,2823,Late Night with Seth Meyers,1
2,Partisan Right,Gotcha News Network,FISA WARRANT FOR CARTER PAGE REALLY ABOUT TARGETING TRUMP! DOJ IN POCKET OF DEMS!,2823,LastWeekTonight,3
3,Partisan Right,Gotcha News Network,FISA WARRANT FOR CARTER PAGE REALLY ABOUT TARGETING TRUMP! DOJ IN POCKET OF DEMS!,2823,The Late Show with Stephen Colbert,1
4,Partisan Right,Gotcha News Network,FISA WARRANT FOR CARTER PAGE REALLY ABOUT TARGETING TRUMP! DOJ IN POCKET OF DEMS!,2823,MSNBC,2
5,Partisan Right,Gotcha News Network,FISA WARRANT FOR CARTER PAGE REALLY ABOUT TARGETING TRUMP! DOJ IN POCKET OF DEMS!,2823,Fox News,2
6,Partisan Right,Fox News Insider,McCarthy: How Long Has Mueller Known There Was No Trump-Russia Collusion?,7383,Fox News Insider,3
7,Partisan Right,Fox News Insider,McCarthy: How Long Has Mueller Known There Was No Trump-Russia Collusion?,7383,Fox News,4
8,Partisan Right,Fox News Insider,McCarthy: How Long Has Mueller Known There Was No Trump-Russia Collusion?,7383,LastWeekTonight,1
9,Partisan Right,Fox News Insider,McCarthy: How Long Has Mueller Known There Was No Trump-Russia Collusion?,7383,Fox Business,1
10,Partisan Right,Fox News Insider,McCarthy: How Long Has Mueller Known There Was No Trump-Russia Collusion?,7383,Liberty Forum,1
11,Partisan Right,The Heritage Foundation,Navigating Through the Storm: Strategies for Resilient Organizations,414,The Heritage Foundation,2
12,Partisan Right,The Heritage Foundation,Navigating Through the Storm: Strategies for Resilient Organizations,414,McMaster Humanities,1
13,Partisan Right,The Heritage Foundation,Navigating Through the Storm: Strategies for Resilient Organizations,414,HooverInstitution,2
14,Partisan Right,The Heritage Foundation,Navigating Through the Storm: Strategies for Resilient Organizations,414,Free To Choose Network,1
15,Partisan Right,The Heritage Foundation,Navigating Through the Storm: Strategies for Resilient Organizations,414,Fox News,1
16,Partisan Right,The Heritage Foundation,Navigating Through the Storm: Strategies for Resilient Organizations,414,Digiday,1
17,Partisan Right,The Heritage Foundation,Navigating Through the Storm: Strategies for Resilient Organizations,414,abcqanda,1
18,Partisan Right,The Heritage Foundation,Navigating Through the Storm: Strategies for Resilient Organizations,414,Bloomberg QuickTake Originals,1
19,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,OpenMind,1
20,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,Fox News,1
21,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,Eckhart Tolle,1
22,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,TEDx Talks,2
23,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,ABC Science,1
24,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,Yahoo,1
25,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,Real Vision Finance,1
26,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,ABC News In-depth,1
27,Partisan Right,OpenMind,How to avoid negative thinking during coronavirus,1200,LastWeekTonight,1
28,Partisan Right,Project Veritas Action,"Bill O'Reilly and Charles Krauthammer Discuss ""Donald Ducks"" Project Veritas Action Video",18294,Project Veritas Action,1
29,Partisan Right,Project Veritas Action,"Bill O'Reilly and Charles Krauthammer Discuss ""Donald Ducks"" Project Veritas Action Video",18294,Fox News,7
30,Partisan Right,Project Veritas Action,"Bill O'Reilly and Charles Krauthammer Discuss ""Donald Ducks"" Project Veritas Action Video",18294,The Late Show with Stephen Colbert,1
31,Partisan Right,Project Veritas Action,"Bill O'Reilly and Charles Krauthammer Discuss ""Donald Ducks"" Project Veritas Action Video",18294,Fox Business,1
32,Partisan Right,Townhall Media,Lawsuits Over Anti-Gun Orders Growing Almost As Fast As Coronavirus Cases,7015,Townhall Media,4
33,Partisan Right,Townhall Media,Lawsuits Over Anti-Gun Orders Growing Almost As Fast As Coronavirus Cases,7015,Al Jazeera English,1
34,Partisan Right,Townhall Media,Lawsuits Over Anti-Gun Orders Growing Almost As Fast As Coronavirus Cases,7015,NRA,1
35,Partisan Right,Townhall Media,Lawsuits Over Anti-Gun Orders Growing Almost As Fast As Coronavirus Cases,7015,Real Time with Bill Maher,1
36,Partisan Right,Townhall Media,Lawsuits Over Anti-Gun Orders Growing Almost As Fast As Coronavirus Cases,7015,Fox News,2
37,Partisan Right,Townhall Media,Lawsuits Over Anti-Gun Orders Growing Almost As Fast As Coronavirus Cases,7015,CBS Los Angeles,1
38,Partisan Right,Chad Prather,The Problem with 'Gropey' Joe Biden,5263,Chad Prather,4
39,Partisan Right,Chad Prather,The Problem with 'Gropey' Joe Biden,5263,Fox News Insider,1
40,Partisan Right,Chad Prather,The Problem with 'Gropey' Joe Biden,5263,Fox News,3
41,Partisan Right,Chad Prather,The Problem with 'Gropey' Joe Biden,5263,Gabriel Iglesias,1
42,Partisan Right,Chad Prather,The Problem with 'Gropey' Joe Biden,5263,JoeRyanCivilWar,1
43,Partisan Right,Diamond and Silk - The Viewers View,Live: President Donald J. Trump and Coronavirus Task Force Hold Briefing 4-6-20,11306,Diamond and Silk - The Viewers View,1
44,Partisan Right,Diamond and Silk - The Viewers View,Live: President Donald J. Trump and Coronavirus Task Force Hold Briefing 4-6-20,11306,Fox News,6
45,Partisan Right,Diamond and Silk - The Viewers View,Live: President Donald J. Trump and Coronavirus Task Force Hold Briefing 4-6-20,11306,Fox Business,1
46,Partisan Right,Diamond and Silk - The Viewers View,Live: President Donald J. Trump and Coronavirus Task Force Hold Briefing 4-6-20,11306,FOX 10 Phoenix,1
47,Partisan Right,Diamond and Silk - The Viewers View,Live: President Donald J. Trump and Coronavirus Task Force Hold Briefing 4-6-20,11306,CBC News: The National,1
