,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Politician,Andrew Yang,Not the First | Andrew Yang for President,141062,Andrew Yang,9
1,Politician,Andrew Yang,Not the First | Andrew Yang for President,141062,Make Good,1
2,Politician,Andrew Yang,Andrew Yang - One Emergency,82468,Andrew Yang,9
3,Politician,Andrew Yang,Andrew Yang - One Emergency,82468,john biglow,1
4,Politician,Andrew Yang,Andrew Yang on the Opioid Crisis - Ohio #DemDebate,71696,Andrew Yang,3
5,Politician,Andrew Yang,Andrew Yang on the Opioid Crisis - Ohio #DemDebate,71696,The Zach and Matt Show,2
6,Politician,Andrew Yang,Andrew Yang on the Opioid Crisis - Ohio #DemDebate,71696,NBC New York,2
7,Politician,Andrew Yang,Andrew Yang on the Opioid Crisis - Ohio #DemDebate,71696,Fox News,1
8,Politician,Andrew Yang,Andrew Yang on the Opioid Crisis - Ohio #DemDebate,71696,GuntherSnaps,1
9,Politician,Andrew Yang,Andrew Yang on the Opioid Crisis - Ohio #DemDebate,71696,The Hill,1
10,Politician,GOP War Room,"Sen Tim Scott Denounces Biden’s “Arrogant, Outrageous” Comments: “Who The Heck Does He Think He Is”",12041,GOP War Room,1
11,Politician,GOP War Room,"Sen Tim Scott Denounces Biden’s “Arrogant, Outrageous” Comments: “Who The Heck Does He Think He Is”",12041,ABC News,1
12,Politician,GOP War Room,"Sen Tim Scott Denounces Biden’s “Arrogant, Outrageous” Comments: “Who The Heck Does He Think He Is”",12041,Liberty University,1
13,Politician,GOP War Room,"Sen Tim Scott Denounces Biden’s “Arrogant, Outrageous” Comments: “Who The Heck Does He Think He Is”",12041,Fox News,3
14,Politician,GOP War Room,"Sen Tim Scott Denounces Biden’s “Arrogant, Outrageous” Comments: “Who The Heck Does He Think He Is”",12041,Washington Post,1
15,Politician,GOP War Room,"Sen Tim Scott Denounces Biden’s “Arrogant, Outrageous” Comments: “Who The Heck Does He Think He Is”",12041,Fox Business,2
16,Politician,GOP War Room,"Sen Tim Scott Denounces Biden’s “Arrogant, Outrageous” Comments: “Who The Heck Does He Think He Is”",12041,Trump War Room,1
17,Politician,RonPaulLibertyReport,"Gold Soars To $1,650: Blame Coronavirus, Or The Fed?",13491,RonPaulLibertyReport,1
18,Politician,RonPaulLibertyReport,"Gold Soars To $1,650: Blame Coronavirus, Or The Fed?",13491,Fox News,2
19,Politician,RonPaulLibertyReport,"Gold Soars To $1,650: Blame Coronavirus, Or The Fed?",13491,NBC News,3
20,Politician,RonPaulLibertyReport,"Gold Soars To $1,650: Blame Coronavirus, Or The Fed?",13491,ABC News,1
21,Politician,RonPaulLibertyReport,"Gold Soars To $1,650: Blame Coronavirus, Or The Fed?",13491,Commonwealth Club,1
22,Politician,RonPaulLibertyReport,"Gold Soars To $1,650: Blame Coronavirus, Or The Fed?",13491,Late Night with Seth Meyers,1
23,Politician,RonPaulLibertyReport,"Gold Soars To $1,650: Blame Coronavirus, Or The Fed?",13491,CBC News: The National,1
24,Politician,Andrew Yang,Yang Vs. Trump,22186,Andrew Yang,7
25,Politician,Andrew Yang,Yang Vs. Trump,22186,NBC New York,1
26,Politician,Andrew Yang,Yang Vs. Trump,22186,CBS News,1
27,Politician,Andrew Yang,Yang Vs. Trump,22186,The Zach and Matt Show,1
28,Politician,RonPaulLibertyReport,Is It Time To End The Shutdown?,24366,RonPaulLibertyReport,1
29,Politician,RonPaulLibertyReport,Is It Time To End The Shutdown?,24366,Fox News,1
30,Politician,RonPaulLibertyReport,Is It Time To End The Shutdown?,24366,NBC News,2
31,Politician,RonPaulLibertyReport,Is It Time To End The Shutdown?,24366,Patriot Act,1
32,Politician,RonPaulLibertyReport,Is It Time To End The Shutdown?,24366,HooverInstitution,1
33,Politician,RonPaulLibertyReport,Is It Time To End The Shutdown?,24366,Gabriel Iglesias,1
34,Politician,RonPaulLibertyReport,Is It Time To End The Shutdown?,24366,Liberty University,1
