,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Religious Conservative,ThePatriotNurse,What Happened in Michigan Today. Fasting and Prayer Tomorrow,67981,ThePatriotNurse,6
1,Religious Conservative,ThePatriotNurse,What Happened in Michigan Today. Fasting and Prayer Tomorrow,67981,SensiblePrepper,1
2,Religious Conservative,ThePatriotNurse,What Happened in Michigan Today. Fasting and Prayer Tomorrow,67981,VikingPreparedness,1
3,Religious Conservative,ThePatriotNurse,What Happened in Michigan Today. Fasting and Prayer Tomorrow,67981,Real Vision Finance,1
4,Religious Conservative,ThePatriotNurse,What Happened in Michigan Today. Fasting and Prayer Tomorrow,67981,Yahoo,1
5,Religious Conservative,Girl Defined,"To the Girl Feeling Weary, Worthless, and Unwanted | Girl Defined",9617,Girl Defined,4
6,Religious Conservative,Girl Defined,"To the Girl Feeling Weary, Worthless, and Unwanted | Girl Defined",9617,B Haney,1
7,Religious Conservative,Girl Defined,"To the Girl Feeling Weary, Worthless, and Unwanted | Girl Defined",9617,AMY LEE,1
8,Religious Conservative,Girl Defined,"To the Girl Feeling Weary, Worthless, and Unwanted | Girl Defined",9617,Paul and Morgan,1
9,Religious Conservative,Girl Defined,"To the Girl Feeling Weary, Worthless, and Unwanted | Girl Defined",9617,YouTube,1
10,Religious Conservative,Girl Defined,"To the Girl Feeling Weary, Worthless, and Unwanted | Girl Defined",9617,God is Grey,1
11,Religious Conservative,Girl Defined,"To the Girl Feeling Weary, Worthless, and Unwanted | Girl Defined",9617,johnbcrist,1
12,Religious Conservative,Conversations with Bill Kristol,Nicholas Eberstadt: Understanding North Korea,11378,Conversations with Bill Kristol,6
13,Religious Conservative,Conversations with Bill Kristol,Nicholas Eberstadt: Understanding North Korea,11378,Brookings Institution,1
14,Religious Conservative,Conversations with Bill Kristol,Nicholas Eberstadt: Understanding North Korea,11378,The Wheatley Institution,1
15,Religious Conservative,Conversations with Bill Kristol,Nicholas Eberstadt: Understanding North Korea,11378,YaleUniversity,1
16,Religious Conservative,Conversations with Bill Kristol,Nicholas Eberstadt: Understanding North Korea,11378,Program on Constitutional Government at Harvard,1
17,Religious Conservative,Allie Beth Stuckey,"Raising the Dead, Speaking in Tongues, & Bethel Church | Ep 246",17439,Allie Beth Stuckey,7
18,Religious Conservative,Allie Beth Stuckey,"Raising the Dead, Speaking in Tongues, & Bethel Church | Ep 246",17439,American Gospel,1
19,Religious Conservative,Allie Beth Stuckey,"Raising the Dead, Speaking in Tongues, & Bethel Church | Ep 246",17439,Doreen Virtue,1
20,Religious Conservative,Allie Beth Stuckey,"Raising the Dead, Speaking in Tongues, & Bethel Church | Ep 246",17439,Ligonier Ministries,1
21,Religious Conservative,TheJohnBirchSociety,Lecture 1: The Dangers of Democracy | The Constitution Is The Solution!,2791,TheJohnBirchSociety,2
22,Religious Conservative,TheJohnBirchSociety,Lecture 1: The Dangers of Democracy | The Constitution Is The Solution!,2791,Free Speech TV,1
23,Religious Conservative,TheJohnBirchSociety,Lecture 1: The Dangers of Democracy | The Constitution Is The Solution!,2791,Donald MacLeay,1
24,Religious Conservative,TheJohnBirchSociety,Lecture 1: The Dangers of Democracy | The Constitution Is The Solution!,2791,HooverInstitution,3
25,Religious Conservative,TheJohnBirchSociety,Lecture 1: The Dangers of Democracy | The Constitution Is The Solution!,2791,YaleCourses,1
26,Religious Conservative,TheJohnBirchSociety,Lecture 1: The Dangers of Democracy | The Constitution Is The Solution!,2791,Gospel Tangents,1
27,Religious Conservative,TheJohnBirchSociety,Lecture 1: The Dangers of Democracy | The Constitution Is The Solution!,2791,Johns Hopkins University,1
28,Religious Conservative,Allie Beth Stuckey,Abortion: It's Not Just Your Body Anymore | Ep 141,16457,Allie Beth Stuckey,8
29,Religious Conservative,Allie Beth Stuckey,Abortion: It's Not Just Your Body Anymore | Ep 141,16457,Jordan B Peterson,1
30,Religious Conservative,Allie Beth Stuckey,Abortion: It's Not Just Your Body Anymore | Ep 141,16457,SaintMichaelHS,1
31,Religious Conservative,TheJohnBirchSociety,Exposing the Federal Reserve Money Cartel,4225,TheJohnBirchSociety,1
32,Religious Conservative,TheJohnBirchSociety,Exposing the Federal Reserve Money Cartel,4225,misesmedia,2
33,Religious Conservative,TheJohnBirchSociety,Exposing the Federal Reserve Money Cartel,4225,LibertyInOurTime,1
34,Religious Conservative,TheJohnBirchSociety,Exposing the Federal Reserve Money Cartel,4225,Sovereign Nations,1
35,Religious Conservative,TheJohnBirchSociety,Exposing the Federal Reserve Money Cartel,4225,Jordan B Peterson,1
36,Religious Conservative,TheJohnBirchSociety,Exposing the Federal Reserve Money Cartel,4225,HooverInstitution,1
37,Religious Conservative,TheJohnBirchSociety,Exposing the Federal Reserve Money Cartel,4225,CNN,1
38,Religious Conservative,TheJohnBirchSociety,Exposing the Federal Reserve Money Cartel,4225,Cambridge House International Inc.,1
