,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Revolutionary Socialist,GETchan,Bandiera Rossa (The Red Flag) & L'Internazionale (The Internationale) [Old Versions],45774,GETchan,5
1,Revolutionary Socialist,GETchan,Bandiera Rossa (The Red Flag) & L'Internazionale (The Internationale) [Old Versions],45774,Sheet Music Boss,1
2,Revolutionary Socialist,GETchan,Bandiera Rossa (The Red Flag) & L'Internazionale (The Internationale) [Old Versions],45774,gonzalo blanco,1
3,Revolutionary Socialist,GETchan,Bandiera Rossa (The Red Flag) & L'Internazionale (The Internationale) [Old Versions],45774,Various Artists - Topic,2
4,Revolutionary Socialist,GETchan,Bandiera Rossa (The Red Flag) & L'Internazionale (The Internationale) [Old Versions],45774,Ingen,1
5,Revolutionary Socialist,TheFinnishBolshevik,Communist parties and youth on Corona Epidemic,3867,TheFinnishBolshevik,2
6,Revolutionary Socialist,TheFinnishBolshevik,Communist parties and youth on Corona Epidemic,3867,HooverInstitution,2
7,Revolutionary Socialist,TheFinnishBolshevik,Communist parties and youth on Corona Epidemic,3867,LastWeekTonight,2
8,Revolutionary Socialist,TheFinnishBolshevik,Communist parties and youth on Corona Epidemic,3867,Late Night with Seth Meyers,1
9,Revolutionary Socialist,TheFinnishBolshevik,Communist parties and youth on Corona Epidemic,3867,Fox News,1
10,Revolutionary Socialist,TheFinnishBolshevik,Communist parties and youth on Corona Epidemic,3867,Real Vision Finance,1
11,Revolutionary Socialist,TheFinnishBolshevik,Communist parties and youth on Corona Epidemic,3867,Knowing Better,1
12,Revolutionary Socialist,TheFinnishBolshevik,USA attacks Syria: what it means,6061,TheFinnishBolshevik,5
13,Revolutionary Socialist,TheFinnishBolshevik,USA attacks Syria: what it means,6061,Hudson Institute,1
14,Revolutionary Socialist,TheFinnishBolshevik,USA attacks Syria: what it means,6061,Atun-Shei Films,1
15,Revolutionary Socialist,TheFinnishBolshevik,USA attacks Syria: what it means,6061,Lindybeige,1
16,Revolutionary Socialist,TheFinnishBolshevik,USA attacks Syria: what it means,6061,The Jimmy Dore Show,1
17,Revolutionary Socialist,TheFinnishBolshevik,USA attacks Syria: what it means,6061,LastWeekTonight,1
18,Revolutionary Socialist,Jason Unruhe,Did Trump Try to Steal the Corona Vaccine?,1224,Jason Unruhe,1
19,Revolutionary Socialist,Jason Unruhe,Did Trump Try to Steal the Corona Vaccine?,1224,Valuetainment,1
20,Revolutionary Socialist,Jason Unruhe,Did Trump Try to Steal the Corona Vaccine?,1224,Philip DeFranco,1
21,Revolutionary Socialist,Jason Unruhe,Did Trump Try to Steal the Corona Vaccine?,1224,D Plus Production,1
