,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Social Justice,Patricia Taxxon,Patricia Taxxon - Endless [Full Album],4027,Patricia Taxxon,6
1,Social Justice,Patricia Taxxon,Patricia Taxxon - Endless [Full Album],4027,YouTube,1
2,Social Justice,Patricia Taxxon,Patricia Taxxon - Endless [Full Album],4027,SkitlerRemix,1
3,Social Justice,Patricia Taxxon,Patricia Taxxon - Endless [Full Album],4027,Mindful Music,1
4,Social Justice,Patricia Taxxon,Patricia Taxxon - Endless [Full Album],4027,DjangoMan1963,1
5,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,Mic,1
6,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,PBS NewsHour,1
7,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,TEDx Talks,1
8,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,KSAT 12,1
9,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,BBC Three,1
10,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,Raif Derrazi,1
11,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,11Alive,1
12,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,Fox News,1
13,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,DoctorOz,1
14,Social Justice,Mic,HIV-positive soldiers under the Trump administration | Mic Dispatch,1168,Nolly Great Movies,1
15,Social Justice,The Intercept,Eli Valley Talks About His Cartoon of Meghan McCain,1310,The Intercept,6
16,Social Justice,The Intercept,Eli Valley Talks About His Cartoon of Meghan McCain,1310,Stanford SJP,1
17,Social Justice,The Intercept,Eli Valley Talks About His Cartoon of Meghan McCain,1310,End Well,1
18,Social Justice,The Intercept,Eli Valley Talks About His Cartoon of Meghan McCain,1310,HooverInstitution,1
19,Social Justice,The Intercept,Eli Valley Talks About His Cartoon of Meghan McCain,1310,ABC News,1
20,Social Justice,Feminist Frequency,"""The Half of It"" isn't your usual teen love story | FFR 124",5424,Feminist Frequency,1
21,Social Justice,Feminist Frequency,"""The Half of It"" isn't your usual teen love story | FFR 124",5424,coco,1
22,Social Justice,Feminist Frequency,"""The Half of It"" isn't your usual teen love story | FFR 124",5424,Liana K,2
23,Social Justice,Feminist Frequency,"""The Half of It"" isn't your usual teen love story | FFR 124",5424,Daz Games,1
