,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Socialist,TeleSUR English,We Caribbean: U.S. Imperialist Atacks on Venezuela and Region,880,TeleSUR English,8
1,Socialist,TeleSUR English,We Caribbean: U.S. Imperialist Atacks on Venezuela and Region,880,The People's Forum NYC,1
2,Socialist,TeleSUR English,We Caribbean: U.S. Imperialist Atacks on Venezuela and Region,880,LastWeekTonight,1
3,Socialist,Xexizy,How To Improve Democracy,18758,Xexizy,1
4,Socialist,Xexizy,How To Improve Democracy,18758,TEDx Talks,3
5,Socialist,Xexizy,How To Improve Democracy,18758,Jay Foreman,1
6,Socialist,Xexizy,How To Improve Democracy,18758,Digiday,1
7,Socialist,Xexizy,How To Improve Democracy,18758,LastWeekTonight,1
8,Socialist,Xexizy,How To Improve Democracy,18758,vpro documentary,1
9,Socialist,Xexizy,How To Improve Democracy,18758,azureScapegoat,1
10,Socialist,Xexizy,How To Improve Democracy,18758,NCASVideo,1
11,Socialist,The Michael Brooks Show,6/18 rights discourses & books to read,3878,The Michael Brooks Show,5
12,Socialist,The Michael Brooks Show,6/18 rights discourses & books to read,3878,Levy Economics Institute,1
13,Socialist,The Michael Brooks Show,6/18 rights discourses & books to read,3878,LastWeekTonight,1
14,Socialist,The Michael Brooks Show,6/18 rights discourses & books to read,3878,Zero Books,1
15,Socialist,The Michael Brooks Show,6/18 rights discourses & books to read,3878,Watson Institute for International and Public Affairs,1
16,Socialist,The Michael Brooks Show,6/18 rights discourses & books to read,3878,Novara Media,1
17,Socialist,The Michael Brooks Show,TMBS Crew: Why Marx Matters,12914,The Michael Brooks Show,5
18,Socialist,The Michael Brooks Show,TMBS Crew: Why Marx Matters,12914,Levy Economics Institute,1
19,Socialist,The Michael Brooks Show,TMBS Crew: Why Marx Matters,12914,Manhattan Institute,1
20,Socialist,The Michael Brooks Show,TMBS Crew: Why Marx Matters,12914,Philosophy Tube,1
21,Socialist,The Michael Brooks Show,TMBS Crew: Why Marx Matters,12914,LastWeekTonight,1
22,Socialist,The Michael Brooks Show,TMBS Crew: Why Marx Matters,12914,Novara Media,1
23,Socialist,Shaun,How PragerU Lies to You: Charlottesville,526820,Shaun,8
24,Socialist,Shaun,How PragerU Lies to You: Charlottesville,526820,LastWeekTonight,1
25,Socialist,Shaun,How PragerU Lies to You: Charlottesville,526820,Some More News,1
26,Socialist,Chapo Trap House,Falcon Seeks Falconer feat. Briahna Joy Gray | Chapo Trap House | Episode 382 FULL,15036,Chapo Trap House,7
27,Socialist,Chapo Trap House,Falcon Seeks Falconer feat. Briahna Joy Gray | Chapo Trap House | Episode 382 FULL,15036,Film at Lincoln Center,1
28,Socialist,Chapo Trap House,Falcon Seeks Falconer feat. Briahna Joy Gray | Chapo Trap House | Episode 382 FULL,15036,MEANS TV,1
29,Socialist,Chapo Trap House,Falcon Seeks Falconer feat. Briahna Joy Gray | Chapo Trap House | Episode 382 FULL,15036,The Michael Brooks Show,1
30,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,DemocraticSocialist01,1
31,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,Mr. Beat,1
32,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,Bret Weinstein,1
33,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,HooverInstitution,1
34,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,BadEmpanada,1
35,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,Levy Economics Institute,1
36,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,Jordan B Peterson,1
37,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,Knowing Better,1
38,Socialist,DemocraticSocialist01,Welfare capitalism is not socialism,13644,Pacific Legal Foundation,1
