,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,TV,VICE News,Sweden Is Ushering in a New Digital Future,116573,VICE News,7
1,TV,VICE News,Sweden Is Ushering in a New Digital Future,116573,CNBC,1
2,TV,VICE News,Sweden Is Ushering in a New Digital Future,116573,Channel 4 News,1
3,TV,VICE News,Sweden Is Ushering in a New Digital Future,116573,Wall Street Journal,1
4,TV,MSNBC,"As Brooks Family Seeks Justice, Atlanta Police Object To Charges | Rachel Maddow | MSNBC",38193,MSNBC,7
5,TV,MSNBC,"As Brooks Family Seeks Justice, Atlanta Police Object To Charges | Rachel Maddow | MSNBC",38193,Late Night with Seth Meyers,1
6,TV,MSNBC,"As Brooks Family Seeks Justice, Atlanta Police Object To Charges | Rachel Maddow | MSNBC",38193,The Late Show with Stephen Colbert,1
7,TV,MSNBC,"As Brooks Family Seeks Justice, Atlanta Police Object To Charges | Rachel Maddow | MSNBC",38193,LastWeekTonight,1
8,TV,CNN,Pence deletes tweet showing Trump campaign staff not wearing face masks or social distancing,393089,CNN,6
9,TV,CNN,Pence deletes tweet showing Trump campaign staff not wearing face masks or social distancing,393089,Late Night with Seth Meyers,2
10,TV,CNN,Pence deletes tweet showing Trump campaign staff not wearing face masks or social distancing,393089,MSNBC,1
11,TV,CNN,Pence deletes tweet showing Trump campaign staff not wearing face masks or social distancing,393089,The Late Show with Stephen Colbert,1
12,TV,Real Time with Bill Maher,"Michael ""Killer Mike"" Render | Real Time with Bill Maher (HBO)",437791,Real Time with Bill Maher,3
13,TV,Real Time with Bill Maher,"Michael ""Killer Mike"" Render | Real Time with Bill Maher (HBO)",437791,LastWeekTonight,3
14,TV,Real Time with Bill Maher,"Michael ""Killer Mike"" Render | Real Time with Bill Maher (HBO)",437791,Skip and Shannon: UNDISPUTED,1
15,TV,Real Time with Bill Maher,"Michael ""Killer Mike"" Render | Real Time with Bill Maher (HBO)",437791,The Late Show with Stephen Colbert,2
16,TV,Real Time with Bill Maher,"Michael ""Killer Mike"" Render | Real Time with Bill Maher (HBO)",437791,Netflix Is A Joke,1
17,TV,RT America,Is cop show hiding evidence of a killing?,18748,RT America,2
18,TV,RT America,Is cop show hiding evidence of a killing?,18748,Fox News,3
19,TV,RT America,Is cop show hiding evidence of a killing?,18748,Late Night with Seth Meyers,2
20,TV,RT America,Is cop show hiding evidence of a killing?,18748,Al Jazeera English,1
21,TV,RT America,Is cop show hiding evidence of a killing?,18748,CNN,1
22,TV,RT America,Is cop show hiding evidence of a killing?,18748,MSNBC,1
23,TV,VICE News,The Truth Behind the ‘No-Knock’ Police Raids that Led to Breonna Taylor’s Death,92573,VICE News,4
24,TV,VICE News,The Truth Behind the ‘No-Knock’ Police Raids that Led to Breonna Taylor’s Death,92573,ABC News,1
25,TV,VICE News,The Truth Behind the ‘No-Knock’ Police Raids that Led to Breonna Taylor’s Death,92573,WLKY News Louisville,1
26,TV,VICE News,The Truth Behind the ‘No-Knock’ Police Raids that Led to Breonna Taylor’s Death,92573,Netflix Is A Joke,1
27,TV,VICE News,The Truth Behind the ‘No-Knock’ Police Raids that Led to Breonna Taylor’s Death,92573,LastWeekTonight,1
28,TV,VICE News,The Truth Behind the ‘No-Knock’ Police Raids that Led to Breonna Taylor’s Death,92573,Al Jazeera English,1
29,TV,VICE News,The Truth Behind the ‘No-Knock’ Police Raids that Led to Breonna Taylor’s Death,92573,TVO Docs,1
30,TV,Trevor Noah,"""Springbok Bafana"" - Trevor Noah - (It's My Culture) LONGER RE-RELEASE",1576916,Trevor Noah,7
31,TV,Trevor Noah,"""Springbok Bafana"" - Trevor Noah - (It's My Culture) LONGER RE-RELEASE",1576916,League of Legends,1
32,TV,Trevor Noah,"""Springbok Bafana"" - Trevor Noah - (It's My Culture) LONGER RE-RELEASE",1576916,YouTube,1
33,TV,Trevor Noah,"""Springbok Bafana"" - Trevor Noah - (It's My Culture) LONGER RE-RELEASE",1576916,Russell Peters,1
34,TV,CNN,Will Trump take responsibility if rallygoers get sick? Hear McEnany's answer,958111,CNN,6
35,TV,CNN,Will Trump take responsibility if rallygoers get sick? Hear McEnany's answer,958111,Fox News,1
36,TV,CNN,Will Trump take responsibility if rallygoers get sick? Hear McEnany's answer,958111,CBC News: The National,1
37,TV,CNN,Will Trump take responsibility if rallygoers get sick? Hear McEnany's answer,958111,Late Night with Seth Meyers,1
38,TV,CNN,Will Trump take responsibility if rallygoers get sick? Hear McEnany's answer,958111,Glenn Kirschner,1
39,TV,MSNBC,Trump Makes Himself Lone Exception With COVID-19 Risking Crowds | Rachel Maddow | MSNBC,238599,MSNBC,8
40,TV,MSNBC,Trump Makes Himself Lone Exception With COVID-19 Risking Crowds | Rachel Maddow | MSNBC,238599,CNN,1
41,TV,MSNBC,Trump Makes Himself Lone Exception With COVID-19 Risking Crowds | Rachel Maddow | MSNBC,238599,The Late Show with Stephen Colbert,1
42,TV,Real Time with Bill Maher,"David Ropeik: How Risky Is It, Really? | Real Time with Bill Maher (HBO)",572332,Real Time with Bill Maher,6
43,TV,Real Time with Bill Maher,"David Ropeik: How Risky Is It, Really? | Real Time with Bill Maher (HBO)",572332,LastWeekTonight,3
44,TV,Real Time with Bill Maher,"David Ropeik: How Risky Is It, Really? | Real Time with Bill Maher (HBO)",572332,CBC News: The National,1
45,TV,Fox News,Supreme court ruling makes future for DACA recipients ‘murky’: Lankford,158801,Fox News,7
46,TV,Fox News,Supreme court ruling makes future for DACA recipients ‘murky’: Lankford,158801,Senator Ted Cruz,1
47,TV,Fox News,Supreme court ruling makes future for DACA recipients ‘murky’: Lankford,158801,CBC News: The National,1
48,TV,Fox News,Supreme court ruling makes future for DACA recipients ‘murky’: Lankford,158801,ABC News,1
