,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Educational,Masaman,Ethnic Origin of the Japanese,378284,Masaman,5
1,Educational,Masaman,Ethnic Origin of the Japanese,378284,Wendover Productions,1
2,Educational,Masaman,Ethnic Origin of the Japanese,378284,Survive the Jive,1
3,Educational,Masaman,Ethnic Origin of the Japanese,378284,K.I. Peeler,1
4,Educational,Masaman,Ethnic Origin of the Japanese,378284,Matteo Zilli,1
5,Educational,Masaman,Ethnic Origin of the Japanese,378284,Space & The Universe HD,1
6,Educational,vlogbrothers,It is Much Easier to Destroy than Create,126868,vlogbrothers,9
7,Educational,vlogbrothers,It is Much Easier to Destroy than Create,126868,Karen Puzzles,1
8,Educational,Jubilee,6 Straight Men vs 1 Secret Gay Man,8986374,Jubilee,7
9,Educational,Jubilee,6 Straight Men vs 1 Secret Gay Man,8986374,YouTube,1
10,Educational,Jubilee,6 Straight Men vs 1 Secret Gay Man,8986374,Cut,2
11,Educational,Justin Murphy,American Revolution Debunked by Curtis Yarvin (Mencius Moldbug),1881,Justin Murphy,5
12,Educational,Justin Murphy,American Revolution Debunked by Curtis Yarvin (Mencius Moldbug),1881,GrassRoots Community Network,1
13,Educational,Justin Murphy,American Revolution Debunked by Curtis Yarvin (Mencius Moldbug),1881,TED,1
14,Educational,Justin Murphy,American Revolution Debunked by Curtis Yarvin (Mencius Moldbug),1881,ReasonTV,1
15,Educational,Justin Murphy,American Revolution Debunked by Curtis Yarvin (Mencius Moldbug),1881,Vanderbilt University,1
16,Educational,Justin Murphy,American Revolution Debunked by Curtis Yarvin (Mencius Moldbug),1881,TekWars 2.0,1
17,Educational,Martymer 81,Straw Man (Fallacy of the Week),15045,Martymer 81,9
18,Educational,Martymer 81,Straw Man (Fallacy of the Week),15045,Wireless Philosophy,1
19,Educational,TEDx Talks,Solitude is the Future of Humanity | Cyrus Lamprecht | TEDxRoyalCentralSchool,1506,TEDx Talks,10
20,Educational,America From Scratch,Do We Need a President of the United States of America?,18763,America From Scratch,7
21,Educational,America From Scratch,Do We Need a President of the United States of America?,18763,HISTORY,1
22,Educational,America From Scratch,Do We Need a President of the United States of America?,18763,ABC News,1
23,Educational,America From Scratch,Do We Need a President of the United States of America?,18763,Epipheo,1
24,Educational,IntelligenceSquared Debates,Does Capitalism Improve the Human Condition || Debate Clip,1436,IntelligenceSquared Debates,6
25,Educational,IntelligenceSquared Debates,Does Capitalism Improve the Human Condition || Debate Clip,1436,HooverInstitution,1
26,Educational,IntelligenceSquared Debates,Does Capitalism Improve the Human Condition || Debate Clip,1436,RichardDWolff,1
27,Educational,IntelligenceSquared Debates,Does Capitalism Improve the Human Condition || Debate Clip,1436,Al Jazeera English,1
28,Educational,IntelligenceSquared Debates,Does Capitalism Improve the Human Condition || Debate Clip,1436,Fox News,1
29,Educational,IntelligenceSquared Debates,Kris Kobach on How Trump Can Win the Rust Belt || Debate Clip,274,IntelligenceSquared Debates,3
30,Educational,IntelligenceSquared Debates,Kris Kobach on How Trump Can Win the Rust Belt || Debate Clip,274,NowThis News,1
31,Educational,IntelligenceSquared Debates,Kris Kobach on How Trump Can Win the Rust Belt || Debate Clip,274,HooverInstitution,1
32,Educational,IntelligenceSquared Debates,Kris Kobach on How Trump Can Win the Rust Belt || Debate Clip,274,Fox News,2
33,Educational,IntelligenceSquared Debates,Kris Kobach on How Trump Can Win the Rust Belt || Debate Clip,274,Al Jazeera English,1
34,Educational,IntelligenceSquared Debates,Kris Kobach on How Trump Can Win the Rust Belt || Debate Clip,274,World Affairs,1
35,Educational,IntelligenceSquared Debates,Kris Kobach on How Trump Can Win the Rust Belt || Debate Clip,274,MSNBC,1
36,Educational,Tom Nicholas,The Hypocrite by Richard Bean at Royal Shakespeare Theatre (Hull Truck & RSC) | Performance Analysis,465,Tom Nicholas,2
37,Educational,Tom Nicholas,The Hypocrite by Richard Bean at Royal Shakespeare Theatre (Hull Truck & RSC) | Performance Analysis,465,Royal Shakespeare Company,1
38,Educational,Tom Nicholas,The Hypocrite by Richard Bean at Royal Shakespeare Theatre (Hull Truck & RSC) | Performance Analysis,465,Rodgers & Hammerstein,1
39,Educational,Tom Nicholas,The Hypocrite by Richard Bean at Royal Shakespeare Theatre (Hull Truck & RSC) | Performance Analysis,465,Peter Kay,1
40,Educational,Tom Nicholas,The Hypocrite by Richard Bean at Royal Shakespeare Theatre (Hull Truck & RSC) | Performance Analysis,465,SupChina,1
41,Educational,Tom Nicholas,The Hypocrite by Richard Bean at Royal Shakespeare Theatre (Hull Truck & RSC) | Performance Analysis,465,Electronic Nostalgia,1
42,Educational,Tom Nicholas,The Hypocrite by Richard Bean at Royal Shakespeare Theatre (Hull Truck & RSC) | Performance Analysis,465,The School of Life,1
43,Educational,Tom Nicholas,The Hypocrite by Richard Bean at Royal Shakespeare Theatre (Hull Truck & RSC) | Performance Analysis,465,Christ Community Chapel,1
