,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,MRA,Diana Davison,Daniel Holtzclaw: Railroaded Again,15642,Diana Davison,1
1,MRA,Diana Davison,Daniel Holtzclaw: Railroaded Again,15642,KFOR Oklahoma's News 4,1
2,MRA,Diana Davison,Daniel Holtzclaw: Railroaded Again,15642,The Oklahoman,1
3,MRA,Diana Davison,Daniel Holtzclaw: Railroaded Again,15642,KOCO 5 News,1
4,MRA,Diana Davison,Daniel Holtzclaw: Railroaded Again,15642,ABC News,1
5,MRA,Diana Davison,Daniel Holtzclaw: Railroaded Again,15642,KJRH -TV | Tulsa | Channel 2,1
6,MRA,Diana Davison,Daniel Holtzclaw: Railroaded Again,15642,Holtzclaw Trial,4
7,MRA,Diana Davison,#Nelly and the False Allegaters,9427,Diana Davison,6
8,MRA,Diana Davison,#Nelly and the False Allegaters,9427,Fox News,1
9,MRA,Diana Davison,#Nelly and the False Allegaters,9427,MotleyTV,1
10,MRA,Diana Davison,#Nelly and the False Allegaters,9427,Canadian Association for Equality,1
11,MRA,Diana Davison,#Nelly and the False Allegaters,9427,Complex,1
12,MRA,Independent Man,MEN2 Podcast Ep 6 The Truth about Swedish “Socialism”,5807,Independent Man,3
13,MRA,Independent Man,MEN2 Podcast Ep 6 The Truth about Swedish “Socialism”,5807,Ayn Rand Institute,1
14,MRA,Independent Man,MEN2 Podcast Ep 6 The Truth about Swedish “Socialism”,5807,Free To Choose Network,1
15,MRA,Independent Man,MEN2 Podcast Ep 6 The Truth about Swedish “Socialism”,5807,ReasonTV,1
16,MRA,Independent Man,MEN2 Podcast Ep 6 The Truth about Swedish “Socialism”,5807,Coleman Hughes,1
17,MRA,Independent Man,MEN2 Podcast Ep 6 The Truth about Swedish “Socialism”,5807,Learn Swedish with SwedishPod101.com,1
18,MRA,Independent Man,MEN2 Podcast Ep 6 The Truth about Swedish “Socialism”,5807,HooverInstitution,1
19,MRA,Independent Man,MEN2 Podcast Ep 6 The Truth about Swedish “Socialism”,5807,ideacity,1
20,MRA,Thinking-Ape,When The Creations Devoured Their Creators...,9578,Thinking-Ape,4
21,MRA,Thinking-Ape,When The Creations Devoured Their Creators...,9578,HooverInstitution,2
22,MRA,Thinking-Ape,When The Creations Devoured Their Creators...,9578,Seattle Channel,1
23,MRA,Thinking-Ape,When The Creations Devoured Their Creators...,9578,Jordan B Peterson,1
24,MRA,Thinking-Ape,When The Creations Devoured Their Creators...,9578,Rob Moore,1
25,MRA,Thinking-Ape,When The Creations Devoured Their Creators...,9578,TEDx Talks,1
26,MRA,Terrence Popp,Fighting With Other Countries | Live From The Lair,15746,Terrence Popp,5
27,MRA,Terrence Popp,Fighting With Other Countries | Live From The Lair,15746,TVO Docs,1
28,MRA,Terrence Popp,Fighting With Other Countries | Live From The Lair,15746,Room for Discussion,1
29,MRA,Terrence Popp,Fighting With Other Countries | Live From The Lair,15746,PowerfulJRE,1
30,MRA,Terrence Popp,Fighting With Other Countries | Live From The Lair,15746,Lewis Howes,1
31,MRA,Terrence Popp,Fighting With Other Countries | Live From The Lair,15746,HooverInstitution,1
32,MRA,Diana Davison,How To Prosecute False Accusers,24675,Diana Davison,1
33,MRA,Diana Davison,How To Prosecute False Accusers,24675,American Enterprise Institute,1
34,MRA,Diana Davison,How To Prosecute False Accusers,24675,Lewis Howes,1
35,MRA,Diana Davison,How To Prosecute False Accusers,24675,This Morning,1
36,MRA,Diana Davison,How To Prosecute False Accusers,24675,Fox News,1
37,MRA,Diana Davison,How To Prosecute False Accusers,24675,JoeRyanCivilWar,1
38,MRA,Diana Davison,How To Prosecute False Accusers,24675,Netflix Is A Joke,1
