,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,StateFunded,PBS NewsHour,WATCH: Trump holds roundtable called 'Fighting for America’s Seniors',11316,PBS NewsHour,6
1,StateFunded,PBS NewsHour,WATCH: Trump holds roundtable called 'Fighting for America’s Seniors',11316,Fox News,2
2,StateFunded,PBS NewsHour,WATCH: Trump holds roundtable called 'Fighting for America’s Seniors',11316,NBC News,1
3,StateFunded,PBS NewsHour,WATCH: Trump holds roundtable called 'Fighting for America’s Seniors',11316,CNN,1
4,StateFunded,The Big Picture RT,Is a U.S. Iran War Imminent?,1226,The Big Picture RT,1
5,StateFunded,The Big Picture RT,Is a U.S. Iran War Imminent?,1226,Al Jazeera English,2
6,StateFunded,The Big Picture RT,Is a U.S. Iran War Imminent?,1226,Fox News,2
7,StateFunded,The Big Picture RT,Is a U.S. Iran War Imminent?,1226,Netflix Is A Joke,1
8,StateFunded,The Big Picture RT,Is a U.S. Iran War Imminent?,1226,Late Night with Seth Meyers,1
9,StateFunded,The Big Picture RT,Is a U.S. Iran War Imminent?,1226,MSNBC,1
10,StateFunded,The Big Picture RT,Is a U.S. Iran War Imminent?,1226,CNN,1
11,StateFunded,The Big Picture RT,Is a U.S. Iran War Imminent?,1226,The Late Show with Stephen Colbert,1
12,StateFunded,BBC HARDtalk,"Tarana Burke, civil rights activist and 'MeToo' pioneer - BBC HARDtalk",2751,BBC HARDtalk,7
13,StateFunded,BBC HARDtalk,"Tarana Burke, civil rights activist and 'MeToo' pioneer - BBC HARDtalk",2751,Full Frontal with Samantha Bee,1
14,StateFunded,BBC HARDtalk,"Tarana Burke, civil rights activist and 'MeToo' pioneer - BBC HARDtalk",2751,BBC News,2
15,StateFunded,CBC News,"Person in custody in Ontario shooting, church fire",31285,CBC News,6
16,StateFunded,CBC News,"Person in custody in Ontario shooting, church fire",31285,NBC News,1
17,StateFunded,CBC News,"Person in custody in Ontario shooting, church fire",31285,CBC News: The National,1
18,StateFunded,CBC News,"Person in custody in Ontario shooting, church fire",31285,Fox News,1
19,StateFunded,CBC News,"Person in custody in Ontario shooting, church fire",31285,CNN,1
20,StateFunded,VOA News,Burundi Residents Shocked after President’s Sudden Death,1205,VOA News,2
21,StateFunded,VOA News,Burundi Residents Shocked after President’s Sudden Death,1205,Al Jazeera English,3
22,StateFunded,VOA News,Burundi Residents Shocked after President’s Sudden Death,1205,FRANCE 24 English,3
23,StateFunded,VOA News,Burundi Residents Shocked after President’s Sudden Death,1205,FRANCE 24,1
24,StateFunded,VOA News,Burundi Residents Shocked after President’s Sudden Death,1205,Mashariki TV,1
25,StateFunded,Redacted Tonight,~294~ How To Plunder Billions In A Pandemic,20314,Redacted Tonight,1
26,StateFunded,Redacted Tonight,~294~ How To Plunder Billions In A Pandemic,20314,The Intercept,1
27,StateFunded,Redacted Tonight,~294~ How To Plunder Billions In A Pandemic,20314,MSNBC,1
28,StateFunded,Redacted Tonight,~294~ How To Plunder Billions In A Pandemic,20314,Fox News,3
29,StateFunded,Redacted Tonight,~294~ How To Plunder Billions In A Pandemic,20314,Late Night with Seth Meyers,1
30,StateFunded,Redacted Tonight,~294~ How To Plunder Billions In A Pandemic,20314,LastWeekTonight,1
31,StateFunded,Redacted Tonight,~294~ How To Plunder Billions In A Pandemic,20314,The Late Show with Stephen Colbert,1
32,StateFunded,Redacted Tonight,~294~ How To Plunder Billions In A Pandemic,20314,CNN,1
33,StateFunded,Ruptly,"USA: ""Black Trans Lives Matter"" demo held in NYC's Brooklyn",4908,Ruptly,3
34,StateFunded,Ruptly,"USA: ""Black Trans Lives Matter"" demo held in NYC's Brooklyn",4908,NBC News,1
35,StateFunded,Ruptly,"USA: ""Black Trans Lives Matter"" demo held in NYC's Brooklyn",4908,Guardian News,1
36,StateFunded,Ruptly,"USA: ""Black Trans Lives Matter"" demo held in NYC's Brooklyn",4908,NowThis News,1
37,StateFunded,Ruptly,"USA: ""Black Trans Lives Matter"" demo held in NYC's Brooklyn",4908,The Telegraph,1
38,StateFunded,Ruptly,"USA: ""Black Trans Lives Matter"" demo held in NYC's Brooklyn",4908,KHOU 11,1
39,StateFunded,Ruptly,"USA: ""Black Trans Lives Matter"" demo held in NYC's Brooklyn",4908,Atlanta Journal-Constitution,1
40,StateFunded,Ruptly,"USA: ""Black Trans Lives Matter"" demo held in NYC's Brooklyn",4908,CNN,1
41,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,VOA News,1
42,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,60 Minutes Australia,1
43,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,WION,1
44,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,Guardian News,1
45,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,DW News,1
46,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,Fox News,1
47,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,AP Archive,1
48,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,Al Jazeera English,1
49,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,CNN,1
50,StateFunded,VOA News,"US Criticizes China, Iran, Nigeria for Religious Freedom Violations",1316,Click On Detroit | Local 4 | WDIV,1
51,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,BBC Trending,2
52,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,Expats Everywhere,1
53,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,The New York Times,1
54,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,Journeyman Pictures,1
55,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,Saudi club at University of Idaho,1
56,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,Ali Almeshaal / علي المشعل,1
57,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,BBC News,1
58,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,TheTalko,1
59,StateFunded,BBC Trending,Life as a woman in Saudi Arabia - BBC TRENDING,26905,Jana Hisham,1
60,StateFunded,The Big Picture RT,Why Do Americans Pay More For Prescription Drugs?,505,The Big Picture RT,1
61,StateFunded,The Big Picture RT,Why Do Americans Pay More For Prescription Drugs?,505,Late Night with Seth Meyers,1
62,StateFunded,The Big Picture RT,Why Do Americans Pay More For Prescription Drugs?,505,NBC News,1
63,StateFunded,The Big Picture RT,Why Do Americans Pay More For Prescription Drugs?,505,CNBC,1
64,StateFunded,The Big Picture RT,Why Do Americans Pay More For Prescription Drugs?,505,Bloomberg QuickTake News,1
