,Category,Next Channel,Count
0,Provocateur,Russell Brand,44
1,Provocateur,YouTube,82
2,Provocateur,Long Now Foundation,1
3,Provocateur,Sadhguru,2
4,Provocateur,PowerfulJRE,38
5,Provocateur,First We Feast,8
6,Provocateur,The Rubin Report,13
7,Provocateur,Tom Bilyeu,1
8,Provocateur,Shemaroo Spiritual Life,1
9,Provocateur,Center for Inquiry,6
10,Provocateur,TEDx Talks,5
11,Provocateur,The Sun,2
12,Provocateur,Therealizedman,8
13,Provocateur,Funny Compilations,9
14,Provocateur,Comedy Central UK,1
15,Provocateur,The Jayleno Fly,5
16,Provocateur,Alan Carr: Chatty Man,4
17,Provocateur,BBC Newsnight,4
18,Provocateur,Patriot Act,4
19,Provocateur,Akkad Daily,21
20,Provocateur,Skavlan,13
21,Provocateur,YellowFlash 2,1
22,Provocateur,StevenCrowder,24
23,Provocateur,HooverInstitution,60
24,Provocateur,Fox News,206
25,Provocateur,Studio 10,14
26,Provocateur,MILO,12
27,Provocateur,CNBC,7
28,Provocateur,Gravitahn,14
29,Provocateur,Real Time with Bill Maher,19
30,Provocateur,MovementMaterial,24
31,Provocateur,Furry Memes,1
32,Provocateur,The Fallen State,1
33,Provocateur,YouTube Movies,2
34,Provocateur,Room for Discussion,20
35,Provocateur,Acnologia,5
36,Provocateur,Jeremy Vine on 5 - Official Channel,6
37,Provocateur,Fire Films,19
38,Provocateur,Dayzer Husky,1
39,Provocateur,Heidelberger Symposium,2
40,Provocateur,The Invisible Man,6
41,Provocateur,Team Coco,2
42,Provocateur,Valuetainment,12
43,Provocateur,UnHerd,2
44,Provocateur,Sargon of Akkad Live,11
45,Provocateur,Sargon of Akkad,12
46,Provocateur,Foundation for Economic Education,79
47,Provocateur,Revenge Of The Cis,39
48,Provocateur,Channel 4 News,2
49,Provocateur,,3
50,Provocateur,Project Veritas Action,5
51,Provocateur,Paul Joseph Watson,8
52,Provocateur,Jocko Podcast,14
53,Provocateur,Kevin O'Leary,5
54,Provocateur,Tyrone Magnus,2
55,Provocateur,Project Veritas,8
56,Provocateur,Leadership Institute,6
57,Provocateur,Trigger Happy Media,1
58,Provocateur,Domination Station,12
59,Provocateur,LastWeekTonight,5
