,Category,Next Channel,Count
0,AntiTheist,CoolHardLogic,8
1,AntiTheist,TED,7
2,AntiTheist,Professor Dave Explains,132
3,AntiTheist,Everyday Astronaut,1
4,AntiTheist,Mahrai Ziller,1
5,AntiTheist,TEDx Talks,12
6,AntiTheist,Understood,5
7,AntiTheist,Megaprojects,1
8,AntiTheist,The Royal Institution,11
9,AntiTheist,HooverInstitution,46
10,AntiTheist,Joe Scott,3
11,AntiTheist,Seeker,1
12,AntiTheist,Fox News,30
13,AntiTheist,Stanford Health Care,2
14,AntiTheist,DarkMatter2525,81
15,AntiTheist,BiolaUniversity,23
16,AntiTheist,YouTube,30
17,AntiTheist,Shane Killian,11
18,AntiTheist,Stanford,2
19,AntiTheist,Charisma on Command,3
20,AntiTheist,Kitco NEWS,1
21,AntiTheist,MedCram - Medical Lectures Explained CLEARLY,1
22,AntiTheist,Eckhart Tolle,1
23,AntiTheist,The Moon,1
24,AntiTheist,TMM,25
25,AntiTheist,TheThinkingAtheist,14
26,AntiTheist,ABCLibrarySales,1
27,AntiTheist,Agatan Foundation,9
28,AntiTheist,Pangburn,4
29,AntiTheist,Mike Licona,5
30,AntiTheist,Rationality Rules,1
31,AntiTheist,Jordan B Peterson,6
32,AntiTheist,Valsyrie,4
33,AntiTheist,Matt Dillahunty,1
34,AntiTheist,JaclynGlenn,22
35,AntiTheist,Jimmy Snow,2
36,AntiTheist,Rachel Oates,12
37,AntiTheist,Cody Ko,2
38,AntiTheist,Secular Talk,15
39,AntiTheist,Levy Economics Institute,5
40,AntiTheist,George Carlin Official YouTube Channel,7
41,AntiTheist,MSNBC,13
42,AntiTheist,LastWeekTonight,79
43,AntiTheist,Vox,1
44,AntiTheist,Patriot Act,14
45,AntiTheist,Atheism-is-Unstoppable-2,6
46,AntiTheist,The Rubin Report,1
47,AntiTheist,92nd Street Y,102
48,AntiTheist,The Laura Flanders Show,3
49,AntiTheist,University of Notre Dame,123
50,AntiTheist,Joon The King,2
51,AntiTheist,Studio 10,8
52,AntiTheist,Harvard Kennedy School's Institute of Politics,1
53,AntiTheist,LegalEagle,9
54,AntiTheist,Jocko Podcast,14
55,AntiTheist,Philosophy Tube,7
56,AntiTheist,potholer54,11
57,AntiTheist,Bart D. Ehrman,13
58,AntiTheist,NCASVideo,2
59,AntiTheist,Minnesota Atheists,1
60,AntiTheist,WGBHForum,46
61,AntiTheist,Dan Hait,1
62,AntiTheist,AronRa,5
63,AntiTheist,BroJFullmer,1
64,AntiTheist,The Bible Skeptic,1
65,AntiTheist,NonStampCollector,1
66,AntiTheist,YAFTV,1
67,AntiTheist,CNN,2
68,AntiTheist,The Atheist Experience,61
69,AntiTheist,Premier On Demand,1
70,AntiTheist,Way Back,1
71,AntiTheist,Creationist Cat,9
72,AntiTheist,Lindsay Ellis,6
73,AntiTheist,Hip Hughes,1
74,AntiTheist,TheLivingDinosaur,4
75,AntiTheist,vainly112,1
76,AntiTheist,Leo tunesse,1
77,AntiTheist,Joanah Madzime,1
78,AntiTheist,JonJorgenson,1
79,AntiTheist,ABC Television Stations,1
80,AntiTheist,Better Left Unsaid The Film,1
81,AntiTheist,Radio ZU,1
82,AntiTheist,Kurtis Baute,1
83,AntiTheist,Mometrix Academy,1
84,AntiTheist,Patrick Smith,1
85,AntiTheist,The Financial Diet,1
86,AntiTheist,TRT World,2
87,AntiTheist,Politics and Prose,1
88,AntiTheist,The New School,21
89,AntiTheist,Paulogia,28
90,AntiTheist,Thunderf00t,31
91,AntiTheist,ElectroBOOM,1
92,AntiTheist,Joseph Anderson,3
93,AntiTheist,PBS Space Time,1
94,AntiTheist,CareyHolzman,1
95,AntiTheist,Atomic Shrimp,3
96,AntiTheist,Razbuten,1
97,AntiTheist,Vsauce,4
98,AntiTheist,Larry Bundy Jr,4
99,AntiTheist,History Buffs,5
100,AntiTheist,Foundation for Economic Education,18
101,AntiTheist,PowerfulJRE,37
102,AntiTheist,Rolling Stone,9
103,AntiTheist,Jubilee,3
104,AntiTheist,CTFORUM,7
105,AntiTheist,Talks at Google,3
106,AntiTheist,Chicago Humanities Festival,3
107,AntiTheist,Kurzgesagt – In a Nutshell,5
108,AntiTheist,Josh Keefe,10
109,AntiTheist,Samination,1
110,AntiTheist,CrashCourse,2
111,AntiTheist,BBC Newsnight,2
112,AntiTheist,BibleProject,1
113,AntiTheist,YaleCourses,6
114,AntiTheist,Chael Sonnen,1
115,AntiTheist,UWinnipeg,2
116,AntiTheist,MyAllnew,1
117,AntiTheist,Big Think,5
118,AntiTheist,Johnny Bigger,1
119,AntiTheist,American Battlefield Trust,9
120,AntiTheist,jimgaffigan,5
121,AntiTheist,ReasonTV,1
122,AntiTheist,Telltale,28
123,AntiTheist,Dry Bar Comedy,1
124,AntiTheist,Technology Connections,1
125,AntiTheist,jtskr25,1
126,AntiTheist,Rolling EarthShip,2
127,AntiTheist,Ben Eater,1
128,AntiTheist,Nostalgia Nerd,1
129,AntiTheist,Sam Harris,14
130,AntiTheist,Real Time with Bill Maher,6
131,AntiTheist,Atheist Foundation of Australia Inc,2
132,AntiTheist,Gravitahn,1
133,AntiTheist,Tom Bilyeu,3
134,AntiTheist,First Congregational Church of LA,3
135,AntiTheist,Lewis Howes,1
136,AntiTheist,IslamMovie,1
137,AntiTheist,Center for Inquiry,4
138,AntiTheist,mahalodotcom,1
139,AntiTheist,Skeptic,8
140,AntiTheist,Freethought Arizona,1
141,AntiTheist,Steve Shives,28
142,AntiTheist,Lore Reloaded,3
143,AntiTheist,Picard + Discovery Fandom,1
144,AntiTheist,AngryJoeShow,1
145,AntiTheist,MauLer,4
146,AntiTheist,Little Moments T.V,1
147,AntiTheist,Midnight's Edge,2
148,AntiTheist,Jessie Gender,1
149,AntiTheist,H3 Podcast,5
150,AntiTheist,Repzilla,1
151,AntiTheist,The Right Opinion,1
152,AntiTheist,The Spiffing Brit,1
153,AntiTheist,Chris Hansen,2
154,AntiTheist,Repzion,1
155,AntiTheist,Stevie Wolfe,1
156,AntiTheist,RedLetterMedia,6
157,AntiTheist,World's Strictest Parents,1
158,AntiTheist,Yahoo Finance,1
159,AntiTheist,Dr. Todd Grande,1
160,AntiTheist,60 Minutes Australia,5
161,AntiTheist,NFKRZ,1
162,AntiTheist,The Agenda with Steve Paikin,2
163,AntiTheist,Ben The Benevolent,1
164,AntiTheist,Diego Cumplido,1
165,AntiTheist,abcqanda,2
166,AntiTheist,The Radical Revolution,2
167,AntiTheist,MovementMaterial,3
168,AntiTheist,Cult of Dusty,1
169,AntiTheist,Inside Edition,1
170,AntiTheist,Talk Heathen,6
171,AntiTheist,The Late Show with Stephen Colbert,10
172,AntiTheist,Brian Tyler Cohen,5
173,AntiTheist,NBC News,6
174,AntiTheist,NowThis News,3
175,AntiTheist,Sandre The Teacher,1
176,AntiTheist,Fraser Cain,2
177,AntiTheist,Great Big Story,1
178,AntiTheist,Brown University,2
179,AntiTheist,CBC,10
180,AntiTheist,CGP Grey,21
181,AntiTheist,Lex Fridman,7
182,AntiTheist,Closer To Truth,10
183,AntiTheist,ProZD,1
184,AntiTheist,Stanford Institute for Economic Policy Research (SIEPR),5
185,AntiTheist,The Aspen Institute,8
186,AntiTheist,Encore +,3
187,AntiTheist,socratesinthecity,10
188,AntiTheist,World Science Festival,10
189,AntiTheist,Space & The Universe HD,2
190,AntiTheist,American Museum of Natural History,3
191,AntiTheist,Martymer 81,26
192,AntiTheist,Darwin Hobbs - Topic,1
193,AntiTheist,Viced Rhino,2
194,AntiTheist,Ligonier Ministries,2
195,AntiTheist,Closeted Claustrophobe,3
196,AntiTheist,The Institute of Art and Ideas,2
197,AntiTheist,Matteo Zilli,1
198,AntiTheist,This Will Destroy You - Topic,1
199,AntiTheist,Telltale Podcast,2
200,AntiTheist,Hannah and Jake,10
201,AntiTheist,Sybreed - Topic,1
202,AntiTheist,Larry King,1
203,AntiTheist,Friendly Atheist,5
204,AntiTheist,iilluminaughtii,1
205,AntiTheist,NateTalksToYou,12
206,AntiTheist,Birdman,1
207,AntiTheist,PewDiePie,3
208,AntiTheist,Pyrocynical,1
209,AntiTheist,Pop Culture Detective,2
210,AntiTheist,Dr Shaym,1
211,AntiTheist,Lo Strano Tipo,1
212,AntiTheist,Good Morning Britain,2
213,AntiTheist,CosmicSkeptic,19
214,AntiTheist,Fredrik Knudsen,2
215,AntiTheist,John Cedars,28
216,AntiTheist,Official W5,2
217,AntiTheist,UTOMIK,1
218,AntiTheist,xwynns,1
219,AntiTheist,The Kino Corner,1
220,AntiTheist,YouTube Movies,32
221,AntiTheist,Vance Gilbert,2
222,AntiTheist,Renegade Cut,1
223,AntiTheist,Breakfast Club Power 105.1 FM,1
224,AntiTheist,Amazing Atheist,4
225,AntiTheist,Todd in the Shadows,3
226,AntiTheist,Cinemassacre,2
227,AntiTheist,Rebecca Watson,3
228,AntiTheist,Sabine Hossenfelder,1
229,AntiTheist,Amanpour and Company,4
230,AntiTheist,Johnny Harris,3
231,AntiTheist,Polygon,1
232,AntiTheist,The Uma Show,1
233,AntiTheist,Late Night with Seth Meyers,4
234,AntiTheist,Jeff Holiday,2
235,AntiTheist,YourMovieSucksDOTorg,1
236,AntiTheist,The Pondering Primate,1
237,AntiTheist,British GQ,1
238,AntiTheist,AIU-Resurrection,3
239,AntiTheist,Vinheteiro,1
240,AntiTheist,TVO Docs,5
241,AntiTheist,GQ,6
242,AntiTheist,John Anderson,1
243,AntiTheist,Skavlan,1
244,AntiTheist,The Heritage Foundation,1
245,AntiTheist,Saddleback Church,1
246,AntiTheist,BuzzFeedVideo,2
247,AntiTheist,Vanity Fair,3
248,AntiTheist,CBC News,1
249,AntiTheist,NBC New York,2
250,AntiTheist,The Met,1
251,AntiTheist,Moyers & Company,2
252,AntiTheist,Kevin O'Leary,2
253,AntiTheist,The Fifth Estate,1
254,AntiTheist,iERA,4
255,AntiTheist,llliquidDiamonds,1
256,AntiTheist,vitaloneorg,1
257,AntiTheist,The New York Times,1
258,AntiTheist,Carmelo Anthony,3
259,AntiTheist,OxfordUnion,2
260,AntiTheist,CNBC,1
261,AntiTheist,Overly Sarcastic Productions,1
262,AntiTheist,Civic Lab,1
263,AntiTheist,Epic History TV,3
264,AntiTheist,That Atheist Guy,3
265,AntiTheist,Internet Historian,2
266,AntiTheist,Professor Stick,1
267,AntiTheist,LiveTalksLA,7
268,AntiTheist,StarTalk,1
269,AntiTheist,CDN,1
270,AntiTheist,Unveiled,1
271,AntiTheist,Jimmy Carr,9
272,AntiTheist,Screen Rant,3
273,AntiTheist,Axanar,1
274,AntiTheist,Commonwealth Club,2
275,AntiTheist,Mr Sunday Movies,1
276,AntiTheist,Mr. Sci-Fi,1
277,AntiTheist,Daryl Talks Games,1
278,AntiTheist,Zane,1
279,AntiTheist,blameitonjorge,1
280,AntiTheist,Wisecrack,3
281,AntiTheist,The Film Theorists,1
282,AntiTheist,Mama Doctor Jones,1
283,AntiTheist,Spark,1
284,AntiTheist,Fixed Point Foundation,4
285,AntiTheist,Anna Akana,1
286,AntiTheist,M Czerna,1
287,AntiTheist,Some More News,1
288,AntiTheist,Isaac Arthur,1
289,AntiTheist,tiffanyferg,1
290,AntiTheist,truTV,1
291,AntiTheist,The Sun,2
292,AntiTheist,CBC News: The National,2
293,AntiTheist,Washington Week,1
294,AntiTheist,Second Thought,3
295,AntiTheist,Noel Plum,2
296,AntiTheist,PBS NewsHour,1
297,AntiTheist,We Heart Lives,1
298,AntiTheist,Kraut,1
299,AntiTheist,StoryDive,1
300,AntiTheist,Grow Successful,1
301,AntiTheist,- Cogito -,6
302,AntiTheist,MovieFlame,1
303,AntiTheist,Making Music magazine,1
304,AntiTheist,MotivationHub,1
305,AntiTheist,Riff Ninja Productions,1
306,AntiTheist,Two Minute Music Theory,1
307,AntiTheist,UNCA Ramsey Library Video Production,2
308,AntiTheist,John L. Brooks,1
309,AntiTheist,Christ Community Chapel,2
310,AntiTheist,mediamatters4america,1
311,AntiTheist,Saturday Night Live,1
312,AntiTheist,Netflix Is A Joke,1
313,AntiTheist,Just For Laughs,1
314,AntiTheist,J.J. McCullough,6
315,AntiTheist,Capturing Christianity,1
316,AntiTheist,The Oriental Institute,1
317,AntiTheist,St Paul's Cathedral,1
318,AntiTheist,Kenneth Copeland Ministries,1
319,AntiTheist,King Crocoduck,4
320,AntiTheist,Answers in Genesis,2
321,AntiTheist,The NonSequitur Show,1
322,AntiTheist,Steve McRae,1
323,AntiTheist,Intelligence Squared,1
324,AntiTheist,Hendrik Boerenerf,1
325,AntiTheist,TrekCulture,1
326,AntiTheist,Mike Johnson,1
327,AntiTheist,Ketwolski,1
328,AntiTheist,The Delve,1
329,AntiTheist,Motivation Madness,1
330,AntiTheist,Jody Mac,1
331,AntiTheist,Town Hall Seattle,2
332,AntiTheist,Perimeter Institute for Theoretical Physics,1
333,AntiTheist,Baldy Catz,1
334,AntiTheist,abasement,1
335,AntiTheist,Genetically Modified Skeptic,3
336,AntiTheist,RTÉ - IRELAND’S NATIONAL PUBLIC SERVICE MEDIA,2
337,AntiTheist,melodysheep,1
338,AntiTheist,Clamavi De Profundis,1
339,AntiTheist,Numberphile,1
340,AntiTheist,It's Okay To Be Smart,1
341,AntiTheist,SMAADallas,1
342,AntiTheist,The VR Sessions,1
343,AntiTheist,Loudwire,4
344,AntiTheist,Metal Grasshopper,1
345,AntiTheist,Luca Pasquale,1
346,AntiTheist,Sky News Australia,1
347,AntiTheist,FFRF,2
348,AntiTheist,Bantaawan lagundong,1
349,AntiTheist,ChristopherHitchslap,1
350,AntiTheist,Richard Dawkins Foundation for Reason & Science,1
351,AntiTheist,Melvin Olontha,1
352,AntiTheist,LaughPlanet,1
353,AntiTheist,Adam Carolla,1
354,AntiTheist,The Veritas Forum,2
355,AntiTheist,Living Waters,1
356,AntiTheist,UW Video,1
357,AntiTheist,Gapminder Foundation,1
358,AntiTheist,Andrew DC TV,1
359,AntiTheist,bill wurtz,1
360,AntiTheist,The Salvation Army Kroc Center,1
361,AntiTheist,Tom Scott,1
362,AntiTheist,History Matters,1
363,AntiTheist,LPPFusion,1
364,AntiTheist,OverSimplified,1
365,AntiTheist,Real Engineering,1
366,AntiTheist,Today I Found Out,1
367,AntiTheist,Derek Van Schaik,1
368,AntiTheist,WIRED,1
369,AntiTheist,NASA,1
370,AntiTheist,First We Feast,1
371,AntiTheist,Skip and Shannon: UNDISPUTED,1
372,AntiTheist,HSD Social Media,1
373,AntiTheist,CinemaSins,1
374,AntiTheist,APQ Online,1
375,AntiTheist,Cynical Reviews,1
376,AntiTheist,Seboss12,1
377,AntiTheist,Cvit,1
378,AntiTheist,Timcast IRL,1
