,Category,Next Channel,Count
0,Conspiracy,Jake 333,1
1,Conspiracy,Adam Savage’s Tested,1
2,Conspiracy,Guitarist,2
3,Conspiracy,TED,2
4,Conspiracy,Gretsch Guitars,1
5,Conspiracy,AcousticMagazine1,1
6,Conspiracy,Peghead Nation,1
7,Conspiracy,Musician's Friend,1
8,Conspiracy,LifeHunters,1
9,Conspiracy,Bob Ross,2
10,Conspiracy,Star Wars,1
11,Conspiracy,Bardot Brush,1
12,Conspiracy,Acoustic Guitar Magazine,1
13,Conspiracy,Mark Rober,1
14,Conspiracy,Jamie Anderson,1
15,Conspiracy,Wisecrack,2
16,Conspiracy,ColorByFeliks,1
17,Conspiracy,Amanpour and Company,2
18,Conspiracy,Reverb,1
19,Conspiracy,HighImpactVlogs,8
20,Conspiracy,Fox News,431
21,Conspiracy,The Rubin Report,16
22,Conspiracy,TEDx Talks,13
23,Conspiracy,MSNBC,31
24,Conspiracy,Audit the Audit,4
25,Conspiracy,Keith Rucker - VintageMachinery.org,1
26,Conspiracy,The Late Show with Stephen Colbert,7
27,Conspiracy,corbettreport,2
28,Conspiracy,Tallahassee Democrat,2
29,Conspiracy,WCPO 9,2
30,Conspiracy,Jocko Podcast,21
31,Conspiracy,ReasonTV,2
32,Conspiracy,UnHerd,5
33,Conspiracy,Mike Cernovich,3
34,Conspiracy,HooverInstitution,176
35,Conspiracy,Texas Parks and Wildlife,1
36,Conspiracy,Watch What Happens Live with Andy Cohen,1
37,Conspiracy,socratesinthecity,10
38,Conspiracy,Viva Frei,1
39,Conspiracy,WIRED UK,13
40,Conspiracy,Moyers & Company,62
41,Conspiracy,The 700 Club,21
42,Conspiracy,Johnny Bigger,26
43,Conspiracy,Jason Goodman,4
44,Conspiracy,Rolling Stone,5
45,Conspiracy,The New School,15
46,Conspiracy,The Sun,4
47,Conspiracy,vpro documentary,26
48,Conspiracy,Talks at Google,49
49,Conspiracy,Learn Liberty,24
50,Conspiracy,PowerfulJRE,35
51,Conspiracy,Hillsdale College,5
52,Conspiracy,NBC News,30
53,Conspiracy,RedPill78,4
54,Conspiracy,NYU Langone Health,7
55,Conspiracy,Levy Economics Institute,1
56,Conspiracy,Senator Tim Scott,11
57,Conspiracy,The Secrets of Nature,6
58,Conspiracy,BBC Documentary,4
59,Conspiracy,Fully Sourced,3
60,Conspiracy,9NEWS,5
61,Conspiracy,Nicolas Lepage,2
62,Conspiracy,BuzzFeed Multiplayer,9
63,Conspiracy,RNZ,1
64,Conspiracy,kptspromotions,1
65,Conspiracy,Paramount Network,1
66,Conspiracy,ABC News,3
67,Conspiracy,Inside Edition,3
68,Conspiracy,Stephanie Harlowe,1
69,Conspiracy,Tom Harlock,1
70,Conspiracy,CNN,4
71,Conspiracy,60 Minutes Australia,8
72,Conspiracy,Dr. Phil,1
73,Conspiracy,"Armchair Detective, No hiding place!",1
74,Conspiracy,Entertainment Tonight,1
75,Conspiracy,Nicholson1968,3
76,Conspiracy,TVO Docs,30
77,Conspiracy,"New Haven SDA Temple - Brooklyn, NY",1
78,Conspiracy,Metatron I AM HEALING,1
79,Conspiracy,Spark,24
80,Conspiracy,FandangoNOW Extras,20
81,Conspiracy,Gapminder Foundation,10
82,Conspiracy,Theo Von,2
83,Conspiracy,Stansberry Research,3
84,Conspiracy,Vsauce,7
85,Conspiracy,Kevin O'Leary,9
86,Conspiracy,Woke Societies,1
87,Conspiracy,Laura Loomer,7
88,Conspiracy,CBS Local News,1
89,Conspiracy,GoatVsFish,1
90,Conspiracy,Guardian News,2
91,Conspiracy,Fox Business,5
92,Conspiracy,Townhall Media,1
93,Conspiracy,WLWT,2
94,Conspiracy,Wochit News,1
95,Conspiracy,Sant K.,1
96,Conspiracy,ITV News,10
97,Conspiracy,Thescariestmovieever,6
98,Conspiracy,Brown University,1
99,Conspiracy,Professor Dave Explains,10
100,Conspiracy,American Museum of Natural History,3
101,Conspiracy,Jordan B Peterson,7
102,Conspiracy,The Oriental Institute,3
103,Conspiracy,DW Documentary,9
104,Conspiracy,Politics and Prose,10
105,Conspiracy,Encore +,11
106,Conspiracy,Victory Tulsa,6
107,Conspiracy,Brave New Films,2
108,Conspiracy,Sequencer,1
109,Conspiracy,YouTube Movies,23
110,Conspiracy,Simulation,4
111,Conspiracy,PineCreek,4
112,Conspiracy,Closer To Truth,10
113,Conspiracy,SphereBeing Alliance,4
114,Conspiracy,DTTV Archaeology Answers,1
115,Conspiracy,KSDK News,2
116,Conspiracy,Rob Moore,3
117,Conspiracy,Business Insider,2
118,Conspiracy,1091 ON DEMAND,5
119,Conspiracy,Imperial College London,6
120,Conspiracy,Operation Freedom,4
121,Conspiracy,Liberty University,5
122,Conspiracy,Fox5NY,1
123,Conspiracy,John Anderson,2
124,Conspiracy,The Great Courses Plus,2
125,Conspiracy,FRONTLINE PBS | Official,1
126,Conspiracy,Jamie Dlux,2
127,Conspiracy,Now You See It,3
128,Conspiracy,LaughPlanet,2
129,Conspiracy,AM to DM,1
130,Conspiracy,CBC News,6
131,Conspiracy,Supasly75,1
132,Conspiracy,Dee Vida,1
133,Conspiracy,Newsmax TV,2
134,Conspiracy,ChangeDaChannel,3
135,Conspiracy,Big Wreck,1
136,Conspiracy,TheScottBrothersVEVO,1
137,Conspiracy,Cosgrove Prod.,3
138,Conspiracy,GameSpot Universe,9
139,Conspiracy,Matt Redman,1
140,Conspiracy,Rock & Roll Hall of Fame,1
141,Conspiracy,The Tonight Show Starring Jimmy Fallon,1
142,Conspiracy,Lipps Inc - Topic,1
143,Conspiracy,Fred Hammond,1
144,Conspiracy,iangillan,1
145,Conspiracy,Shaking My Head Productions,2
146,Conspiracy,UPROXX,1
