,Category,Next Channel,Count
0,Educational,Jubilee,70
1,Educational,Patriot Act,12
2,Educational,Mama Doctor Jones,1
3,Educational,LastWeekTonight,22
4,Educational,Late Night with Seth Meyers,2
5,Educational,Justin Murphy,28
6,Educational,TED,52
7,Educational,LosGranosTV,2
8,Educational,Brain Power Studio,1
9,Educational,a-ha,1
10,Educational,NPR Music,5
11,Educational,The School of Life,9
12,Educational,marshallcurry,2
13,Educational,Counter Arguments,55
14,Educational,CollegeHumor,5
15,Educational,The Act Man,2
16,Educational,CGP Grey,53
17,Educational,TEDx Talks,175
18,Educational,Razbuten,2
19,Educational,Skavlan,1
20,Educational,Question Time,1
21,Educational,CrashCourse,6
22,Educational,Vox,15
23,Educational,The Zach and Matt Show,1
24,Educational,SoulPancake,51
25,Educational,HiHo Kids,1
26,Educational,The Late Show with Stephen Colbert,5
27,Educational,Digiday,3
28,Educational,Tomorrow's World Viewpoint,2
29,Educational,Philip C,1
30,Educational,Owl In Space,1
31,Educational,EVOLUTIONLESS,1
32,Educational,TED-Ed,10
33,Educational,PBS Space Time,5
34,Educational,It's Okay To Be Smart,3
35,Educational,Disculogic,1
36,Educational,Tony Reed,1
37,Educational,The Good Stuff,1
38,Educational,Science ABC,1
39,Educational,minutephysics,2
40,Educational,StarTalk,3
41,Educational,Answers in Genesis,1
42,Educational,Fractal Woman,1
43,Educational,Bloomberg QuickTake Originals,3
44,Educational,WIRED,4
45,Educational,Khan Academy,1
46,Educational,Grow Successful,6
47,Educational,Sky TV,1
48,Educational,The Skin Deep,2
49,Educational,Gravitahn,3
50,Educational,Skeptic,32
51,Educational,ResLife Church,1
52,Educational,HooverInstitution,34
53,Educational,Syndicado TV,1
54,Educational,Talks at Google,6
55,Educational,NCASVideo,4
56,Educational,The Royal Institution,31
57,Educational,BBC Three,2
58,Educational,Speed Pharmacology,1
59,Educational,Anna Akana,2
60,Educational,Erik Richardson D.O.,2
61,Educational,Choose Psychiatry,1
62,Educational,Meghan Rienks,1
63,Educational,BuzzFeedVideo,3
64,Educational,Mackenzie Vlogs,1
65,Educational,BetterHelp,1
66,Educational,Ascension Via Christi,1
67,Educational,National Geographic,6
68,Educational,Lauren Elizabeth,1
69,Educational,Philosophy Guy,5
70,Educational,LacanOnline,2
71,Educational,Marcin Pietrzak,1
72,Educational,emerson,1
73,Educational,Then & Now,3
74,Educational,PlasticPills,1
75,Educational,LeighaCohen,1
76,Educational,Timeline Theological Videos,1
77,Educational,pmilat,1
78,Educational,Big Think,19
79,Educational,YouTube,24
80,Educational,UWinnipeg,1
81,Educational,VICE,1
82,Educational,Cuck Philosophy,1
83,Educational,Sam Harris,4
84,Educational,PowerfulJRE,4
85,Educational,EcoFarmVideo,2
86,Educational,Real Time with Bill Maher,5
87,Educational,University of Notre Dame,1
88,Educational,First Congregational Church of LA,1
89,Educational,Agatan Foundation,1
90,Educational,The Aspen Institute,9
91,Educational,Tom Bilyeu,1
92,Educational,Bioneers,4
93,Educational,The New York Times,1
94,Educational,4 News Now,1
95,Educational,Closer To Truth,7
96,Educational,vlogbrothers,45
97,Educational,CBSDFW,1
98,Educational,Amanda Mic Perkins,3
99,Educational,Overly Sarcastic Productions,1
100,Educational,Pop Culture Detective,5
101,Educational,SciShow,6
102,Educational,John Greco,1
103,Educational,Kurzgesagt – In a Nutshell,47
104,Educational,PBS,8
105,Educational,Great Performances | PBS,1
106,Educational,Kevin price,1
107,Educational,Olympic,1
108,Educational,accentusmusic,1
109,Educational,BBC Earth,5
110,Educational,PublicTheaterNY,1
111,Educational,BBC,1
112,Educational,Free High-Quality Documentaries,1
113,Educational,Randy Rainbow,1
114,Educational,allegrofilms,1
115,Educational,MIT Video Productions,1
116,Educational,TheLeapTV,1
117,Educational,Paste Magazine,1
118,Educational,Jacob Collier,6
119,Educational,Black Piano,1
120,Educational,Qwest TV,1
121,Educational,Yamaha Music Europe,1
122,Educational,Quincy Jones,1
123,Educational,Tahmas Shiraza,1
124,Educational,Rick Beato,1
125,Educational,Mahogany,1
126,Educational,The New School,31
127,Educational,Liberty University,1
128,Educational,Moyers & Company,4
129,Educational,Fox News,6
130,Educational,Grant Cardone,1
131,Educational,World Science Festival,4
132,Educational,SALT,1
133,Educational,MSNBC,2
134,Educational,NPR,23
135,Educational,Rachael Ray Show,1
136,Educational,CIG television,2
137,Educational,The Economist,12
138,Educational,Pearland Animal Hospital,1
139,Educational,Adam Savage’s Tested,3
140,Educational,KHOU 11,1
141,Educational,KTVN Channel 2 News,1
142,Educational,QualityDaydreams,1
143,Educational,Ken Jones,1
144,Educational,Comedy Central,1
145,Educational,TheEllenShow,2
146,Educational,Motivation Madness,1
147,Educational,Got Talent Global,1
148,Educational,Only Human,1
149,Educational,LaughPlanet,1
150,Educational,DW Documentary,8
151,Educational,Our Grandfather Story,1
152,Educational,Laugh Factory,1
153,Educational,Jimmy Carr,2
154,Educational,Fearless Soul,2
155,Educational,Eckhart Tolle,8
156,Educational,Vsauce,7
157,Educational,The Chopra Well,3
158,Educational,Behind the Brand,2
159,Educational,Washington Post Live,1
160,Educational,Lex Fridman,6
161,Educational,Wolfram,2
162,Educational,Stanford,4
163,Educational,WORLD.MINDS,3
164,Educational,Intelligence Squared,11
165,Educational,TED Archive,8
166,Educational,Andrew DC TV,3
167,Educational,CMX,1
168,Educational,Evan Carmichael,1
169,Educational,NourFoundation,1
170,Educational,Mometrix Academy,2
171,Educational,Lewis Howes,4
172,Educational,Tom Nicholas,39
173,Educational,Bryce Edward Brown,1
174,Educational,JuliensBlogBattle,1
175,Educational,Interactive Video,1
176,Educational,Al Arabiya English,1
177,Educational,FoundFlix,1
178,Educational,byjayar,1
179,Educational,Extra Credits,1
180,Educational,Surviving and Thriving in Higher Education,1
181,Educational,The Rewired Soul,1
182,Educational,TLDR News US,4
183,Educational,Wendover Productions,7
184,Educational,TLDR News,1
185,Educational,Charisma on Command,21
186,Educational,Learn Liberty,1
187,Educational,PierceCollegeDist11,6
188,Educational,MotivationHub,3
189,Educational,Gapminder Foundation,1
190,Educational,Mindvalley Talks,1
191,Educational,SUCCESS Magazine,1
192,Educational,The Tonight Show Starring Jimmy Fallon,1
193,Educational,CBC News,1
194,Educational,"The Economic Club of Washington, D.C.",1
195,Educational,CNBC Television,1
196,Educational,KET - Kentucky Educational Television,4
197,Educational,Crooked Media,1
198,Educational,Guardian News,1
199,Educational,60 Minutes Australia,4
200,Educational,CNBC Make It.,2
201,Educational,theSkimm,1
202,Educational,TopThink,3
203,Educational,Brian Tyler Cohen,1
204,Educational,Healthcare Triage,34
205,Educational,Stanford Health Care,2
206,Educational,Hoag Health,1
207,Educational,"Mind, the mental health charity",1
208,Educational,CMSHHSgov,1
209,Educational,Centers for Disease Control and Prevention (CDC),1
210,Educational,Boomer Benefits,1
211,Educational,Epic Gardening,1
212,Educational,University of California Television (UCTV),5
213,Educational,"Christy Risinger, MD",1
214,Educational,TED Fellow,11
215,Educational,Apogee Instruments Inc.,1
216,Educational,Understood,15
217,Educational,poptech,1
218,Educational,dottotech,1
219,Educational,Pick Up Limes,1
220,Educational,NowThis World,1
221,Educational,Vanessa Van Edwards,1
222,Educational,Julia R,1
223,Educational,Lunar and Planetary Institute,1
224,Educational,Space & The Universe HD,1
225,Educational,SLAC National Accelerator Laboratory,1
226,Educational,American Museum of Natural History,2
227,Educational,TVO Docs,11
228,Educational,Space X Live,1
229,Educational,DeepMind,2
230,Educational,Times Talks,1
231,Educational,Jason Kendall,1
232,Educational,3Blue1Brown,2
233,Educational,Therealizedman,2
234,Educational,Project Life Mastery,2
235,Educational,MovementMaterial,19
236,Educational,Santa Fe Institute,1
237,Educational,Chodmunch,2
238,Educational,Fig. 1 by University of California,1
239,Educational,Microsoft Research,1
240,Educational,Nature Healing Society,1
241,Educational,REDDOT X,1
242,Educational,Google Zeitgeist,2
243,Educational,Bloggingheads.tv,19
244,Educational,The Sun,6
245,Educational,Encore +,6
246,Educational,MeaningofLife.tv,14
247,Educational,PewDiePie,3
248,Educational,True Stories,1
249,Educational,Primink,2
250,Educational,Max Joseph,4
251,Educational,Glamour,1
252,Educational,BRIGHT SIDE,1
253,Educational,Daily Dose Of Internet,2
254,Educational,Doctor Mike,3
255,Educational,neo,8
256,Educational,Mississippi Public Broadcasting,2
257,Educational,ColdFusion,3
258,Educational,Second Thought,2
259,Educational,HISTORY,1
260,Educational,Real Engineering,2
261,Educational,TRT World,8
262,Educational,Room for Discussion,2
263,Educational,Levy Economics Institute,6
264,Educational,Nyhetsmorgon,1
265,Educational,Collin Morris,1
266,Educational,IG Sverige,1
267,Educational,How To Academy,1
268,Educational,Gary Edwards,8
269,Educational,Imperial College London,3
270,Educational,The People,2
271,Educational,Revolution and Ideology,1
272,Educational,Philosophy Overdose,2
273,Educational,Jeremy Bennett,1
274,Educational,Max Derrat,1
275,Educational,Profit Watch,1
276,Educational,Masaman,16
277,Educational,- Cogito -,8
278,Educational,Gens Video Web Channel,1
279,Educational,Henry Abramson,1
280,Educational,WonderWhy,1
281,Educational,Matteo Zilli,3
282,Educational,FLAMA,1
283,Educational,LonerBox,3
284,Educational,Fire of Learning,7
285,Educational,talkGOD,1
286,Educational,TREY the Explainer,1
287,Educational,Chicago Humanities Festival,2
288,Educational,Geography Now,5
289,Educational,Kings and Generals,2
290,Educational,WIRED UK,4
291,Educational,NBC New York,2
292,Educational,BevNET.com,1
293,Educational,Antiques Roadshow PBS,2
294,Educational,Raising Twins Blog,1
295,Educational,biointeractive,1
296,Educational,Visual Capitalist,1
297,Educational,Eater,1
298,Educational,Pomona College,1
299,Educational,Oscar Boyson,2
300,Educational,YaleCourses,7
301,Educational,Origin Of Everything,1
302,Educational,Kevin O'Leary,3
303,Educational,David Rubenstein,1
304,Educational,New Economic Thinking,9
305,Educational,Transnational Institute,1
306,Educational,World Affairs,1
307,Educational,New England Complex Systems Institute,1
308,Educational,Bloomberg Markets and Finance,1
309,Educational,The Agenda with Steve Paikin,1
310,Educational,Cut,6
311,Educational,Strange Waters Productions,1
312,Educational,As/Is,6
313,Educational,Johnny Harris,1
314,Educational,The B1M,2
315,Educational,Half as Interesting,1
316,Educational,Washington Post,1
317,Educational,VisualPolitik EN,2
318,Educational,Bloomsbury Publishing,1
319,Educational,TheNewAtlantisdotcom,1
320,Educational,Wes Cecil,1
321,Educational,Oceana,1
322,Educational,khanacademymedicine,1
323,Educational,CNBC,2
324,Educational,abasement,2
325,Educational,Mathoma,1
326,Educational,CBC,1
327,Educational,Bishop Robert Barron,1
328,Educational,Integration and Implementation Sciences (I2S),1
329,Educational,cebitchannel,1
330,Educational,The Art Assignment,1
331,Educational,Julie Nolke,4
332,Educational,hankschannel,5
333,Educational,HTB Church,2
334,Educational,OverSimplified,2
335,Educational,LegalEagle,3
336,Educational,hackerdashery,4
337,Educational,Rick Steves' Europe,1
338,Educational,lacigreen,23
339,Educational,LetsGetChecked,1
340,Educational,Osmosis,1
341,Educational,Shan BOODY,1
342,Educational,American Sexual Health Association,1
343,Educational,iHeart Media,2
344,Educational,The Doctors,2
345,Educational,Professor Dave Explains,21
346,Educational,StyleLikeU,1
347,Educational,Zero Entropy,1
348,Educational,Laureen HD,2
349,Educational,AsapSCIENCE,3
350,Educational,Doctor Eye Health,1
351,Educational,Atomic Shrimp,3
352,Educational,Rebel Wisdom,2
353,Educational,Manufacturing Intellect,1
354,Educational,IntelligenceSquared Debates,9
355,Educational,PBS NewsHour,1
356,Educational,THNKR,1
357,Educational,OxfordUnion,2
358,Educational,Jeremy Vine on 5 - Official Channel,2
359,Educational,George Carlin Official YouTube Channel,2
360,Educational,Shout! Factory,1
361,Educational,Blaire White,4
362,Educational,Just For Laughs,1
363,Educational,Twobilee,1
364,Educational,SM East Harbinger,1
365,Educational,Foundation for Economic Education,7
366,Educational,The Infographics Show,1
367,Educational,Cody Ko,1
368,Educational,Pupsi,1
369,Educational,bill wurtz,1
370,Educational,To Scale:,3
371,Educational,Zach Star,2
372,Educational,Good Mythical Morning,1
373,Educational,Lindsay Ellis,1
374,Educational,Aperture,1
375,Educational,The British Museum,2
376,Educational,The Oriental Institute,3
377,Educational,Langfocus,5
378,Educational,Hidup Rakyat,1
379,Educational,Today I Found Out,1
380,Educational,Epic History TV,2
381,Educational,Best Documentary,1
382,Educational,Moth Light Media,1
383,Educational,Hazel Allen,1
384,Educational,Skerry Harry,1
385,Educational,Kento Bento,3
386,Educational,Sean Carroll,10
387,Educational,Event Horizon,1
388,Educational,Astrum,1
389,Educational,Darwin College Lecture Series,1
390,Educational,ReasonTV,1
391,Educational,"USD Center for Ethics, Economics, and Public Policy",1
392,Educational,CaspianReport,1
393,Educational,Kraut,1
394,Educational,Dating Beyond Borders,1
395,Educational,History Scope,2
396,Educational,Brew,4
397,Educational,Caty Culp,1
398,Educational,Principles by Ray Dalio,1
399,Educational,J.J. McCullough,2
400,Educational,Bret Weinstein,6
401,Educational,Rolling Stone,3
402,Educational,Council on Foreign Relations,1
403,Educational,John Anderson,2
404,Educational,The University of Arizona,1
405,Educational,Diabetes UK,1
406,Educational,"American College of Allergy, Asthma and Immunology",1
407,Educational,Boston University,1
408,Educational,Indiana University School of Medicine,1
409,Educational,Doctor Mike Hansen,3
410,Educational,Real Science,1
411,Educational,Netflix,2
412,Educational,MinuteEarth,1
413,Educational,Mark Rober,2
414,Educational,JunsKitchen,1
415,Educational,Adam Ragusea,1
416,Educational,Jaiden Animations,1
417,Educational,Sideways,1
418,Educational,RealTrainingRightNow,1
419,Educational,Clinton Global Initiative,1
420,Educational,gede0607,1
421,Educational,Victor Antonio,1
422,Educational,Litmos Heroes,1
423,Educational,Mrwhosetheboss,1
424,Educational,Foil Arms and Hog,1
425,Educational,Eric Sidewater,1
426,Educational,Jocko Podcast,6
427,Educational,Suits International,1
428,Educational,Lex van Dam Trading Academy,1
429,Educational,EdChoice,1
430,Educational,GQ,1
431,Educational,Poker Night in America,1
432,Educational,LPPFusion,1
433,Educational,The Atheist Experience,2
434,Educational,Center for Inquiry,1
435,Educational,The University of Manchester,1
436,Educational,usnavalwarcollege,1
437,Educational,MsMojo,2
438,Educational,Channel 4 News,1
439,Educational,JJ Olatunji,1
440,Educational,Seattle Channel,1
441,Educational,Funny Local News,1
442,Educational,WOWPresents,1
443,Educational,Cityline,1
444,Educational,PragerU,2
445,Educational,H3 Podcast Highlights,1
446,Educational,Mr.Within's Gift,2
447,Educational,TEDMED,1
448,Educational,Coffeezilla,1
449,Educational,Penguin Books UK,1
450,Educational,Talent Recap,1
451,Educational,92nd Street Y,2
452,Educational,What I've Learned,3
453,Educational,Seton Hall University,1
454,Educational,Jordan B Peterson,1
455,Educational,Martymer 81,7
456,Educational,This Place,1
457,Educational,Ask A Mortician,1
458,Educational,Wireless Philosophy,1
459,Educational,Fall of Civilizations,2
460,Educational,Brown University,1
