,Category,Next Channel,Count
0,ManoelAltLite,Pat Condell,11
1,ManoelAltLite,Fox News,445
2,ManoelAltLite,adeenreds,1
3,ManoelAltLite,The Rubin Report,8
4,ManoelAltLite,TEDx Talks,4
5,ManoelAltLite,RT,2
6,ManoelAltLite,liarpoliticians2,1
7,ManoelAltLite,voteleavemedia,1
8,ManoelAltLite,IASBristol,1
9,ManoelAltLite,UnHerd,2
10,ManoelAltLite,HooverInstitution,141
11,ManoelAltLite,HighImpactFlix,5
12,ManoelAltLite,The Sun,10
13,ManoelAltLite,Rep. Ted Lieu,1
14,ManoelAltLite,The Late Show with Stephen Colbert,7
15,ManoelAltLite,YouTube Movies,8
16,ManoelAltLite,Newsmax TV,2
17,ManoelAltLite,SJW CRINGE MACHINE,11
18,ManoelAltLite,Studio 10,65
19,ManoelAltLite,THE KLINGON GAMER,1
20,ManoelAltLite,SJWCentral,7
21,ManoelAltLite,Acnologia,1
22,ManoelAltLite,Kingury,2
23,ManoelAltLite,EllieJayden,1
24,ManoelAltLite,Funny Local News,3
25,ManoelAltLite,Gentle Art,2
26,ManoelAltLite,Tora Black,1
27,ManoelAltLite,LastWeekTonight,3
28,ManoelAltLite,Aydin Paladin,11
29,ManoelAltLite,University of Oregon,1
30,ManoelAltLite,OxfordUnion,11
31,ManoelAltLite,Microsoft Research,1
32,ManoelAltLite,Aperture,1
33,ManoelAltLite,EcoFarmVideo,1
34,ManoelAltLite,NCASVideo,1
35,ManoelAltLite,Kerith Lemon Pictures,1
36,ManoelAltLite,Understood,2
37,ManoelAltLite,The Royal Institution,1
38,ManoelAltLite,Internet Historian,1
39,ManoelAltLite,JustInformed Talk,5
40,ManoelAltLite,Liberty University,15
41,ManoelAltLite,MSNBC,5
42,ManoelAltLite,Michael Moore,1
43,ManoelAltLite,Foundation for Economic Education,89
44,ManoelAltLite,Independent Institute,1
45,ManoelAltLite,USSenLindseyGraham,4
46,ManoelAltLite,John Anderson,6
47,ManoelAltLite,Computing Forever,2
48,ManoelAltLite,National Geographic,2
49,ManoelAltLite,Jordan B Peterson,3
50,ManoelAltLite,Joe Scott,3
51,ManoelAltLite,Discovery,1
52,ManoelAltLite,ReasonTV,3
53,ManoelAltLite,AsapSCIENCE,1
54,ManoelAltLite,Real Time with Bill Maher,7
55,ManoelAltLite,DW Documentary,1
56,ManoelAltLite,Learn Liberty,8
57,ManoelAltLite,Professor Dave Explains,8
58,ManoelAltLite,SciShow,1
59,ManoelAltLite,Good Morning Britain,14
60,ManoelAltLite,TED,1
61,ManoelAltLite,Vsauce,1
62,ManoelAltLite,Intelligence Squared,1
63,ManoelAltLite,Zach Hing,7
64,ManoelAltLite,YouTube,6
65,ManoelAltLite,Understanding Narcissists,1
66,ManoelAltLite,Michele Lee Nieves Coaching,1
67,ManoelAltLite,MedCircle,2
68,ManoelAltLite,Zane,1
69,ManoelAltLite,Lisa A. Romano Breakthrough Life Coach Inc.,1
70,ManoelAltLite,Growth after abuse,1
71,ManoelAltLite,MovementMaterial,2
72,ManoelAltLite,Inner Integration,1
73,ManoelAltLite,Joanna Kujath,1
74,ManoelAltLite,TED-Ed,1
75,ManoelAltLite,Tracy Malone,1
76,ManoelAltLite,Kenn Daily,5
