,Category,Next Channel,Count
0,PartisanLeft,José,13
1,PartisanLeft,Renegade Cut,23
2,PartisanLeft,Comics Explained,4
3,PartisanLeft,Comicstorian,2
4,PartisanLeft,ComicPOP,1
5,PartisanLeft,Matt Draper,1
6,PartisanLeft,Lindsay Ellis,5
7,PartisanLeft,Ladyknightthebrave,1
8,PartisanLeft,LastWeekTonight,130
9,PartisanLeft,Patriot Act,89
10,PartisanLeft,ContraPoints,2
11,PartisanLeft,The Atlantic,14
12,PartisanLeft,U.S. Customs and Border Protection,1
13,PartisanLeft,WebsEdgeSociety,1
14,PartisanLeft,Business Insider,2
15,PartisanLeft,Real Responders,1
16,PartisanLeft,PBS NewsHour,14
17,PartisanLeft,KCRA News,1
18,PartisanLeft,KRIS 6 News,1
19,PartisanLeft,syracuse.com,2
20,PartisanLeft,CNN,42
21,PartisanLeft,Step Back History,12
22,PartisanLeft,Philosophy Tube,12
23,PartisanLeft,Intelligence Squared,4
24,PartisanLeft,The Royal Institution,7
25,PartisanLeft,University of Notre Dame,20
26,PartisanLeft,Epic History TV,6
27,PartisanLeft,Dartmouth,3
28,PartisanLeft,smudboy,1
29,PartisanLeft,TRT World,5
30,PartisanLeft,CrashCourse,6
31,PartisanLeft,The Obama White House,5
32,PartisanLeft,DW Documentary,5
33,PartisanLeft,NCASVideo,2
34,PartisanLeft,MIT School of Architecture & Planning,2
35,PartisanLeft,The New School,59
36,PartisanLeft,Moderate Rebels,1
37,PartisanLeft,The People's Forum NYC,1
38,PartisanLeft,Kuhteeuh,1
39,PartisanLeft,Levy Economics Institute,47
40,PartisanLeft,Town Hall Seattle,11
41,PartisanLeft,CGTN,2
42,PartisanLeft,HooverInstitution,19
43,PartisanLeft,Timeline - World History Documentaries,2
44,PartisanLeft,Learn Liberty,4
45,PartisanLeft,The Laura Flanders Show,20
46,PartisanLeft,Vox,35
47,PartisanLeft,BBC Newsnight,3
48,PartisanLeft,Rocky Mountain PBS,7
49,PartisanLeft,Mississippi Public Broadcasting,4
50,PartisanLeft,Rolling Stone,12
51,PartisanLeft,RealLifeLore,1
52,PartisanLeft,YouTube,13
53,PartisanLeft,Acronym TV,2
54,PartisanLeft,Chromosome8,1
55,PartisanLeft,Council on Foreign Relations,4
56,PartisanLeft,The University of Sydney,4
57,PartisanLeft,Looper,1
58,PartisanLeft,Observatório do Clima,1
59,PartisanLeft,TEDx Talks,5
60,PartisanLeft,The Armchair Historian,3
61,PartisanLeft,Sky News Australia,4
62,PartisanLeft,Global News,34
63,PartisanLeft,Channel 4 News,5
64,PartisanLeft,The People,3
65,PartisanLeft,Lindybeige,1
66,PartisanLeft,FiveThirtyEight,21
67,PartisanLeft,Washington Week,1
68,PartisanLeft,Harvard Kennedy School's Institute of Politics,3
69,PartisanLeft,Real Time with Bill Maher,10
70,PartisanLeft,The View,3
71,PartisanLeft,Viva Frei,1
72,PartisanLeft,Fox News,33
73,PartisanLeft,Dan Crenshaw for Congress,1
74,PartisanLeft,NBC News,58
75,PartisanLeft,The Late Show with Stephen Colbert,19
76,PartisanLeft,MSNBC,92
77,PartisanLeft,PowerfulJRE,12
78,PartisanLeft,VICE,34
79,PartisanLeft,A&E,1
80,PartisanLeft,Off the Cuf,1
81,PartisanLeft,Cars Across Texas,1
82,PartisanLeft,VICE News,12
83,PartisanLeft,zlowdre,1
84,PartisanLeft,Mod2Fame Vlog,1
85,PartisanLeft,The Wonton Don,1
86,PartisanLeft,VICE TV,19
87,PartisanLeft,Knopfdoubleday,1
88,PartisanLeft,Amanpour and Company,12
89,PartisanLeft,All Things Comedy,1
90,PartisanLeft,WrestlingWorldCC,1
91,PartisanLeft,Late Night with Seth Meyers,12
92,PartisanLeft,SnoopDoggTV,1
93,PartisanLeft,Robert Reich,1
94,PartisanLeft,Detox To Rehab,1
95,PartisanLeft,The Majority Report w/ Sam Seder,3
96,PartisanLeft,Brian Tyler Cohen,3
97,PartisanLeft,Al Jazeera English,5
98,PartisanLeft,WUSA9,12
99,PartisanLeft,AJ+,14
100,PartisanLeft,Bondi Vet,1
101,PartisanLeft,The Sun,2
102,PartisanLeft,NRMA Insurance,1
103,PartisanLeft,CNA,1
104,PartisanLeft,BBC Earth,1
105,PartisanLeft,FRANCE 24 English,1
106,PartisanLeft,Sharjah24 News,1
107,PartisanLeft,Zoos Victoria,1
108,PartisanLeft,7NEWS Australia,5
109,PartisanLeft,Real Wild,1
110,PartisanLeft,SAVE YOUR PAWS,1
111,PartisanLeft,Port Stephens Koalas,1
112,PartisanLeft,This Morning,1
113,PartisanLeft,The Dodo,1
114,PartisanLeft,All Things Australia,1
115,PartisanLeft,Rumble Viral,1
116,PartisanLeft,Nature Social,1
117,PartisanLeft,Topic,2
118,PartisanLeft,CBC News,10
119,PartisanLeft,Associated Press,2
120,PartisanLeft,CBC News: The National,14
121,PartisanLeft,Good Morning Britain,4
122,PartisanLeft,Mark Bowden,1
123,PartisanLeft,ITV News,4
124,PartisanLeft,ABC10,6
125,PartisanLeft,Quartz,1
126,PartisanLeft,NBC New York,4
127,PartisanLeft,60 Minutes Australia,4
128,PartisanLeft,Tech Insider,1
129,PartisanLeft,Reveal,4
130,PartisanLeft,The New Yorker,1
131,PartisanLeft,Modern Aging - Holistic Health and Wealth After 50,1
132,PartisanLeft,NewsChannel 5,1
133,PartisanLeft,Jimmy Kimmel Live,8
134,PartisanLeft,Tulsa Public Schools,2
135,PartisanLeft,The Infographics Show,1
136,PartisanLeft,Wall Street Journal,5
137,PartisanLeft,Second Thought,4
138,PartisanLeft,i-D,16
139,PartisanLeft,Rina Sawayama,8
140,PartisanLeft,Caroline Polachek,1
141,PartisanLeft,YG ENTERTAINMENT,1
142,PartisanLeft,Kim Petras,1
143,PartisanLeft,mitski mitski,1
144,PartisanLeft,theneedledrop,1
145,PartisanLeft,solangeknowlesmusic,1
146,PartisanLeft,Charli XCX,1
147,PartisanLeft,JYP Entertainment,2
148,PartisanLeft,Doja Cat,2
149,PartisanLeft,Princess Nokia,1
150,PartisanLeft,Kristi Winters,6
151,PartisanLeft,92nd Street Y,43
152,PartisanLeft,University of California Television (UCTV),3
153,PartisanLeft,Encore +,5
154,PartisanLeft,talkRADIO,3
155,PartisanLeft,Destiny,1
156,PartisanLeft,The Young Turks,7
157,PartisanLeft,Haymarket Books,15
158,PartisanLeft,Hip Hughes,1
159,PartisanLeft,University of Kentucky College of Arts & Sciences,3
160,PartisanLeft,Sky News,2
161,PartisanLeft,Chapo Trap House,16
162,PartisanLeft,Sundowning2020,1
163,PartisanLeft,Film at Lincoln Center,3
164,PartisanLeft,The Dick Cavett Show,3
165,PartisanLeft,Travis & Jonathan,5
166,PartisanLeft,EcoFarmVideo,2
167,PartisanLeft,Talks at Google,9
168,PartisanLeft,Watson Institute for International and Public Affairs,1
169,PartisanLeft,GQ,4
170,PartisanLeft,TVO Docs,3
171,PartisanLeft,Brown University,10
172,PartisanLeft,FRONTLINE PBS | Official,1
173,PartisanLeft,American Museum of Natural History,4
174,PartisanLeft,The Daily Conversation,6
175,PartisanLeft,Eddie Bauer,1
176,PartisanLeft,Booth,3
177,PartisanLeft,Nicole Sandler,4
178,PartisanLeft,Jimmy Carr,2
179,PartisanLeft,Bad Crayfish Productions,1
180,PartisanLeft,LegalEagle,9
181,PartisanLeft,BBC News,2
182,PartisanLeft,The Tonight Show Starring Jimmy Fallon,3
183,PartisanLeft,The Graham Norton Show,2
184,PartisanLeft,The Late Late Show with James Corden,2
185,PartisanLeft,RoveOnline,1
186,PartisanLeft,OWN,2
187,PartisanLeft,Comedy Central,5
188,PartisanLeft,BBC America,1
189,PartisanLeft,BBC,1
190,PartisanLeft,Academy Originals,1
191,PartisanLeft,Television Academy,1
192,PartisanLeft,Epic Times,1
193,PartisanLeft,Yongey Mingyur Rinpoche,1
194,PartisanLeft,Full Frontal with Samantha Bee,13
195,PartisanLeft,NowThis News,22
196,PartisanLeft,Entertainment Tonight,4
197,PartisanLeft,Steve Adubato,1
198,PartisanLeft,Bill Press Video,2
199,PartisanLeft,C-SPAN,3
200,PartisanLeft,WGBHForum,1
201,PartisanLeft,The University of Manchester,2
202,PartisanLeft,Commonwealth Club,7
203,PartisanLeft,ABC13 Houston,5
204,PartisanLeft,Let's Talk Elections,1
205,PartisanLeft,ABC7 News Bay Area,1
206,PartisanLeft,The Damage Report,3
207,PartisanLeft,The News & Observer,4
208,PartisanLeft,The Independent,3
209,PartisanLeft,The New York Times,5
210,PartisanLeft,9 News Australia,3
211,PartisanLeft,Eyewitness News ABC7NY,4
212,PartisanLeft,SNEAKO,1
213,PartisanLeft,WonderWhy,1
214,PartisanLeft,Dalhousie University,2
215,PartisanLeft,Unreported World,2
216,PartisanLeft,YouTube Movies,16
217,PartisanLeft,Johnny Bigger,1
218,PartisanLeft,- Cogito -,2
219,PartisanLeft,ACLU,2
220,PartisanLeft,Ricardo Walker,1
221,PartisanLeft,Jabez,5
222,PartisanLeft,Comedy Hype,2
223,PartisanLeft,Bringing Down The Band,1
224,PartisanLeft,The Hill,2
225,PartisanLeft,Justin Trudeau – Prime Minister of Canada,1
226,PartisanLeft,Judson Laipply,1
227,PartisanLeft,PoliDice,10
228,PartisanLeft,CGP Grey,11
229,PartisanLeft,Professor Dave Explains,12
230,PartisanLeft,Studio 10,1
231,PartisanLeft,OverSimplified,2
232,PartisanLeft,The Daily Show with Trevor Noah,1
233,PartisanLeft,Some More News,14
234,PartisanLeft,WWE,2
235,PartisanLeft,Katie Couric,1
236,PartisanLeft,robert promo,2
237,PartisanLeft,Real Engineering,1
238,PartisanLeft,Best Ever Food Review Show,2
239,PartisanLeft,Niko House & The MCSC Network,3
240,PartisanLeft,ESPN,1
241,PartisanLeft,CBS News,7
242,PartisanLeft,Mike Malloy Show,3
243,PartisanLeft,Politics and Prose,1
244,PartisanLeft,First We Feast,3
245,PartisanLeft,CNBC Television,4
246,PartisanLeft,Saturday Night Live,6
247,PartisanLeft,Times Talks,1
248,PartisanLeft,Washington Post,8
249,PartisanLeft,Good Morning America,1
250,PartisanLeft,Billy Perry,1
251,PartisanLeft,LA-OC.tv,1
252,PartisanLeft,Doctor Mike Hansen,1
253,PartisanLeft,Max Maher,1
254,PartisanLeft,Paul Tran Pharmacist,1
255,PartisanLeft,Jocko Podcast,4
256,PartisanLeft,ESSENCE,1
257,PartisanLeft,Montgomery College,1
258,PartisanLeft,The Agenda with Steve Paikin,1
259,PartisanLeft,NativLang,1
260,PartisanLeft,Gapminder Foundation,1
261,PartisanLeft,J.J. McCullough,10
262,PartisanLeft,TED-Ed,1
263,PartisanLeft,Geography Now,4
