,Category,Next Channel,Count
0,ReligiousConservative,Dose of Truth,3
1,ReligiousConservative,Wise Mind,1
2,ReligiousConservative,Motivation Madness,10
3,ReligiousConservative,TheArchangel911,48
4,ReligiousConservative,Coin Trader Official,3
5,ReligiousConservative,THE BESTS,8
6,ReligiousConservative,Bite-sized Philosophy,17
7,ReligiousConservative,Jordan B Peterson,352
8,ReligiousConservative,tmcleanful,1
9,ReligiousConservative,ZeroFox Given,1
10,ReligiousConservative,Gravitahn,12
11,ReligiousConservative,YAFTV,28
12,ReligiousConservative,Acton Institute,2
13,ReligiousConservative,HooverInstitution,116
14,ReligiousConservative,PragerU,6
15,ReligiousConservative,ONE FOR ISRAEL Ministry,1
16,ReligiousConservative,The Rubin Report,22
17,ReligiousConservative,Hillsdale College,2
18,ReligiousConservative,Stanford College Republicans,1
19,ReligiousConservative,Roosh V,15
20,ReligiousConservative,The Aspen Institute,42
21,ReligiousConservative,BALKAN INFO - Zvanični kanal,1
22,ReligiousConservative,Journeyman Pictures,1
23,ReligiousConservative,Jesse Lee Peterson,5
24,ReligiousConservative,Anthony Pompliano,3
25,ReligiousConservative,socratesinthecity,17
26,ReligiousConservative,Theo Von,6
27,ReligiousConservative,Allie Beth Stuckey,7
28,ReligiousConservative,Lewis Howes,21
29,ReligiousConservative,Liberty University,14
30,ReligiousConservative,Capturing Christianity,2
31,ReligiousConservative,EdChoice,4
32,ReligiousConservative,Fox News,49
33,ReligiousConservative,University of Notre Dame,51
34,ReligiousConservative,Steubenville Conferences,1
35,ReligiousConservative,Professor Dave Explains,3
36,ReligiousConservative,The New School,13
37,ReligiousConservative,Destiny,1
38,ReligiousConservative,BOND: Rebuilding the Man,1
39,ReligiousConservative,Chicago Humanities Festival,2
40,ReligiousConservative,Room for Discussion,49
41,ReligiousConservative,British GQ,24
42,ReligiousConservative,Ben Shapiro,18
43,ReligiousConservative,The Women's Code,1
44,ReligiousConservative,Jordan Peterson Fan Channel,3
45,ReligiousConservative,How To Academy,29
46,ReligiousConservative,Whanhee,1
47,ReligiousConservative,H3 Podcast Highlights,2
48,ReligiousConservative,DoctorOz,12
49,ReligiousConservative,Channel 4 News,7
50,ReligiousConservative,Michael Knowles,2
51,ReligiousConservative,John Anderson,15
52,ReligiousConservative,ReaganFoundation,5
53,ReligiousConservative,Sky News Australia,2
54,ReligiousConservative,Senator Ted Cruz,4
55,ReligiousConservative,Yahoo Finance,4
56,ReligiousConservative,Skavlan,1
57,ReligiousConservative,Gadi Taub,1
58,ReligiousConservative,TVO Docs,31
59,ReligiousConservative,MULLIGAN BROTHERS INTERVIEWS,24
60,ReligiousConservative,abcqanda,3
61,ReligiousConservative,Nicholson1968,1
62,ReligiousConservative,The Veritas Forum,29
63,ReligiousConservative,Rob Moore,1
64,ReligiousConservative,Founders Ministries,3
65,ReligiousConservative,World Science Festival,1
66,ReligiousConservative,Isaac Arthur,1
67,ReligiousConservative,Closer To Truth,1
68,ReligiousConservative,Gapminder Foundation,2
69,ReligiousConservative,Intelligence Squared,2
70,ReligiousConservative,Ligonier Ministries,21
71,ReligiousConservative,Is Genesis History?,1
72,ReligiousConservative,Moyers & Company,4
73,ReligiousConservative,Crossroads Community Church - Winchester VA,1
74,ReligiousConservative,Philosophy Tube,1
75,ReligiousConservative,Al Hazen,1
76,ReligiousConservative,sanderson1611,7
77,ReligiousConservative,BiolaUniversity,26
78,ReligiousConservative,In Touch Ministries,9
79,ReligiousConservative,Grace to You,3
80,ReligiousConservative,Ravi Zacharias International Ministries,5
81,ReligiousConservative,Victory Tulsa,45
82,ReligiousConservative,Saddleback Church,17
83,ReligiousConservative,Jesus Culture,6
84,ReligiousConservative,The Salvation Army Kroc Center,3
85,ReligiousConservative,Ben Shapiro Thug Life,12
86,ReligiousConservative,The Free Speech Club,6
87,ReligiousConservative,Millennial Action Project,1
88,ReligiousConservative,Charisma on Command,5
89,ReligiousConservative,The Daily Wire,3
90,ReligiousConservative,EWTN,3
91,ReligiousConservative,Mauritian Struggle,9
92,ReligiousConservative,The Heritage Foundation,9
93,ReligiousConservative,60 Minutes Australia,1
94,ReligiousConservative,The Eric Metaxas Radio Show,4
95,ReligiousConservative,Adam Carolla,2
96,ReligiousConservative,Essential Truth,10
97,ReligiousConservative,The Delve,4
98,ReligiousConservative,Think Club,1
99,ReligiousConservative,ManOfAllCreation,1
100,ReligiousConservative,Motivation2Study,1
101,ReligiousConservative,Alex Swan,6
102,ReligiousConservative,M Czerna,12
103,ReligiousConservative,Eye 1,1
104,ReligiousConservative,The Invisible Man,1
105,ReligiousConservative,Pragmatic Entertainment,3
106,ReligiousConservative,Glenn Beck,2
107,ReligiousConservative,Kevin O'Leary,3
108,ReligiousConservative,"The Martin Luther King, Jr. Center for Nonviolent Social Change",5
109,ReligiousConservative,PowerfulJRE,24
110,ReligiousConservative,Five Star,8
111,ReligiousConservative,Warriors for Christ,3
112,ReligiousConservative,University of California Television (UCTV),5
113,ReligiousConservative,T.D. Jakes,3
114,ReligiousConservative,GRCCtv,1
115,ReligiousConservative,Bethel TV,1
116,ReligiousConservative,Spirit Tribe Awakening,7
117,ReligiousConservative,Answers in Genesis,1
118,ReligiousConservative,Joel Osteen,1
119,ReligiousConservative,Discovery Science,4
120,ReligiousConservative,Jay Dyer,4
121,ReligiousConservative,EcoFarmVideo,1
122,ReligiousConservative,Brown University,22
123,ReligiousConservative,Seton Hall University,2
124,ReligiousConservative,YaleCourses,23
125,ReligiousConservative,Insitum Verbum,2
126,ReligiousConservative,IntlSpyMuseum,3
127,ReligiousConservative,The Sun,3
