,Category,Next Channel,Count
0,WhiteIdentitarian,Brittany Sellner,4
1,WhiteIdentitarian,socratesinthecity,1
2,WhiteIdentitarian,Stanford,1
3,WhiteIdentitarian,TEDx Talks,11
4,WhiteIdentitarian,Mark Galer's Alpha Creative Skills,1
5,WhiteIdentitarian,Understood,3
6,WhiteIdentitarian,Rachit Jain,1
7,WhiteIdentitarian,German Girl in America,1
8,WhiteIdentitarian,thebrightcreative,1
9,WhiteIdentitarian,UnHerd,1
10,WhiteIdentitarian,Jacobin Magazine,13
11,WhiteIdentitarian,Stephanie Lyn Coaching,1
12,WhiteIdentitarian,Eckhart Tolle,3
13,WhiteIdentitarian,Jocko Podcast,8
14,WhiteIdentitarian,Blonde in the Belly of the Beast,7
15,WhiteIdentitarian,LegalEagle,2
16,WhiteIdentitarian,Essential Truth,1
17,WhiteIdentitarian,Kenn Daily,3
18,WhiteIdentitarian,thkelly67,4
19,WhiteIdentitarian,Fox News,119
20,WhiteIdentitarian,Discover Ireland,1
21,WhiteIdentitarian,Darragh O'Dea Music,1
22,WhiteIdentitarian,Coaster Gen,1
23,WhiteIdentitarian,Sophie Chevelu,1
24,WhiteIdentitarian,Becca Cone,1
25,WhiteIdentitarian,HooverInstitution,283
26,WhiteIdentitarian,The Rubin Report,2
27,WhiteIdentitarian,American Battlefield Trust,5
28,WhiteIdentitarian,WIRED UK,5
29,WhiteIdentitarian,Knights of Columbus discuss,1
30,WhiteIdentitarian,Everlycece,1
31,WhiteIdentitarian,Newsmax TV,1
32,WhiteIdentitarian,The 700 Club,2
33,WhiteIdentitarian,PhilosophiCat,4
34,WhiteIdentitarian,Catholic Answers,2
35,WhiteIdentitarian,Jonathan Pageau,1
36,WhiteIdentitarian,Michael Millerman,1
37,WhiteIdentitarian,Revolt Against The Modern World Film,1
38,WhiteIdentitarian,University of California Television (UCTV),2
39,WhiteIdentitarian,Ligonier Ministries,2
40,WhiteIdentitarian,Al Jazeera English,2
41,WhiteIdentitarian,The Great Courses Plus,1
42,WhiteIdentitarian,Survive the Jive,8
43,WhiteIdentitarian,Überfolk Official,3
44,WhiteIdentitarian,TVO Docs,14
45,WhiteIdentitarian,FandangoNOW Extras,2
46,WhiteIdentitarian,BBC Documentary,3
47,WhiteIdentitarian,The Met,7
48,WhiteIdentitarian,Kali Yuga,4
49,WhiteIdentitarian,Chad A. Haag Peak Oil Philosophy,2
50,WhiteIdentitarian,MillionDollarExtreme2,4
51,WhiteIdentitarian,University of Notre Dame,5
52,WhiteIdentitarian,Talks at Google,15
53,WhiteIdentitarian,Jordan B Peterson,80
54,WhiteIdentitarian,OxfordUnion,30
55,WhiteIdentitarian,Bret Weinstein,2
56,WhiteIdentitarian,CareyHolzman,2
57,WhiteIdentitarian,EdChoice,4
58,WhiteIdentitarian,Studio 10,29
59,WhiteIdentitarian,Saddleback Church,1
60,WhiteIdentitarian,Wolters World,1
61,WhiteIdentitarian,The New School,53
62,WhiteIdentitarian,Oppressed Media,5
63,WhiteIdentitarian,Charisma on Command,8
64,WhiteIdentitarian,Liberty University,3
65,WhiteIdentitarian,Council on Foreign Relations,1
66,WhiteIdentitarian,TED,5
67,WhiteIdentitarian,ABC News In-depth,3
68,WhiteIdentitarian,Atomic Shrimp,1
69,WhiteIdentitarian,Steubenville Conferences,4
70,WhiteIdentitarian,DW Documentary,3
71,WhiteIdentitarian,Reagan Library,1
72,WhiteIdentitarian,Laura Towler,9
73,WhiteIdentitarian,talkRADIO,3
74,WhiteIdentitarian,The Aspen Institute,41
75,WhiteIdentitarian,Gravitahn,2
76,WhiteIdentitarian,EURACTIV,1
77,WhiteIdentitarian,George Carlin Official YouTube Channel,5
78,WhiteIdentitarian,Moyers & Company,6
79,WhiteIdentitarian,NCASVideo,1
80,WhiteIdentitarian,Leadership Institute,2
81,WhiteIdentitarian,The Iconoclast,6
82,WhiteIdentitarian,The Newsmakers,3
83,WhiteIdentitarian,Channel 4 News,5
84,WhiteIdentitarian,vpro documentary,7
85,WhiteIdentitarian,GEO SUPER,1
86,WhiteIdentitarian,Gapminder Foundation,31
87,WhiteIdentitarian,The Sun,5
88,WhiteIdentitarian,Sky News Australia,16
89,WhiteIdentitarian,VICE News,2
90,WhiteIdentitarian,Foundation for Economic Education,93
91,WhiteIdentitarian,Voxiversity,4
92,WhiteIdentitarian,Tom Nicholas,1
93,WhiteIdentitarian,Richard Wolff Briefly,1
94,WhiteIdentitarian,The Marxist Project,1
95,WhiteIdentitarian,Guardian News,1
96,WhiteIdentitarian,Rolling Stone,2
97,WhiteIdentitarian,MovementMaterial,3
98,WhiteIdentitarian,Second Thought,1
99,WhiteIdentitarian,AustralianRealist,4
100,WhiteIdentitarian,Framtidsstudier,1
101,WhiteIdentitarian,Christ Community Chapel,1
102,WhiteIdentitarian,SOH Talks & Ideas Archive,1
103,WhiteIdentitarian,Cretetv Antitheseis,1
104,WhiteIdentitarian,CBC,2
105,WhiteIdentitarian,Emory University,4
106,WhiteIdentitarian,Televízia TA3,9
107,WhiteIdentitarian,The Agenda with Steve Paikin,1
108,WhiteIdentitarian,HTB Church,3
109,WhiteIdentitarian,Intelligence Squared,4
110,WhiteIdentitarian,UnivNantes,1
111,WhiteIdentitarian,TRT World,7
112,WhiteIdentitarian,Anglophenia,2
113,WhiteIdentitarian,TheArchangel911,1
114,WhiteIdentitarian,Financial Times,1
115,WhiteIdentitarian,Journeyman Pictures,3
116,WhiteIdentitarian,Triggernometry,1
