,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,Genetically Modified Skeptic,1
1,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,The Lune INNATE,2
2,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,Healing Beyond Borders,1
3,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,CordyAndersonQTTT,1
4,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,Lisa Biagetti,1
5,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,True Stories,1
6,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,TED,1
7,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,Robert Bourne,1
8,AntiTheist,Genetically Modified Skeptic,Skeptics Visit a Reiki Healer,254570,Inspire Nation,1
9,AntiTheist,JaclynGlenn,I got some really disturbing letters from kids (Unboxing),77080,JaclynGlenn,9
10,AntiTheist,JaclynGlenn,I got some really disturbing letters from kids (Unboxing),77080,Jaclyn & David Vlogs,1
11,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,Sandre The Teacher,1
12,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,CNN,1
13,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,Brown University,1
14,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,2BeLikeChrist,1
15,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,The Hook,1
16,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,TEDx Talks,1
17,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,TNT,1
18,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,Roland S. Martin,1
19,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,NBC News,1
20,AntiTheist,Sandre The Teacher,The Solution to Racism according to Morgan Freeman,217,T1J,1
21,AntiTheist,King Crocoduck,Quantum Theory Made Easy {3} [April Fools Edition],93176,King Crocoduck,4
22,AntiTheist,King Crocoduck,Quantum Theory Made Easy {3} [April Fools Edition],93176,TaughtToProfit,1
23,AntiTheist,King Crocoduck,Quantum Theory Made Easy {3} [April Fools Edition],93176,Santa Fe Institute,1
24,AntiTheist,King Crocoduck,Quantum Theory Made Easy {3} [April Fools Edition],93176,World Science Festival,1
25,AntiTheist,King Crocoduck,Quantum Theory Made Easy {3} [April Fools Edition],93176,Science & Cocktails,1
26,AntiTheist,King Crocoduck,Quantum Theory Made Easy {3} [April Fools Edition],93176,LondonCityGirl,1
27,AntiTheist,King Crocoduck,Quantum Theory Made Easy {3} [April Fools Edition],93176,documentaryondemand,1
28,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,C0ct0pusPrime,1
29,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,100huntley,1
30,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,Dr. Jim Richards,1
31,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,The Rubin Report,1
32,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,Grand View Church,1
33,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,Mister Epic Mann,1
34,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,Emergent Order,1
35,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,Clashproduction,1
36,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,City Harvest Church,1
37,AntiTheist,C0ct0pusPrime,Test Your Faith...& Patience (CR#37),6535,John G. Lake Ministries,1
38,AntiTheist,JaclynGlenn,SOMEONE SENT ME A GLITTER BOMB!!,116800,JaclynGlenn,5
39,AntiTheist,JaclynGlenn,SOMEONE SENT ME A GLITTER BOMB!!,116800,RT America,1
40,AntiTheist,JaclynGlenn,SOMEONE SENT ME A GLITTER BOMB!!,116800,Imbrandonfarris,1
41,AntiTheist,JaclynGlenn,SOMEONE SENT ME A GLITTER BOMB!!,116800,Steve TV Show,1
42,AntiTheist,JaclynGlenn,SOMEONE SENT ME A GLITTER BOMB!!,116800,Rachel Oates,1
