,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,African Diaspora News Channel,1
1,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,MSNBC,1
2,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,Netflix Is A Joke,1
3,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,K-State College of Education,1
4,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,It Is Written,1
5,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,Fox News,1
6,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,Late Night with Seth Meyers,1
7,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,LastWeekTonight,1
8,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,Emory University,1
9,AntiWhiteness,African Diaspora News Channel,The Danger Of Following & Thinking Mzungus Will Save Us,23366,Breakfast Club Power 105.1 FM,1
10,AntiWhiteness,African Diaspora News Channel,Chinese Doctors Sent To African Nations While Africans Are Being Mistreated In China,18770,African Diaspora News Channel,1
11,AntiWhiteness,African Diaspora News Channel,Chinese Doctors Sent To African Nations While Africans Are Being Mistreated In China,18770,Late Night with Seth Meyers,1
12,AntiWhiteness,African Diaspora News Channel,Chinese Doctors Sent To African Nations While Africans Are Being Mistreated In China,18770,K-State College of Education,1
13,AntiWhiteness,African Diaspora News Channel,Chinese Doctors Sent To African Nations While Africans Are Being Mistreated In China,18770,Fox News,3
14,AntiWhiteness,African Diaspora News Channel,Chinese Doctors Sent To African Nations While Africans Are Being Mistreated In China,18770,Netflix Is A Joke,1
15,AntiWhiteness,African Diaspora News Channel,Chinese Doctors Sent To African Nations While Africans Are Being Mistreated In China,18770,Voicetv Nigeria,1
16,AntiWhiteness,African Diaspora News Channel,Chinese Doctors Sent To African Nations While Africans Are Being Mistreated In China,18770,LastWeekTonight,1
17,AntiWhiteness,African Diaspora News Channel,Chinese Doctors Sent To African Nations While Africans Are Being Mistreated In China,18770,Anthony Pompliano,1
18,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,African Diaspora News Channel,1
19,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,RNZ,1
20,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,CNN,2
21,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,Fox News,1
22,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,MSNBC,1
23,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,The View,1
24,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,Drbeen Medical Lectures,1
25,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,Journeyman Pictures,1
26,AntiWhiteness,African Diaspora News Channel,Black NHS Workers Are Treated Unfairly & Barely Recognized Even During COVID-19,14449,NBC News,1
27,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,African Diaspora News Channel,1
28,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,Fox News,2
29,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,The Late Show with Stephen Colbert,1
30,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,CNN,1
31,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,Chicago Humanities Festival,1
32,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,African Diaspora News Insider,1
33,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,Roland S. Martin,1
34,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,ABC News,1
35,AntiWhiteness,African Diaspora News Channel,Rep.Karen Whitsett Asked Donald Trump For An HBCU Instead Of Money For The Black Community,19448,Netflix Is A Joke,1
