,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,FADE TO BLACK Radio,2
1,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,Space & The Universe HD,1
2,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,The University of Manchester,1
3,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,The New School,1
4,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,CBC,1
5,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,The Met,1
6,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,NASA,1
7,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,Fox News,1
8,Conspiracy,FADE TO BLACK Radio,Ep. 1163 FADE to BLACK Jimmy Church w/ Billy Carson : The Creation Story,10136,Drbeen Medical Lectures,1
9,Conspiracy,American Intelligence Media,Eulogy for Joseph Mifsud,25118,American Intelligence Media,1
10,Conspiracy,American Intelligence Media,Eulogy for Joseph Mifsud,25118,BBC Newsnight,1
11,Conspiracy,American Intelligence Media,Eulogy for Joseph Mifsud,25118,HooverInstitution,3
12,Conspiracy,American Intelligence Media,Eulogy for Joseph Mifsud,25118,Fox News,2
13,Conspiracy,American Intelligence Media,Eulogy for Joseph Mifsud,25118,socratesinthecity,1
14,Conspiracy,American Intelligence Media,Eulogy for Joseph Mifsud,25118,ReaganFoundation,1
15,Conspiracy,American Intelligence Media,Eulogy for Joseph Mifsud,25118,The Aspen Institute,1
16,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,ChangeDaChannel,1
17,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,Mississippi Public Broadcasting,1
18,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,Praylu,1
19,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,ACTOR SPACES,1
20,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,Gordon Ramsay,1
21,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,Vsauce,1
22,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,Mr.Within's Gift,1
23,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,LosGranosTV,1
24,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,socratesinthecity,1
25,Conspiracy,ChangeDaChannel,Monologue of a Revolutionary 111,377,3Blue1Brown,1
26,Conspiracy,Lisa Haven,You’ll Get CHILLS When You See This 2012 Comic Books “COVID Prophecies” Unbelievable Parallel,42115,Lisa Haven,1
27,Conspiracy,Lisa Haven,You’ll Get CHILLS When You See This 2012 Comic Books “COVID Prophecies” Unbelievable Parallel,42115,Fox News,7
28,Conspiracy,Lisa Haven,You’ll Get CHILLS When You See This 2012 Comic Books “COVID Prophecies” Unbelievable Parallel,42115,Alisa Mohamed,1
29,Conspiracy,Lisa Haven,You’ll Get CHILLS When You See This 2012 Comic Books “COVID Prophecies” Unbelievable Parallel,42115,The 700 Club,1
30,Conspiracy,Laura Loomer,"Brenda Snipes CONFRONTED About Destroying Broward County, FL Ballots",7649,Laura Loomer,1
31,Conspiracy,Laura Loomer,"Brenda Snipes CONFRONTED About Destroying Broward County, FL Ballots",7649,WPLG Local 10,2
32,Conspiracy,Laura Loomer,"Brenda Snipes CONFRONTED About Destroying Broward County, FL Ballots",7649,WOOD TV8,1
33,Conspiracy,Laura Loomer,"Brenda Snipes CONFRONTED About Destroying Broward County, FL Ballots",7649,Fox News,1
34,Conspiracy,Laura Loomer,"Brenda Snipes CONFRONTED About Destroying Broward County, FL Ballots",7649,CBS Miami,1
35,Conspiracy,Laura Loomer,"Brenda Snipes CONFRONTED About Destroying Broward County, FL Ballots",7649,Fox Business,2
36,Conspiracy,Laura Loomer,"Brenda Snipes CONFRONTED About Destroying Broward County, FL Ballots",7649,WPTV News - FL Palm Beaches and Treasure Coast,1
37,Conspiracy,Laura Loomer,"Brenda Snipes CONFRONTED About Destroying Broward County, FL Ballots",7649,MSNBC,1
38,Conspiracy,Qronos16,666 The Mark Of The Beast Has Arrived,5014,Qronos16,1
39,Conspiracy,Qronos16,666 The Mark Of The Beast Has Arrived,5014,The 700 Club,1
40,Conspiracy,Qronos16,666 The Mark Of The Beast Has Arrived,5014,Fox News,1
41,Conspiracy,Qronos16,666 The Mark Of The Beast Has Arrived,5014,Pastor Greg Laurie,1
42,Conspiracy,Qronos16,666 The Mark Of The Beast Has Arrived,5014,Northland Church,1
43,Conspiracy,Qronos16,666 The Mark Of The Beast Has Arrived,5014,Three Angels Broadcasting Network (3ABN),1
44,Conspiracy,Qronos16,666 The Mark Of The Beast Has Arrived,5014,YouTube Movies,3
45,Conspiracy,Qronos16,666 The Mark Of The Beast Has Arrived,5014,The Guardian,1
46,Conspiracy,FADE TO BLACK Radio,Ep. 1206 FADE to BLACK Jimmy Church w/ David Icke : World Events TODAY,12937,FADE TO BLACK Radio,2
47,Conspiracy,FADE TO BLACK Radio,Ep. 1206 FADE to BLACK Jimmy Church w/ David Icke : World Events TODAY,12937,TVO Docs,1
48,Conspiracy,FADE TO BLACK Radio,Ep. 1206 FADE to BLACK Jimmy Church w/ David Icke : World Events TODAY,12937,Fox News,2
49,Conspiracy,FADE TO BLACK Radio,Ep. 1206 FADE to BLACK Jimmy Church w/ David Icke : World Events TODAY,12937,socratesinthecity,1
50,Conspiracy,FADE TO BLACK Radio,Ep. 1206 FADE to BLACK Jimmy Church w/ David Icke : World Events TODAY,12937,The Oriental Institute,1
51,Conspiracy,FADE TO BLACK Radio,Ep. 1206 FADE to BLACK Jimmy Church w/ David Icke : World Events TODAY,12937,EcoFarmVideo,1
52,Conspiracy,FADE TO BLACK Radio,Ep. 1206 FADE to BLACK Jimmy Church w/ David Icke : World Events TODAY,12937,PowerfulJRE,1
53,Conspiracy,FADE TO BLACK Radio,Ep. 1206 FADE to BLACK Jimmy Church w/ David Icke : World Events TODAY,12937,ReaganFoundation,1
54,Conspiracy,Lift the Veil,"Trump Flips On Vaccines: ""They Have To Get The Shots!""",11877,Lift the Veil,1
55,Conspiracy,Lift the Veil,"Trump Flips On Vaccines: ""They Have To Get The Shots!""",11877,Fox News,7
56,Conspiracy,Lift the Veil,"Trump Flips On Vaccines: ""They Have To Get The Shots!""",11877,socratesinthecity,1
57,Conspiracy,Lift the Veil,"Trump Flips On Vaccines: ""They Have To Get The Shots!""",11877,GrassRoots Community Network,1
58,Conspiracy,SkyWatch TV,Unraveling Revelation: The Four Beasts of Daniel,11567,SkyWatch TV,1
59,Conspiracy,SkyWatch TV,Unraveling Revelation: The Four Beasts of Daniel,11567,Victory Tulsa,2
60,Conspiracy,SkyWatch TV,Unraveling Revelation: The Four Beasts of Daniel,11567,Liberty University,2
61,Conspiracy,SkyWatch TV,Unraveling Revelation: The Four Beasts of Daniel,11567,socratesinthecity,1
