,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Educational,Masaman,What if the European Union Became a Single Country?,271547,Masaman,2
1,Educational,Masaman,What if the European Union Became a Single Country?,271547,Wendover Productions,1
2,Educational,Masaman,What if the European Union Became a Single Country?,271547,Suibhne,1
3,Educational,Masaman,What if the European Union Became a Single Country?,271547,Kurzgesagt – In a Nutshell,1
4,Educational,Masaman,What if the European Union Became a Single Country?,271547,Fire of Learning,1
5,Educational,Masaman,What if the European Union Became a Single Country?,271547,andersonjeffs1,1
6,Educational,Masaman,What if the European Union Became a Single Country?,271547,NCASVideo,1
7,Educational,Masaman,What if the European Union Became a Single Country?,271547,Epic History TV,1
8,Educational,Masaman,What if the European Union Became a Single Country?,271547,CGP Grey,1
9,Educational,Jubilee,Can 6 Married People Find The Liar?,5395169,Jubilee,9
10,Educational,Jubilee,Can 6 Married People Find The Liar?,5395169,YouTube,1
11,Educational,lacigreen,SEX TOY HYSTERIA,505509,lacigreen,1
12,Educational,MeaningofLife.tv,Solving the mind-body problem | Robert Wright & John Horgan [The Wright Show],5834,MeaningofLife.tv,10
13,Educational,NPR,Cosmology,6983,NPR,4
14,Educational,NPR,Cosmology,6983,Live from Here,1
15,Educational,NPR,Cosmology,6983,Big Think,1
16,Educational,NPR,Cosmology,6983,Keeping up with the lions,1
17,Educational,NPR,Cosmology,6983,TEDx Talks,1
18,Educational,NPR,Cosmology,6983,CrashCourse,1
19,Educational,NPR,Cosmology,6983,ANU TV,1
20,Educational,Jubilee,Do All Christians Think the Same?,4652249,Jubilee,8
21,Educational,Jubilee,Do All Christians Think the Same?,4652249,Talk Fast Listen Slow,1
22,Educational,Jubilee,Do All Christians Think the Same?,4652249,Cut,1
23,Educational,Cheddar,Media Companies Are Turning Streaming Back Into Cable - Cheddar Explains,421856,Cheddar,6
24,Educational,Cheddar,Media Companies Are Turning Streaming Back Into Cable - Cheddar Explains,421856,CNBC,1
25,Educational,Cheddar,Media Companies Are Turning Streaming Back Into Cable - Cheddar Explains,421856,LastWeekTonight,1
26,Educational,Cheddar,Media Companies Are Turning Streaming Back Into Cable - Cheddar Explains,421856,Netflix Is A Joke,1
27,Educational,Cheddar,Media Companies Are Turning Streaming Back Into Cable - Cheddar Explains,421856,Tech Insider,1
28,Educational,Bloggingheads.tv,Convince a Bernie Skeptic | Aryeh Cohen-Wade & Micah Uetricht [Culturally Determined],1142,Bloggingheads.tv,8
29,Educational,Bloggingheads.tv,Convince a Bernie Skeptic | Aryeh Cohen-Wade & Micah Uetricht [Culturally Determined],1142,Netflix Is A Joke,1
30,Educational,Bloggingheads.tv,Convince a Bernie Skeptic | Aryeh Cohen-Wade & Micah Uetricht [Culturally Determined],1142,YouTube,1
31,Educational,Justin Murphy,Ethics of the Retrofuture — Other Life with Eliot Rosenstock IRL live,2167,Justin Murphy,6
32,Educational,Justin Murphy,Ethics of the Retrofuture — Other Life with Eliot Rosenstock IRL live,2167,Deutsches Haus,1
33,Educational,Justin Murphy,Ethics of the Retrofuture — Other Life with Eliot Rosenstock IRL live,2167,ANU TV,1
