,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,LateNightTalkShow,Patriot Act,Don't Ignore The Asian Vote In 2020 | Patriot Act with Hasan Minhaj | Netflix,1461834,Patriot Act,9
1,LateNightTalkShow,Patriot Act,Don't Ignore The Asian Vote In 2020 | Patriot Act with Hasan Minhaj | Netflix,1461834,YouTube,1
2,LateNightTalkShow,Full Frontal with Samantha Bee,Little Show in the Big Woods | Full Frontal on TBS,54340,Full Frontal with Samantha Bee,7
3,LateNightTalkShow,Full Frontal with Samantha Bee,Little Show in the Big Woods | Full Frontal on TBS,54340,The Late Show with Stephen Colbert,2
4,LateNightTalkShow,Full Frontal with Samantha Bee,Little Show in the Big Woods | Full Frontal on TBS,54340,Late Night with Seth Meyers,1
5,LateNightTalkShow,Jimmy Kimmel Live,Guillermo’s Snack Hack - Sponsored by Slim Jim,83979,Jimmy Kimmel Live,7
6,LateNightTalkShow,Jimmy Kimmel Live,Guillermo’s Snack Hack - Sponsored by Slim Jim,83979,YouTube,1
7,LateNightTalkShow,Jimmy Kimmel Live,Guillermo’s Snack Hack - Sponsored by Slim Jim,83979,jimgaffigan,1
8,LateNightTalkShow,Jimmy Kimmel Live,Guillermo’s Snack Hack - Sponsored by Slim Jim,83979,Style.com,1
9,LateNightTalkShow,LastWeekTonight,Public Shaming: Last Week Tonight with John Oliver (HBO),12757397,LastWeekTonight,10
10,LateNightTalkShow,Full Frontal with Samantha Bee,The State of Our Union is BAD | Full Frontal on TBS,533295,Full Frontal with Samantha Bee,5
11,LateNightTalkShow,Full Frontal with Samantha Bee,The State of Our Union is BAD | Full Frontal on TBS,533295,Saturday Night Live,1
12,LateNightTalkShow,Full Frontal with Samantha Bee,The State of Our Union is BAD | Full Frontal on TBS,533295,Real Time with Bill Maher,1
13,LateNightTalkShow,Full Frontal with Samantha Bee,The State of Our Union is BAD | Full Frontal on TBS,533295,Late Night with Seth Meyers,1
14,LateNightTalkShow,Full Frontal with Samantha Bee,The State of Our Union is BAD | Full Frontal on TBS,533295,Netflix Is A Joke,1
15,LateNightTalkShow,Full Frontal with Samantha Bee,The State of Our Union is BAD | Full Frontal on TBS,533295,jimgaffigan,1
16,LateNightTalkShow,Chelsea,Jackie Chan (Full Interview) | Chelsea | Netflix,1498239,Chelsea,4
