,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,ManoelAltLite,Demirep,How COVID19 will kill the EU,9966,Demirep,2
1,ManoelAltLite,Demirep,How COVID19 will kill the EU,9966,HooverInstitution,3
2,ManoelAltLite,Demirep,How COVID19 will kill the EU,9966,vpro documentary,1
3,ManoelAltLite,Demirep,How COVID19 will kill the EU,9966,The Ohio Channel,1
4,ManoelAltLite,Demirep,How COVID19 will kill the EU,9966,University of California Television (UCTV),1
5,ManoelAltLite,Demirep,How COVID19 will kill the EU,9966,Digiday,1
6,ManoelAltLite,Demirep,How COVID19 will kill the EU,9966,Independent Institute,1
7,ManoelAltLite,John Ward,Ilhan Omar Files for Divorce from Non-Biological Husband,44097,John Ward,3
8,ManoelAltLite,John Ward,Ilhan Omar Files for Divorce from Non-Biological Husband,44097,Sky News Australia,1
9,ManoelAltLite,John Ward,Ilhan Omar Files for Divorce from Non-Biological Husband,44097,Fox News,3
10,ManoelAltLite,John Ward,Ilhan Omar Files for Divorce from Non-Biological Husband,44097,Netflix Is A Joke,1
11,ManoelAltLite,John Ward,Ilhan Omar Files for Divorce from Non-Biological Husband,44097,HooverInstitution,1
12,ManoelAltLite,John Ward,Ilhan Omar Files for Divorce from Non-Biological Husband,44097,LastWeekTonight,1
13,ManoelAltLite,Rebel Edge,"Gavin McInnes: Why Laura Loomer, Proud Boys crashed “Julius Caesar”",21926,Rebel Edge,2
14,ManoelAltLite,Rebel Edge,"Gavin McInnes: Why Laura Loomer, Proud Boys crashed “Julius Caesar”",21926,Fox News,1
15,ManoelAltLite,Rebel Edge,"Gavin McInnes: Why Laura Loomer, Proud Boys crashed “Julius Caesar”",21926,Netflix Is A Joke,1
16,ManoelAltLite,Rebel Edge,"Gavin McInnes: Why Laura Loomer, Proud Boys crashed “Julius Caesar”",21926,HooverInstitution,3
17,ManoelAltLite,Rebel Edge,"Gavin McInnes: Why Laura Loomer, Proud Boys crashed “Julius Caesar”",21926,LastWeekTonight,1
18,ManoelAltLite,Rebel Edge,"Gavin McInnes: Why Laura Loomer, Proud Boys crashed “Julius Caesar”",21926,MotleyTV,1
19,ManoelAltLite,Rebel Edge,"Gavin McInnes: Why Laura Loomer, Proud Boys crashed “Julius Caesar”",21926,truTV,1
20,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,Laura Loomer,1
21,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,Fox News,1
22,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,keezi walks,1
23,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,Christ Community Chapel,1
24,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,NBC News,1
25,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,City of David,1
26,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,Victory Tulsa,1
27,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,eNCA,1
28,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,EWTN,1
29,ManoelAltLite,Laura Loomer,Trump Spirit comes alive at night in Jerusalem,953,HTB Church,1
30,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,Domination Station,1
31,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,Liberty University,1
32,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,MotleyTV,1
33,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,Studio 10,1
34,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,truTV,1
35,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,All The Humor,1
36,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,Dry Bar Comedy,1
37,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,Fox News,2
38,ManoelAltLite,Domination Station,Ben Shapiro Savage Moments Compilation!!!,5053132,Lewis Howes,1
39,ManoelAltLite,JustInformed Talk,Are WE Listening To THEIR SECRET COMMS?,68512,JustInformed Talk,1
40,ManoelAltLite,JustInformed Talk,Are WE Listening To THEIR SECRET COMMS?,68512,Liberty University,1
41,ManoelAltLite,JustInformed Talk,Are WE Listening To THEIR SECRET COMMS?,68512,Netflix Is A Joke,1
42,ManoelAltLite,JustInformed Talk,Are WE Listening To THEIR SECRET COMMS?,68512,The Ohio Channel,1
43,ManoelAltLite,JustInformed Talk,Are WE Listening To THEIR SECRET COMMS?,68512,HooverInstitution,2
44,ManoelAltLite,JustInformed Talk,Are WE Listening To THEIR SECRET COMMS?,68512,Fox News,2
45,ManoelAltLite,JustInformed Talk,Are WE Listening To THEIR SECRET COMMS?,68512,LastWeekTonight,1
46,ManoelAltLite,JustInformed Talk,Are WE Listening To THEIR SECRET COMMS?,68512,Novara Media,1
47,ManoelAltLite,Tree Of Logic,"Delaware Bans Child Marriage, McCain Is ButtHurt Over The Truth & Dick Cheney Supports Waterboarding",3317,Tree Of Logic,1
48,ManoelAltLite,Tree Of Logic,"Delaware Bans Child Marriage, McCain Is ButtHurt Over The Truth & Dick Cheney Supports Waterboarding",3317,Fox News,4
49,ManoelAltLite,Tree Of Logic,"Delaware Bans Child Marriage, McCain Is ButtHurt Over The Truth & Dick Cheney Supports Waterboarding",3317,NBC News,2
50,ManoelAltLite,Tree Of Logic,"Delaware Bans Child Marriage, McCain Is ButtHurt Over The Truth & Dick Cheney Supports Waterboarding",3317,Netflix Is A Joke,1
51,ManoelAltLite,Tree Of Logic,"Delaware Bans Child Marriage, McCain Is ButtHurt Over The Truth & Dick Cheney Supports Waterboarding",3317,The Ohio Channel,1
52,ManoelAltLite,Tree Of Logic,"Delaware Bans Child Marriage, McCain Is ButtHurt Over The Truth & Dick Cheney Supports Waterboarding",3317,U.S. House Armed Services Committee,1
