,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,ManoelAltRight,No White Guilt,Luke Mason’s A Will To Power Awakened | White Wellbeing Community Vids,909,No White Guilt,1
1,ManoelAltRight,No White Guilt,Luke Mason’s A Will To Power Awakened | White Wellbeing Community Vids,909,Fox News,3
2,ManoelAltRight,No White Guilt,Luke Mason’s A Will To Power Awakened | White Wellbeing Community Vids,909,Google Zeitgeist,1
3,ManoelAltRight,No White Guilt,Luke Mason’s A Will To Power Awakened | White Wellbeing Community Vids,909,TEDx Talks,1
4,ManoelAltRight,No White Guilt,Luke Mason’s A Will To Power Awakened | White Wellbeing Community Vids,909,TED,1
5,ManoelAltRight,No White Guilt,Luke Mason’s A Will To Power Awakened | White Wellbeing Community Vids,909,Neel Sharma,1
6,ManoelAltRight,No White Guilt,Luke Mason’s A Will To Power Awakened | White Wellbeing Community Vids,909,Rick Beato,1
7,ManoelAltRight,No White Guilt,Luke Mason’s A Will To Power Awakened | White Wellbeing Community Vids,909,JustStoriesVideo,1
8,ManoelAltRight,No White Guilt,Going Free | No White Guilt | Super Bowl-Mind-Control | Help Carlisle | It’s Groundhog Day Dammit!,5654,No White Guilt,1
9,ManoelAltRight,No White Guilt,Going Free | No White Guilt | Super Bowl-Mind-Control | Help Carlisle | It’s Groundhog Day Dammit!,5654,FOX Sports,2
10,ManoelAltRight,No White Guilt,Going Free | No White Guilt | Super Bowl-Mind-Control | Help Carlisle | It’s Groundhog Day Dammit!,5654,The Herd with Colin Cowherd,1
11,ManoelAltRight,No White Guilt,Going Free | No White Guilt | Super Bowl-Mind-Control | Help Carlisle | It’s Groundhog Day Dammit!,5654,NFL,2
12,ManoelAltRight,No White Guilt,Going Free | No White Guilt | Super Bowl-Mind-Control | Help Carlisle | It’s Groundhog Day Dammit!,5654,Chat Sports,1
13,ManoelAltRight,No White Guilt,Going Free | No White Guilt | Super Bowl-Mind-Control | Help Carlisle | It’s Groundhog Day Dammit!,5654,Tom Grossi,1
14,ManoelAltRight,No White Guilt,Going Free | No White Guilt | Super Bowl-Mind-Control | Help Carlisle | It’s Groundhog Day Dammit!,5654,Ronbo Sports,1
15,ManoelAltRight,No White Guilt,Going Free | No White Guilt | Super Bowl-Mind-Control | Help Carlisle | It’s Groundhog Day Dammit!,5654,The Sports Fury,1
16,ManoelAltRight,Jean-Francois Gariépy,Physics Meets Biology Pt. II | TPS #370,4453,Jean-Francois Gariépy,1
17,ManoelAltRight,Jean-Francois Gariépy,Physics Meets Biology Pt. II | TPS #370,4453,Fox News,1
18,ManoelAltRight,Jean-Francois Gariépy,Physics Meets Biology Pt. II | TPS #370,4453,IIHS,1
19,ManoelAltRight,Jean-Francois Gariépy,Physics Meets Biology Pt. II | TPS #370,4453,TEDx Talks,2
20,ManoelAltRight,Jean-Francois Gariépy,Physics Meets Biology Pt. II | TPS #370,4453,Space & The Universe HD,2
