,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,Mic,1
1,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,TEDx Talks,2
2,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,HuffPost,1
3,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,ImFromDriftwood,1
4,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,As/Is,1
5,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,The New York Times,1
6,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,John Corvino,1
7,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,OWN,1
8,MissingLinkMedia,Mic,Can a gay man and a straight woman have a happy marriage? | Mic,67774,Lifey,1
9,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,American Thought Leaders - The Epoch Times,1
10,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,Talks at Google,1
11,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,HooverInstitution,2
12,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,News 19 WLTX,1
13,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,Zooming In with Simone Gao,1
14,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,TODAY,1
15,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,WBAL Radio,1
16,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,Fox News,1
17,MissingLinkMedia,American Thought Leaders - The Epoch Times,"Grace, Hope & Second Chances: Alice Johnson Celebrates Freedom After 22 Years in Prison [CPAC 2020]",6133,The Daily Signal,1
18,MissingLinkMedia,Chad Prather,Is Exercise Sexist? | Ep 168,15211,Chad Prather,7
19,MissingLinkMedia,Chad Prather,Is Exercise Sexist? | Ep 168,15211,Liberty University,1
20,MissingLinkMedia,Chad Prather,Is Exercise Sexist? | Ep 168,15211,Shannon Herrold,1
21,MissingLinkMedia,Chad Prather,Is Exercise Sexist? | Ep 168,15211,BlazeTV,1
22,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,AM to DM,1
23,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,Access,1
24,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,CNBC Prime,1
25,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,TV Insider,1
26,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,PeopleTV,2
27,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,Keine Angabe,1
28,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,KTLA 5,1
29,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,OSSA,1
30,MissingLinkMedia,AM to DM,"JoJo Fletcher And Jordan Rodgers Talk ""The Bachelorette"" And ""Battle Of The Fittest Couples""",7657,The Tonight Show Starring Jimmy Fallon,1
31,MissingLinkMedia,Phil Robertson,"Jase's Gun Advice, What the Coronavirus Reminds Us, and Guest Jeremy Camp | Ep 74",56616,Phil Robertson,2
32,MissingLinkMedia,Phil Robertson,"Jase's Gun Advice, What the Coronavirus Reminds Us, and Guest Jeremy Camp | Ep 74",56616,Focus on the Family,2
33,MissingLinkMedia,Phil Robertson,"Jase's Gun Advice, What the Coronavirus Reminds Us, and Guest Jeremy Camp | Ep 74",56616,I Am Second,1
34,MissingLinkMedia,Phil Robertson,"Jase's Gun Advice, What the Coronavirus Reminds Us, and Guest Jeremy Camp | Ep 74",56616,Caleb Kinchlow,1
35,MissingLinkMedia,Phil Robertson,"Jase's Gun Advice, What the Coronavirus Reminds Us, and Guest Jeremy Camp | Ep 74",56616,Whites Ferry Road Church,1
36,MissingLinkMedia,Phil Robertson,"Jase's Gun Advice, What the Coronavirus Reminds Us, and Guest Jeremy Camp | Ep 74",56616,Leonard Pagel,1
37,MissingLinkMedia,Phil Robertson,"Jase's Gun Advice, What the Coronavirus Reminds Us, and Guest Jeremy Camp | Ep 74",56616,Duck Commander,1
38,MissingLinkMedia,Phil Robertson,"Jase's Gun Advice, What the Coronavirus Reminds Us, and Guest Jeremy Camp | Ep 74",56616,TheGraceAgMedia,1
39,MissingLinkMedia,VICE News,He Was on a Ventilator For 29 Days from COVID-19. We Watched Him Leave the Hospital.,33056,VICE News,5
40,MissingLinkMedia,VICE News,He Was on a Ventilator For 29 Days from COVID-19. We Watched Him Leave the Hospital.,33056,WDSU News,1
41,MissingLinkMedia,VICE News,He Was on a Ventilator For 29 Days from COVID-19. We Watched Him Leave the Hospital.,33056,Netflix Is A Joke,1
42,MissingLinkMedia,VICE News,He Was on a Ventilator For 29 Days from COVID-19. We Watched Him Leave the Hospital.,33056,CBC News,2
43,MissingLinkMedia,VICE News,He Was on a Ventilator For 29 Days from COVID-19. We Watched Him Leave the Hospital.,33056,CBS Philly,1
44,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,Chad Prather,2
45,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,ReaganFoundation,1
46,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,Netflix Is A Joke,1
47,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,Liberty University,1
48,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,HooverInstitution,1
49,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,NBC News,1
50,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,jimgaffigan,1
51,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,Fox News,1
52,MissingLinkMedia,Chad Prather,Post-COVID-19 Wish List! | Ep 229,21004,PBS NewsHour,1
53,MissingLinkMedia,The Daily Signal,"Ladies, Know Your First Amendment Rights.",210,The Daily Signal,1
54,MissingLinkMedia,The Daily Signal,"Ladies, Know Your First Amendment Rights.",210,Brown University,1
55,MissingLinkMedia,The Daily Signal,"Ladies, Know Your First Amendment Rights.",210,Bloomberg QuickTake News,1
56,MissingLinkMedia,The Daily Signal,"Ladies, Know Your First Amendment Rights.",210,ReaganFoundation,1
57,MissingLinkMedia,The Daily Signal,"Ladies, Know Your First Amendment Rights.",210,Fox News,4
58,MissingLinkMedia,The Daily Signal,"Ladies, Know Your First Amendment Rights.",210,Saturday Night Live,1
59,MissingLinkMedia,The Daily Signal,"Ladies, Know Your First Amendment Rights.",210,The Late Show with Stephen Colbert,1
60,MissingLinkMedia,BEME News,The Green New Deal isn’t new,20509,BEME News,3
61,MissingLinkMedia,BEME News,The Green New Deal isn’t new,20509,Late Night with Seth Meyers,1
62,MissingLinkMedia,BEME News,The Green New Deal isn’t new,20509,SHOWTIME,1
63,MissingLinkMedia,BEME News,The Green New Deal isn’t new,20509,Fox News,3
64,MissingLinkMedia,BEME News,The Green New Deal isn’t new,20509,Sky News Australia,1
65,MissingLinkMedia,BEME News,The Green New Deal isn’t new,20509,Fox Business,1
