,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,PartisanLeft,Ezra Klein Show,How To Disagree Better with Arthur Brooks | The Ezra Klein Show,1732,Ezra Klein Show,4
1,PartisanLeft,Ezra Klein Show,How To Disagree Better with Arthur Brooks | The Ezra Klein Show,1732,92nd Street Y,1
2,PartisanLeft,Ezra Klein Show,How To Disagree Better with Arthur Brooks | The Ezra Klein Show,1732,Talks at Google,1
3,PartisanLeft,Ezra Klein Show,How To Disagree Better with Arthur Brooks | The Ezra Klein Show,1732,Eagleton Institute of Politics,1
4,PartisanLeft,Ezra Klein Show,How To Disagree Better with Arthur Brooks | The Ezra Klein Show,1732,The Obama White House,1
5,PartisanLeft,Ezra Klein Show,How To Disagree Better with Arthur Brooks | The Ezra Klein Show,1732,PBS NewsHour,1
6,PartisanLeft,Ezra Klein Show,How To Disagree Better with Arthur Brooks | The Ezra Klein Show,1732,Communication Coach Alex Lyon,1
7,PartisanLeft,The New York Times,I Watched These Pandas Have Sex. I’ve Never Been So Happy | NYT,94550,The New York Times,3
8,PartisanLeft,The New York Times,I Watched These Pandas Have Sex. I’ve Never Been So Happy | NYT,94550,NBC News,1
9,PartisanLeft,The New York Times,I Watched These Pandas Have Sex. I’ve Never Been So Happy | NYT,94550,BBC Earth,1
10,PartisanLeft,The New York Times,I Watched These Pandas Have Sex. I’ve Never Been So Happy | NYT,94550,Movieclips,1
11,PartisanLeft,The New York Times,I Watched These Pandas Have Sex. I’ve Never Been So Happy | NYT,94550,On Demand News,1
12,PartisanLeft,The New York Times,I Watched These Pandas Have Sex. I’ve Never Been So Happy | NYT,94550,Netflix India,1
13,PartisanLeft,The New York Times,I Watched These Pandas Have Sex. I’ve Never Been So Happy | NYT,94550,Late Night with Seth Meyers,1
14,PartisanLeft,The New York Times,I Watched These Pandas Have Sex. I’ve Never Been So Happy | NYT,94550,The Late Show with Stephen Colbert,1
15,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,The Grayzone,1
16,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,The Institute of Art and Ideas,1
17,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,vpro documentary,1
18,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,Good Morning Britain,1
19,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,BBC News,1
20,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,VisualPolitik EN,1
21,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,The Late Show with Stephen Colbert,1
22,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,Netflix Is A Joke,1
23,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,ProductiehuisEU,1
24,PartisanLeft,The Grayzone,George Galloway on Brexit and UK's political future,78569,Sky News,1
25,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,Hella Opinions from BuzzFeed News,2
26,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,ESSENCE,1
27,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,BuzzFeed News,1
28,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,Netflix Is A Joke,1
29,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,BETNetworks,1
30,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,VICE Life,1
31,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,1453malcolmx,1
32,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,LastWeekTonight,1
33,PartisanLeft,Hella Opinions from BuzzFeed News,Insecure Recap Ep 8: Issa Wants To Be Drama Free,83,J Wilson,1
34,PartisanLeft,VICE,Fitness Frauds Sued For Pranking Morning News,1286953,VICE,5
35,PartisanLeft,VICE,Fitness Frauds Sued For Pranking Morning News,1286953,CBC News,1
36,PartisanLeft,VICE,Fitness Frauds Sued For Pranking Morning News,1286953,Rare Earth,1
37,PartisanLeft,VICE,Fitness Frauds Sued For Pranking Morning News,1286953,Mark Rober,1
38,PartisanLeft,VICE,Fitness Frauds Sued For Pranking Morning News,1286953,Best Ever Food Review Show,1
39,PartisanLeft,VICE,Fitness Frauds Sued For Pranking Morning News,1286953,A&E,1
40,PartisanLeft,Randy Rainbow,Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE,117313,Randy Rainbow,10
41,PartisanLeft,Then & Now,The Indian Rebellion of 1857,96898,Then & Now,3
42,PartisanLeft,Then & Now,The Indian Rebellion of 1857,96898,BBC Podcasts,1
43,PartisanLeft,Then & Now,The Indian Rebellion of 1857,96898,Jay MacMichael,1
44,PartisanLeft,Then & Now,The Indian Rebellion of 1857,96898,TED-Ed,1
45,PartisanLeft,Then & Now,The Indian Rebellion of 1857,96898,The Armchair Historian,1
46,PartisanLeft,Then & Now,The Indian Rebellion of 1857,96898,Philosophy Overdose,1
47,PartisanLeft,Then & Now,The Indian Rebellion of 1857,96898,YouTube,1
48,PartisanLeft,Then & Now,The Indian Rebellion of 1857,96898,CSS CONSULTANT,1
49,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,Feminist Frequency,1
50,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,Movieclips,2
51,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,LMU School of Film and Television,1
52,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,MovementMaterial,1
53,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,T-Series,1
54,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,Josh Gad,1
55,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,YouTube Movies,1
56,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,John L. Brooks,1
57,PartisanLeft,Feminist Frequency,Cinemaball 13: Broadcast News (1987),1688,Dr Taylor Marshall,1
58,PartisanLeft,The Guardian,"Calling time on street harassment: 'He said: ""I’d break the law for you."" I was 13'",58554,The Guardian,4
59,PartisanLeft,The Guardian,"Calling time on street harassment: 'He said: ""I’d break the law for you."" I was 13'",58554,BBC News Africa,1
60,PartisanLeft,The Guardian,"Calling time on street harassment: 'He said: ""I’d break the law for you."" I was 13'",58554,VICE,1
61,PartisanLeft,The Guardian,"Calling time on street harassment: 'He said: ""I’d break the law for you."" I was 13'",58554,CNN,1
62,PartisanLeft,The Guardian,"Calling time on street harassment: 'He said: ""I’d break the law for you."" I was 13'",58554,TIME,1
63,PartisanLeft,The Guardian,"Calling time on street harassment: 'He said: ""I’d break the law for you."" I was 13'",58554,Plan International UK,1
64,PartisanLeft,The Guardian,"Calling time on street harassment: 'He said: ""I’d break the law for you."" I was 13'",58554,jaygee,1
65,PartisanLeft,Free Speech TV,Long Time Black Lives Matter Activist Explains How To Defund Police,137,Free Speech TV,2
66,PartisanLeft,Free Speech TV,Long Time Black Lives Matter Activist Explains How To Defund Police,137,NBC News,1
67,PartisanLeft,Free Speech TV,Long Time Black Lives Matter Activist Explains How To Defund Police,137,SABC News,1
68,PartisanLeft,Free Speech TV,Long Time Black Lives Matter Activist Explains How To Defund Police,137,The Brainwaves Video Anthology,1
69,PartisanLeft,Free Speech TV,Long Time Black Lives Matter Activist Explains How To Defund Police,137,The Telegraph,1
70,PartisanLeft,Free Speech TV,Long Time Black Lives Matter Activist Explains How To Defund Police,137,Fox News,3
