,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,PartisanRight,Michael Knowles,Too Few Problems | Ep. 549,10897,Michael Knowles,4
1,PartisanRight,Michael Knowles,Too Few Problems | Ep. 549,10897,Lewis Howes,1
2,PartisanRight,Michael Knowles,Too Few Problems | Ep. 549,10897,PatrickCoffin.media,1
3,PartisanRight,Michael Knowles,Too Few Problems | Ep. 549,10897,YAFTV,2
4,PartisanRight,Michael Knowles,Too Few Problems | Ep. 549,10897,HooverInstitution,1
5,PartisanRight,Michael Knowles,Too Few Problems | Ep. 549,10897,The New School,1
6,PartisanRight,ThePatriotNurse,"Anti-Cancer, Immune Boosters...in the WOODS!",34603,ThePatriotNurse,3
7,PartisanRight,ThePatriotNurse,"Anti-Cancer, Immune Boosters...in the WOODS!",34603,Learn Your Land,1
8,PartisanRight,ThePatriotNurse,"Anti-Cancer, Immune Boosters...in the WOODS!",34603,She Is Of The Woods,1
9,PartisanRight,ThePatriotNurse,"Anti-Cancer, Immune Boosters...in the WOODS!",34603,TheWildYam,1
10,PartisanRight,ThePatriotNurse,"Anti-Cancer, Immune Boosters...in the WOODS!",34603,Learn Organic Gardening at GrowingYourGreens,1
11,PartisanRight,ThePatriotNurse,"Anti-Cancer, Immune Boosters...in the WOODS!",34603,Twin Cities Adventures,1
12,PartisanRight,ThePatriotNurse,"Anti-Cancer, Immune Boosters...in the WOODS!",34603,Performance Edge,1
13,PartisanRight,ThePatriotNurse,"Anti-Cancer, Immune Boosters...in the WOODS!",34603,SuperfoodEvolution,1
14,PartisanRight,pocketsofthefuture,Preview video to the Heartfulness Universal 9m Prayer video released 9pm tonight,2511,pocketsofthefuture,2
15,PartisanRight,pocketsofthefuture,Preview video to the Heartfulness Universal 9m Prayer video released 9pm tonight,2511,Fox News,4
16,PartisanRight,pocketsofthefuture,Preview video to the Heartfulness Universal 9m Prayer video released 9pm tonight,2511,Alisa Mohamed,1
17,PartisanRight,pocketsofthefuture,Preview video to the Heartfulness Universal 9m Prayer video released 9pm tonight,2511,Jordan B Peterson,1
18,PartisanRight,pocketsofthefuture,Preview video to the Heartfulness Universal 9m Prayer video released 9pm tonight,2511,Brahmakumaris Music Godlywood,1
19,PartisanRight,pocketsofthefuture,Preview video to the Heartfulness Universal 9m Prayer video released 9pm tonight,2511,KOMO News,1
20,PartisanRight,Adam Carolla,Nimesh Patel // ACS Live,9024,Adam Carolla,7
21,PartisanRight,Adam Carolla,Nimesh Patel // ACS Live,9024,Late Night with Seth Meyers,1
22,PartisanRight,Adam Carolla,Nimesh Patel // ACS Live,9024,PowerfulJRE,2
23,PartisanRight,The Next News Network,LOL! Massachusetts Dem Wants to RUIN the Patriots FOREVER With This Horrible NFL Move,6544,The Next News Network,1
24,PartisanRight,The Next News Network,LOL! Massachusetts Dem Wants to RUIN the Patriots FOREVER With This Horrible NFL Move,6544,ESPN,1
25,PartisanRight,The Next News Network,LOL! Massachusetts Dem Wants to RUIN the Patriots FOREVER With This Horrible NFL Move,6544,Fox News,6
26,PartisanRight,The Next News Network,LOL! Massachusetts Dem Wants to RUIN the Patriots FOREVER With This Horrible NFL Move,6544,LastWeekTonight,1
27,PartisanRight,The Next News Network,LOL! Massachusetts Dem Wants to RUIN the Patriots FOREVER With This Horrible NFL Move,6544,CNN,1
28,PartisanRight,Dr. Edward Dutton: The Jolly Heretic,"J. Philippe Rushton: 'He's not the Messiah, he's a very naughty boy!'",14786,Dr. Edward Dutton: The Jolly Heretic,2
29,PartisanRight,Dr. Edward Dutton: The Jolly Heretic,"J. Philippe Rushton: 'He's not the Messiah, he's a very naughty boy!'",14786,Harvard University,1
30,PartisanRight,Dr. Edward Dutton: The Jolly Heretic,"J. Philippe Rushton: 'He's not the Messiah, he's a very naughty boy!'",14786,The James Delingpole Channel,1
31,PartisanRight,Dr. Edward Dutton: The Jolly Heretic,"J. Philippe Rushton: 'He's not the Messiah, he's a very naughty boy!'",14786,The New School,1
32,PartisanRight,Dr. Edward Dutton: The Jolly Heretic,"J. Philippe Rushton: 'He's not the Messiah, he's a very naughty boy!'",14786,"The Economic Club of Washington, D.C.",1
33,PartisanRight,Dr. Edward Dutton: The Jolly Heretic,"J. Philippe Rushton: 'He's not the Messiah, he's a very naughty boy!'",14786,HooverInstitution,3
34,PartisanRight,Dr. Edward Dutton: The Jolly Heretic,"J. Philippe Rushton: 'He's not the Messiah, he's a very naughty boy!'",14786,Jordan B Peterson,1
35,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,Breitbart News,1
36,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,Fox News,2
37,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,WCCO - CBS Minnesota,1
38,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,NBC News,1
39,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,Guardian News,1
40,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,FOX 10 Phoenix,1
41,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,Associated Press,1
42,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,Bloomberg QuickTake News,1
43,PartisanRight,Breitbart News,"Minnesota Governor: Trump’s MN Tweets ‘Unnecessary,’ ‘Not Helpful’",1779,Roland S. Martin,1
44,PartisanRight,Mark Collett,We Were Never Asked Q&A - with Laura Towler,21987,Mark Collett,1
45,PartisanRight,Mark Collett,We Were Never Asked Q&A - with Laura Towler,21987,HooverInstitution,4
46,PartisanRight,Mark Collett,We Were Never Asked Q&A - with Laura Towler,21987,worldwrite,1
