,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,ReligiousConservative,Blonde in the Belly of the Beast,How Should Conservatives Deal with the Media?,26262,Blonde in the Belly of the Beast,6
1,ReligiousConservative,Blonde in the Belly of the Beast,How Should Conservatives Deal with the Media?,26262,LastWeekTonight,1
2,ReligiousConservative,Blonde in the Belly of the Beast,How Should Conservatives Deal with the Media?,26262,The Rubin Report,1
3,ReligiousConservative,Blonde in the Belly of the Beast,How Should Conservatives Deal with the Media?,26262,Netflix Is A Joke,1
4,ReligiousConservative,Blonde in the Belly of the Beast,How Should Conservatives Deal with the Media?,26262,HooverInstitution,1
5,ReligiousConservative,The Distributist,DistAns 6.0 - Morning Edition,3369,The Distributist,3
6,ReligiousConservative,The Distributist,DistAns 6.0 - Morning Edition,3369,The Aspen Institute,1
7,ReligiousConservative,The Distributist,DistAns 6.0 - Morning Edition,3369,Symphonyofflowers,1
8,ReligiousConservative,The Distributist,DistAns 6.0 - Morning Edition,3369,Town Hall Seattle,1
9,ReligiousConservative,The Distributist,DistAns 6.0 - Morning Edition,3369,IndiaTV,1
10,ReligiousConservative,The Distributist,DistAns 6.0 - Morning Edition,3369,KateBushMusic,2
11,ReligiousConservative,The Distributist,DistAns 6.0 - Morning Edition,3369,Jordan B Peterson,1
12,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,Shaking My Head Productions,1
13,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,bctv.org,1
14,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,BBC Documentary,1
15,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,TVO Docs,1
16,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,Wretched,1
17,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,HooverInstitution,1
18,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,Royal Ratzzz Animations,1
19,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,Talks at Google,1
20,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,CBN News,1
21,ReligiousConservative,Shaking My Head Productions,Margaret Sanger On Population Control & Eugenics,14724,YaleCourses,1
22,ReligiousConservative,BlazeTV,Joe Biden: 'You Ain’t Black' If You Vote for Trump. Say What?! | The News & Why It Matters | Ep 541,77352,BlazeTV,1
23,ReligiousConservative,BlazeTV,Joe Biden: 'You Ain’t Black' If You Vote for Trump. Say What?! | The News & Why It Matters | Ep 541,77352,Fox News,4
24,ReligiousConservative,BlazeTV,Joe Biden: 'You Ain’t Black' If You Vote for Trump. Say What?! | The News & Why It Matters | Ep 541,77352,Liberty University,1
25,ReligiousConservative,BlazeTV,Joe Biden: 'You Ain’t Black' If You Vote for Trump. Say What?! | The News & Why It Matters | Ep 541,77352,HooverInstitution,2
26,ReligiousConservative,BlazeTV,Joe Biden: 'You Ain’t Black' If You Vote for Trump. Say What?! | The News & Why It Matters | Ep 541,77352,ABC News,1
27,ReligiousConservative,BlazeTV,Joe Biden: 'You Ain’t Black' If You Vote for Trump. Say What?! | The News & Why It Matters | Ep 541,77352,Redemption Church of Christ,1
28,ReligiousConservative,YAFTV,The case against socialism | Rachel Campos-Duffy LIVE at Florida State University,9912,YAFTV,4
29,ReligiousConservative,YAFTV,The case against socialism | Rachel Campos-Duffy LIVE at Florida State University,9912,Liberty University,1
30,ReligiousConservative,YAFTV,The case against socialism | Rachel Campos-Duffy LIVE at Florida State University,9912,Fox News,1
31,ReligiousConservative,YAFTV,The case against socialism | Rachel Campos-Duffy LIVE at Florida State University,9912,HooverInstitution,1
32,ReligiousConservative,YAFTV,The case against socialism | Rachel Campos-Duffy LIVE at Florida State University,9912,Lewis Howes,1
33,ReligiousConservative,YAFTV,The case against socialism | Rachel Campos-Duffy LIVE at Florida State University,9912,Rand Randy,1
34,ReligiousConservative,YAFTV,The case against socialism | Rachel Campos-Duffy LIVE at Florida State University,9912,ReaganFoundation,1
35,ReligiousConservative,sanderson1611,The Importance of Splitting Hairs,4792,sanderson1611,4
36,ReligiousConservative,sanderson1611,The Importance of Splitting Hairs,4792,Christ Community Chapel,1
37,ReligiousConservative,sanderson1611,The Importance of Splitting Hairs,4792,The Salvation Army Kroc Center,1
38,ReligiousConservative,sanderson1611,The Importance of Splitting Hairs,4792,Ravi Zacharias International Ministries,1
39,ReligiousConservative,sanderson1611,The Importance of Splitting Hairs,4792,BiolaUniversity,1
40,ReligiousConservative,sanderson1611,The Importance of Splitting Hairs,4792,JoeRyanCivilWar,1
41,ReligiousConservative,sanderson1611,The Importance of Splitting Hairs,4792,Ligonier Ministries,1
42,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,Allie Beth Stuckey,1
43,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,Pepperdine School of Public Policy,1
44,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,After School Africa,1
45,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,Liberty University,1
46,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,GrassRoots Community Network,1
47,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,HooverInstitution,1
48,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,Potters House Redcliffe Potters House Redcliffe,1
49,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,TVO Docs,1
50,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,Founders Ministries,1
51,ReligiousConservative,Allie Beth Stuckey,Why Social Justice Can't Solve Racism | Guests: Virgil Walker & Darrell B. Harrison | Ep 263,2119,JoeRyanCivilWar,1
52,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,Brother Nathanael Video,2
53,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,Fox News,1
54,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,HTB Church,1
55,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,Christ Community Chapel,1
56,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,JoeRyanCivilWar,1
57,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,Fiat Lux,1
58,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,Discipling Nations Abroad,1
59,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,Ravi Zacharias International Ministries,1
60,ReligiousConservative,Brother Nathanael Video,Brother Nathanael Kapner || Nathaniel 2017: Will Jews Kill Iran Deal,704,Rob Redding,1
61,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,Jay Dyer,1
62,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,Jordan B Peterson,1
63,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,Looper,1
64,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,HooverInstitution,1
65,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,socratesinthecity,1
66,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,Victory Tulsa,1
67,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,STOOP 55,1
68,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,Liberty University,1
69,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,Screen Australia,1
70,ReligiousConservative,Jay Dyer,Contagion & The TOP 11 Virus Movies!,4532,Movieclips Coming Soon,1
71,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,sanderson1611,2
72,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,Fox News,1
73,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,PBS Space Time,1
74,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,Daniel Baptist,1
75,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,PeriscopeFilm,1
76,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,JoeRyanCivilWar,1
77,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,Highway church of Christ,1
78,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,Brian Jung,1
79,ReligiousConservative,sanderson1611,Why Nothing Can Exceed the Speed of Light,1238,Capturing Christianity,1
80,ReligiousConservative,Missing The Mark,Thoughts on Ash Wednesday 2020,201,Missing The Mark,1
81,ReligiousConservative,Missing The Mark,Thoughts on Ash Wednesday 2020,201,Ascension Presents,1
82,ReligiousConservative,Missing The Mark,Thoughts on Ash Wednesday 2020,201,100huntley,1
