,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,SocialJustice,Hannah and Jake,Hollywood Hurts Ben Shapiro's Feelings,55629,Hannah and Jake,7
1,SocialJustice,Hannah and Jake,Hollywood Hurts Ben Shapiro's Feelings,55629,Paulogia,1
2,SocialJustice,Hannah and Jake,Hollywood Hurts Ben Shapiro's Feelings,55629,The Daily Wire,1
3,SocialJustice,Hannah and Jake,Hollywood Hurts Ben Shapiro's Feelings,55629,Some More News,1
4,SocialJustice,Big Joel,The Nonsense Politics of PragerU | Big Joel,1219052,Big Joel,7
5,SocialJustice,Big Joel,The Nonsense Politics of PragerU | Big Joel,1219052,Lindsay Ellis,1
6,SocialJustice,Big Joel,The Nonsense Politics of PragerU | Big Joel,1219052,PoliDice,1
7,SocialJustice,Big Joel,The Nonsense Politics of PragerU | Big Joel,1219052,Some More News,1
8,SocialJustice,TVO Docs,Passion Over Obstacles | Short Doc Contest 2019 | TVO Docs,87,TVO Docs,6
9,SocialJustice,TVO Docs,Passion Over Obstacles | Short Doc Contest 2019 | TVO Docs,87,CANFAR,1
10,SocialJustice,TVO Docs,Passion Over Obstacles | Short Doc Contest 2019 | TVO Docs,87,Unsinkable,1
11,SocialJustice,TVO Docs,Passion Over Obstacles | Short Doc Contest 2019 | TVO Docs,87,Access,1
12,SocialJustice,TVO Docs,Passion Over Obstacles | Short Doc Contest 2019 | TVO Docs,87,Netflix Is A Joke,1
13,SocialJustice,Democracy Now!,Tamika Mallory: Nationwide Uprising Against State Violence Shows People Have Reached Breaking Point,28216,Democracy Now!,6
14,SocialJustice,Democracy Now!,Tamika Mallory: Nationwide Uprising Against State Violence Shows People Have Reached Breaking Point,28216,cpac,1
15,SocialJustice,Democracy Now!,Tamika Mallory: Nationwide Uprising Against State Violence Shows People Have Reached Breaking Point,28216,MNN NYC,1
16,SocialJustice,Democracy Now!,Tamika Mallory: Nationwide Uprising Against State Violence Shows People Have Reached Breaking Point,28216,Breakfast Club Power 105.1 FM,1
17,SocialJustice,Democracy Now!,Tamika Mallory: Nationwide Uprising Against State Violence Shows People Have Reached Breaking Point,28216,Netflix Is A Joke,1
18,SocialJustice,Democracy Now!,“He Wanted to Hurt Me”: New York Protester Hospitalized After NY Officer Shoved Her to the Ground,21893,Democracy Now!,2
19,SocialJustice,Democracy Now!,“He Wanted to Hurt Me”: New York Protester Hospitalized After NY Officer Shoved Her to the Ground,21893,PBS NewsHour,2
20,SocialJustice,Democracy Now!,“He Wanted to Hurt Me”: New York Protester Hospitalized After NY Officer Shoved Her to the Ground,21893,MSNBC,2
21,SocialJustice,Democracy Now!,“He Wanted to Hurt Me”: New York Protester Hospitalized After NY Officer Shoved Her to the Ground,21893,CNN,1
22,SocialJustice,Democracy Now!,“He Wanted to Hurt Me”: New York Protester Hospitalized After NY Officer Shoved Her to the Ground,21893,Patriot Act,1
23,SocialJustice,Democracy Now!,“He Wanted to Hurt Me”: New York Protester Hospitalized After NY Officer Shoved Her to the Ground,21893,Netflix Is A Joke,1
24,SocialJustice,Democracy Now!,“He Wanted to Hurt Me”: New York Protester Hospitalized After NY Officer Shoved Her to the Ground,21893,11Alive,1
25,SocialJustice,VICE,Inside the Unofficial Newsletter of Urban Crime Culture,374679,VICE,5
26,SocialJustice,VICE,Inside the Unofficial Newsletter of Urban Crime Culture,374679,VICE News,2
27,SocialJustice,VICE,Inside the Unofficial Newsletter of Urban Crime Culture,374679,Netflix Is A Joke,1
28,SocialJustice,VICE,Inside the Unofficial Newsletter of Urban Crime Culture,374679,TIME,1
29,SocialJustice,VICE,Inside the Unofficial Newsletter of Urban Crime Culture,374679,TVO Docs,1
30,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,The Point with Ana Kasparian,2
31,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,ctvvi,1
32,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,Jimmy Kimmel Live,1
33,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,FUSION,1
34,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,TED-Ed,1
35,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,Netflix Is A Joke,1
36,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,John Chow dot Com,1
37,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,The Feed SBS,1
38,SocialJustice,The Point with Ana Kasparian,Schools Are Switching To Gender-Neutral Bathrooms,22345,KOMO News,1
39,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,The Fowler Show,2
40,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,PBS NewsHour,1
41,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,mmlearn.org,1
42,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,RubinMuseum,1
43,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,Jimmy Kimmel Live,1
44,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,CBC News: The National,1
45,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,CNN,1
46,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,CBC,1
47,SocialJustice,The Fowler Show,#TalkingTogether | EP 8 | How Are Candidates Running For Office during Quarantine?,49,Josh Gad,1
48,SocialJustice,The Majority Report w/ Sam Seder,Steve Mnuchin Has NO CLUE How Air Circulation Works,11507,The Majority Report w/ Sam Seder,1
49,SocialJustice,The Majority Report w/ Sam Seder,Steve Mnuchin Has NO CLUE How Air Circulation Works,11507,CNN,2
50,SocialJustice,The Majority Report w/ Sam Seder,Steve Mnuchin Has NO CLUE How Air Circulation Works,11507,Fox News,2
51,SocialJustice,The Majority Report w/ Sam Seder,Steve Mnuchin Has NO CLUE How Air Circulation Works,11507,MSNBC,2
52,SocialJustice,The Majority Report w/ Sam Seder,Steve Mnuchin Has NO CLUE How Air Circulation Works,11507,Late Night with Seth Meyers,1
53,SocialJustice,The Majority Report w/ Sam Seder,Steve Mnuchin Has NO CLUE How Air Circulation Works,11507,The Young Turks,1
54,SocialJustice,The Majority Report w/ Sam Seder,Steve Mnuchin Has NO CLUE How Air Circulation Works,11507,LastWeekTonight,1
55,SocialJustice,Philosophy Tube,Suic!de and Ment@l He@lth | Philosophy Tube ★,647330,Philosophy Tube,6
56,SocialJustice,Philosophy Tube,Suic!de and Ment@l He@lth | Philosophy Tube ★,647330,Cuck Philosophy,1
57,SocialJustice,Philosophy Tube,Suic!de and Ment@l He@lth | Philosophy Tube ★,647330,Netflix Is A Joke,1
58,SocialJustice,Philosophy Tube,Suic!de and Ment@l He@lth | Philosophy Tube ★,647330,LastWeekTonight,1
59,SocialJustice,Philosophy Tube,Suic!de and Ment@l He@lth | Philosophy Tube ★,647330,ContraPoints,1
60,SocialJustice,VICE News,How Two Sisters Pulled Off a Daring Escape From Saudi Arabia,69002,VICE News,5
61,SocialJustice,VICE News,How Two Sisters Pulled Off a Daring Escape From Saudi Arabia,69002,Channel 4 News,2
62,SocialJustice,VICE News,How Two Sisters Pulled Off a Daring Escape From Saudi Arabia,69002,VICE Asia,1
63,SocialJustice,VICE News,How Two Sisters Pulled Off a Daring Escape From Saudi Arabia,69002,LastWeekTonight,1
