,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Socialist,Tom Nicholas,The Neoliberal Economics of Animal Crossing,5487,Tom Nicholas,8
1,Socialist,Tom Nicholas,The Neoliberal Economics of Animal Crossing,5487,KnowledgeHub,1
2,Socialist,Tom Nicholas,The Neoliberal Economics of Animal Crossing,5487,Kilian Experience,1
3,Socialist,NonCompete,Is this the worst meme we've ever wrecked...? [ Breadcast Highlights ],6052,NonCompete,7
4,Socialist,NonCompete,Is this the worst meme we've ever wrecked...? [ Breadcast Highlights ],6052,LastWeekTonight,1
5,Socialist,NonCompete,Is this the worst meme we've ever wrecked...? [ Breadcast Highlights ],6052,aksually,1
6,Socialist,NonCompete,Is this the worst meme we've ever wrecked...? [ Breadcast Highlights ],6052,Thought Slime,1
7,Socialist,Zero Books,What is Žižek For? (A Defense of Slavoj Žižek as a Philosopher),51241,Zero Books,4
8,Socialist,Zero Books,What is Žižek For? (A Defense of Slavoj Žižek as a Philosopher),51241,Institute for the Radical Imagination,1
9,Socialist,Zero Books,What is Žižek For? (A Defense of Slavoj Žižek as a Philosopher),51241,TIFF Originals,1
10,Socialist,Zero Books,What is Žižek For? (A Defense of Slavoj Žižek as a Philosopher),51241,Ippolit Belinski,1
11,Socialist,Zero Books,What is Žižek For? (A Defense of Slavoj Žižek as a Philosopher),51241,Deutsches Haus,1
12,Socialist,Zero Books,What is Žižek For? (A Defense of Slavoj Žižek as a Philosopher),51241,YouTube,1
13,Socialist,Zero Books,What is Žižek For? (A Defense of Slavoj Žižek as a Philosopher),51241,Jordan B Peterson,1
14,Socialist,NonCompete,2010s Decade Review BREADCAST,2602,NonCompete,4
15,Socialist,NonCompete,2010s Decade Review BREADCAST,2602,Klaudia Szilágyi,1
16,Socialist,NonCompete,2010s Decade Review BREADCAST,2602,Pink Eurovision Flowers,1
17,Socialist,NonCompete,2010s Decade Review BREADCAST,2602,X Factor Global,1
18,Socialist,NonCompete,2010s Decade Review BREADCAST,2602,The Dice Tower,1
19,Socialist,NonCompete,2010s Decade Review BREADCAST,2602,Commonwealth Club,1
20,Socialist,NonCompete,2010s Decade Review BREADCAST,2602,SEN31 Official,1
21,Socialist,DemocraticSocialist01,Capitalism's massive death toll,24938,DemocraticSocialist01,3
22,Socialist,DemocraticSocialist01,Capitalism's massive death toll,24938,Levy Economics Institute,1
23,Socialist,DemocraticSocialist01,Capitalism's massive death toll,24938,HooverInstitution,1
24,Socialist,DemocraticSocialist01,Capitalism's massive death toll,24938,The Guardian,1
25,Socialist,DemocraticSocialist01,Capitalism's massive death toll,24938,CrashCourse,1
26,Socialist,DemocraticSocialist01,Capitalism's massive death toll,24938,Big Think,1
27,Socialist,DemocraticSocialist01,Capitalism's massive death toll,24938,NCASVideo,1
28,Socialist,DemocraticSocialist01,Capitalism's massive death toll,24938,MovementMaterial,1
29,Socialist,Empire Files,"Privacy, Control & the Darknet – Alex Winter with Abby Martin",16087,Empire Files,1
30,Socialist,Empire Files,"Privacy, Control & the Darknet – Alex Winter with Abby Martin",16087,TEDx Talks,2
31,Socialist,Empire Files,"Privacy, Control & the Darknet – Alex Winter with Abby Martin",16087,PowerfulJRE,1
32,Socialist,Empire Files,"Privacy, Control & the Darknet – Alex Winter with Abby Martin",16087,Seattle Channel,1
33,Socialist,Empire Files,"Privacy, Control & the Darknet – Alex Winter with Abby Martin",16087,TeleSUR English,2
34,Socialist,Empire Files,"Privacy, Control & the Darknet – Alex Winter with Abby Martin",16087,Lex Gill,1
35,Socialist,Empire Files,"Privacy, Control & the Darknet – Alex Winter with Abby Martin",16087,Moyers & Company,1
36,Socialist,Empire Files,"Privacy, Control & the Darknet – Alex Winter with Abby Martin",16087,Liberty University,1
37,Socialist,Libertarian Socialist Rants,Our Political System Is Rigged - 1 of 2 (Investment Theory),26841,Libertarian Socialist Rants,6
38,Socialist,Libertarian Socialist Rants,Our Political System Is Rigged - 1 of 2 (Investment Theory),26841,HooverInstitution,1
39,Socialist,Libertarian Socialist Rants,Our Political System Is Rigged - 1 of 2 (Investment Theory),26841,TheDarrylJohnsonShow,1
40,Socialist,Libertarian Socialist Rants,Our Political System Is Rigged - 1 of 2 (Investment Theory),26841,Democracy At Work,1
41,Socialist,Libertarian Socialist Rants,Our Political System Is Rigged - 1 of 2 (Investment Theory),26841,John L. Brooks,1
42,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,Red Star Videos,2
43,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,Levy Economics Institute,1
44,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,TEDx Talks,1
45,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,Watson Institute for International and Public Affairs,1
46,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,Vanderbilt University,1
47,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,Friedrich-Ebert-Stiftung,1
48,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,Seattle Channel,1
49,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,PragerU,1
50,Socialist,Red Star Videos,How Much Bullshit Can You Handle?! -PragerU,6699,HooverInstitution,1
51,Socialist,Chomsky's Philosophy,Noam Chomsky - Sovereignty,8553,Chomsky's Philosophy,3
52,Socialist,Chomsky's Philosophy,Noam Chomsky - Sovereignty,8553,BBC Newsnight,1
53,Socialist,Chomsky's Philosophy,Noam Chomsky - Sovereignty,8553,The Brainwaves Video Anthology,1
54,Socialist,Chomsky's Philosophy,Noam Chomsky - Sovereignty,8553,pink0f,1
55,Socialist,Chomsky's Philosophy,Noam Chomsky - Sovereignty,8553,Manufacturing Intellect,1
56,Socialist,Chomsky's Philosophy,Noam Chomsky - Sovereignty,8553,Tilo Jung,1
57,Socialist,Chomsky's Philosophy,Noam Chomsky - Sovereignty,8553,Al Jazeera English,1
