,Category,Next Channel,Probability
0,Educational News,TEDx Talks,0.3523809523809524
1,Educational News,Skeptic,0.12380952380952381
2,Educational News,MeaningofLife.tv,0.0015873015873015873
3,Educational News,YouTube,0.026984126984126985
4,Educational News,University of California Television (UCTV),0.007936507936507936
5,Educational News,Fully Domesticated,0.0015873015873015873
6,Educational News,worldinformant,0.0015873015873015873
7,Educational News,EcoFarmVideo,0.004761904761904762
8,Educational News,NCASVideo,0.0031746031746031746
9,Educational News,socratesinthecity,0.004761904761904762
10,Educational News,TheLeakeyFoundation,0.0015873015873015873
11,Educational News,Triggernometry,0.0015873015873015873
12,Educational News,Talks at Google,0.004761904761904762
13,Educational News,Bart D. Ehrman,0.0031746031746031746
14,Educational News,FFRF,0.0015873015873015873
15,Educational News,Pioneer Works,0.0015873015873015873
16,Educational News,The Rubin Report,0.0015873015873015873
17,Educational News,Long Now Foundation,0.0015873015873015873
18,Educational News,Sam Harris,0.026984126984126985
19,Educational News,Atheist Foundation of Australia Inc,0.007936507936507936
20,Educational News,Pragmatic Entertainment,0.012698412698412698
21,Educational News,Bob Nisbet,0.0015873015873015873
22,Educational News,MrPhiloscience,0.0031746031746031746
23,Educational News,Rationality Rules,0.0015873015873015873
24,Educational News,EAE,0.0015873015873015873
25,Educational News,Agatan Foundation,0.015873015873015872
26,Educational News,Jody Mac,0.007936507936507936
27,Educational News,Tom Bilyeu,0.007936507936507936
28,Educational News,Critical Thoughts,0.004761904761904762
29,Educational News,Lewis Howes,0.015873015873015872
30,Educational News,Mr.Within's Gift,0.004761904761904762
31,Educational News,IslamMovie,0.006349206349206349
32,Educational News,Pangburn,0.009523809523809525
33,Educational News,Rebel Wisdom,0.0015873015873015873
34,Educational News,National Human Genome Research Institute,0.0031746031746031746
35,Educational News,Trinity College Dublin,0.0015873015873015873
36,Educational News,Gorham's Cave Gibraltar,0.0015873015873015873
37,Educational News,Institute for Advanced Study,0.0015873015873015873
38,Educational News,YaleCourses,0.004761904761904762
39,Educational News,American Museum of Natural History,0.004761904761904762
40,Educational News,TAUVOD,0.0015873015873015873
41,Educational News,MSU Research,0.0015873015873015873
42,Educational News,Natural History Museum,0.0015873015873015873
43,Educational News,The Oriental Institute,0.004761904761904762
44,Educational News,John Hawks,0.0015873015873015873
45,Educational News,Gustavus Adolphus College,0.0015873015873015873
46,Educational News,PsychologicalScience,0.0015873015873015873
47,Educational News,USArmyWarCollege,0.0015873015873015873
48,Educational News,Cognitive Development Center CEU,0.0015873015873015873
49,Educational News,lordravenhill,0.0015873015873015873
50,Educational News,PowerfulJRE,0.022222222222222223
51,Educational News,dankoni ॐ nॐ nॐ,0.0015873015873015873
52,Educational News,Theo Von,0.0015873015873015873
53,Educational News,Tangentially Speaking Clips,0.0015873015873015873
54,Educational News,Unbelievable?,0.0015873015873015873
55,Educational News,Closer To Truth,0.0031746031746031746
56,Educational News,OxfordUnion,0.0031746031746031746
57,Educational News,Christ Community Chapel,0.0015873015873015873
58,Educational News,BiolaUniversity,0.0015873015873015873
59,Educational News,TED,0.011111111111111112
60,Educational News,Science at Melbourne,0.0031746031746031746
61,Educational News,Philosophy Guy,0.022222222222222223
62,Educational News,illacertus,0.0015873015873015873
63,Educational News,CrashCourse,0.0015873015873015873
64,Educational News,Academy of Ideas,0.004761904761904762
65,Educational News,lifesblood,0.0015873015873015873
66,Educational News,cer spence,0.0015873015873015873
67,Educational News,Josh Gad,0.006349206349206349
68,Educational News,Marker Ninja Studios,0.0015873015873015873
69,Educational News,Eric Dodson,0.0015873015873015873
70,Educational News,The Rugged Pyrrhus,0.0015873015873015873
71,Educational News,Aeon Video,0.0015873015873015873
72,Educational News,BBC Ideas,0.0015873015873015873
73,Educational News,Tom Nicholas,0.0031746031746031746
74,Educational News,Andrew DC TV,0.0015873015873015873
75,Educational News,Wisecrack,0.0015873015873015873
76,Educational News,Politics and Prose,0.0015873015873015873
77,Educational News,YouTube Movies,0.004761904761904762
78,Educational News,Garry Burge,0.0015873015873015873
79,Educational News,MetroFocus,0.0015873015873015873
80,Educational News,Hromadske International,0.0015873015873015873
81,Educational News,jediscar,0.0015873015873015873
82,Educational News,Radio Free Europe/Radio Liberty,0.0015873015873015873
83,Educational News,mudsharkbytes,0.0015873015873015873
84,Educational News,Apologetics Academy,0.0015873015873015873
85,Educational News,LaughPlanet,0.0015873015873015873
86,Educational News,Brian McKnight,0.0015873015873015873
87,Educational News,Christo Aivalis,0.006349206349206349
88,Educational News,Sylviabomb smith,0.0015873015873015873
89,Educational News,truTV,0.0015873015873015873
90,Educational News,JRE Clips,0.0015873015873015873
91,Educational News,Eivind Østvang,0.0015873015873015873
92,Educational News,Kate Gomez Kolar,0.0015873015873015873
93,Educational News,MattyBRaps,0.0015873015873015873
94,Educational News,Tom McElroy-Wild Survival,0.0015873015873015873
95,Educational News,Zero Books,0.0015873015873015873
96,Educational News,TA Outdoors,0.0031746031746031746
97,Educational News,RT Documentary,0.0015873015873015873
98,Educational News,Nottingham Contemporary,0.0015873015873015873
99,Educational News,Bob Ross,0.0031746031746031746
100,Educational News,CHUNKY CATS FISHING,0.0015873015873015873
101,Educational News,Vox Stoica,0.0015873015873015873
102,Educational News,Yang Speaks,0.0015873015873015873
103,Educational News,clean.simple.free,0.0015873015873015873
104,Educational News,Bret Weinstein,0.0015873015873015873
105,Educational News,Everything is Everything,0.0015873015873015873
106,Educational News,jgb1984,0.0015873015873015873
107,Educational News,Gordon Ramsay,0.004761904761904762
108,Educational News,Jocko Podcast,0.009523809523809525
109,Educational News,jimgaffigan,0.0031746031746031746
110,Educational News,Eric Garcetti,0.006349206349206349
111,Educational News,NBC News,0.004761904761904762
112,Educational News,Real Time with Bill Maher,0.004761904761904762
113,Educational News,University of Notre Dame,0.004761904761904762
114,Educational News,Pindex,0.0015873015873015873
115,Educational News,True Geordie,0.0015873015873015873
116,Educational News,The Late Show with Stephen Colbert,0.0031746031746031746
117,Educational News,Lex Fridman,0.006349206349206349
118,Educational News,Absolute Motivation,0.0015873015873015873
119,Educational News,Joey Diaz,0.0015873015873015873
120,Educational News,H3 Podcast Highlights,0.0015873015873015873
121,Educational News,9 News Australia,0.0031746031746031746
122,Educational News,Motivation Madness,0.0015873015873015873
123,Educational News,The Michael Brooks Show,0.0015873015873015873
124,Educational News,This Week In Startups,0.0015873015873015873
125,Educational News,The Zero Hour with RJ Eskow,0.006349206349206349
126,Educational News,ABC News (Australia),0.0015873015873015873
127,Educational News,Sky News Australia,0.0015873015873015873
128,Educational News,Big Think,0.004761904761904762
129,Educational News,Eckhart Tolle,0.0031746031746031746
130,Educational News,Talk Heathen,0.0015873015873015873
131,Educational News,SHAWSTRENGTH,0.004761904761904762
132,Educational News,Adam Carolla,0.0015873015873015873
133,Educational News,Official Jim Cornette,0.0015873015873015873
134,Educational News,GQ,0.0031746031746031746
135,Educational News,Jimmy Carr,0.0031746031746031746
136,Educational News,LastWeekTonight,0.0015873015873015873
137,Educational News,agadmator's Chess Channel,0.0015873015873015873
138,Educational News,John Bartholomew,0.0015873015873015873
139,Educational News,The Pat McAfee Show,0.0015873015873015873
140,Educational News,Sam Cooke,0.0015873015873015873
141,Educational News,The Infographics Show,0.0015873015873015873
142,Educational News,Ligonier Ministries,0.0015873015873015873
143,Educational News,Tatiana Cortez,0.0015873015873015873
144,Educational News,TED-Ed,0.0015873015873015873
145,Educational News,Dreem,0.0015873015873015873
146,Educational News,The Invisible Man,0.0015873015873015873
147,Educational News,Charisma on Command,0.0015873015873015873
148,Educational News,The War on Mind and Body,0.0015873015873015873
149,Educational News,The Science Of Success,0.0015873015873015873
150,Educational News,WORLD.MINDS,0.0015873015873015873
