"","Next Ideology","Current Ideology","Impression Difference"
"1","Social Justice _","Social Justice",298389.249300298
"2","Libertarian _","Libertarian",219981.295185419
"3","Partisan Right _","Partisan Right",178260.021017294
"4","IDW _","IDW",99208.822067615
"5","Conspiracy _","Conspiracy",57565.055287438
"6","Partisan Left _","Partisan Left",29463.695433317
"7","Revolutionary Socialist _","Revolutionary Socialist",-8039.37
"8","Religious Conservative _","Religious Conservative",-47375.15
"9","Socialist _","Socialist",-57400.7289997237
"10","MRA _","MRA",-73605.4
"11","Anti-Theist _","Anti-Theist",-85328.5900000001
"12","Anti-white _","Anti-white",-125395.518010719
"13","Alt-right _","Alt-right",-189821.106382979
"14","Alt-light _","Alt-light",-295902.274897959
