,Category,Next Channel,Probability
0,Educational News,LastWeekTonight,0.21904761904761905
1,Educational News,Full Frontal with Samantha Bee,0.1
2,Educational News,Saturday Night Live,0.02857142857142857
3,Educational News,Team Coco,0.011111111111111112
4,Educational News,Glamour,0.0015873015873015873
5,Educational News,Patriot Act,0.026984126984126985
6,Educational News,jimgaffigan,0.05873015873015873
7,Educational News,Quiet Quest - Study Music,0.0015873015873015873
8,Educational News,NBC News,0.009523809523809525
9,Educational News,Beau of the Fifth Column,0.0015873015873015873
10,Educational News,Foil Arms and Hog,0.0015873015873015873
11,Educational News,Normandy Beach Party,0.0015873015873015873
12,Educational News,The Late Show with Stephen Colbert,0.025396825396825397
13,Educational News,GeorgeNotFound,0.0015873015873015873
14,Educational News,Sequencer,0.0015873015873015873
15,Educational News,HALIDONMUSIC,0.0015873015873015873
16,Educational News,TBS,0.009523809523809525
17,Educational News,Lucky Ferals,0.0015873015873015873
18,Educational News,Jimmy Kimmel Live,0.09841269841269841
19,Educational News,YouTube,0.01904761904761905
20,Educational News,The Tonight Show Starring Jimmy Fallon,0.014285714285714285
21,Educational News,JRE Clips,0.0015873015873015873
22,Educational News,Flashy,0.0015873015873015873
23,Educational News,blacktreetv,0.0031746031746031746
24,Educational News,Vanessa Carlton,0.0015873015873015873
25,Educational News,Jimmy Carr,0.020634920634920634
26,Educational News,JohnnyFlynnVEVO,0.0015873015873015873
27,Educational News,Live from Here,0.0015873015873015873
28,Educational News,CBC News: The National,0.0031746031746031746
29,Educational News,Clark Destry,0.0015873015873015873
30,Educational News,Mark Rober,0.0031746031746031746
31,Educational News,Almeida Theatre,0.0015873015873015873
32,Educational News,Hollywood 101,0.004761904761904762
33,Educational News,truTV,0.0031746031746031746
34,Educational News,LIVEKellyandRyan,0.0015873015873015873
35,Educational News,FoundationINTERVIEWS,0.0015873015873015873
36,Educational News,Late Night with Seth Meyers,0.023809523809523808
37,Educational News,Trevor Noah,0.047619047619047616
38,Educational News,Just For Laughs,0.0031746031746031746
39,Educational News,First We Feast,0.0015873015873015873
40,Educational News,Russell Peters,0.007936507936507936
41,Educational News,Gabriel Iglesias,0.015873015873015872
42,Educational News,Netflix Is A Joke,0.004761904761904762
43,Educational News,Dry Bar Comedy,0.0015873015873015873
44,Educational News,NBCLA,0.009523809523809525
45,Educational News,Eric Garcetti,0.011111111111111112
46,Educational News,LaughPlanet,0.007936507936507936
47,Educational News,Real Time with Bill Maher,0.0031746031746031746
48,Educational News,Got Talent Global,0.0015873015873015873
49,Educational News,Josh Gad,0.0031746031746031746
50,Educational News,CBC Comedy,0.0015873015873015873
51,Educational News,TED,0.0015873015873015873
52,Educational News,The Zero Hour with RJ Eskow,0.004761904761904762
53,Educational News,Sebastian Maniscalco,0.0031746031746031746
54,Educational News,MSNBC,0.004761904761904762
55,Educational News,Fleetwood Mac,0.0015873015873015873
56,Educational News,St. Vincent,0.0015873015873015873
57,Educational News,George Harrison,0.0015873015873015873
58,Educational News,RETROREMIXES3,0.0015873015873015873
59,Educational News,Clapham Junction,0.0015873015873015873
60,Educational News,ABC7 News Bay Area,0.0031746031746031746
61,Educational News,Survivor Band,0.0015873015873015873
62,Educational News,RunTheJewels,0.0015873015873015873
63,Educational News,The Daily Show with Trevor Noah,0.0015873015873015873
64,Educational News,TPS,0.0015873015873015873
65,Educational News,SHOWTIME,0.0015873015873015873
66,Educational News,Mike Bloomberg,0.0015873015873015873
67,Educational News,92nd Street Y,0.012698412698412698
68,Educational News,KTLA 5,0.0031746031746031746
69,Educational News,PanDaddyPowa,0.0031746031746031746
70,Educational News,YouTube Movies,0.0031746031746031746
71,Educational News,Washington Post Live,0.0015873015873015873
72,Educational News,theoffcamerashow,0.0015873015873015873
73,Educational News,DESUS & MERO on SHOWTIME,0.0015873015873015873
74,Educational News,The Late Late Show with James Corden,0.009523809523809525
75,Educational News,mark normand,0.0015873015873015873
76,Educational News,USA TODAY,0.0015873015873015873
77,Educational News,Bloomberg QuickTake News,0.0015873015873015873
78,Educational News,Good Mythical Morning,0.0031746031746031746
79,Educational News,Trent & Allie,0.0015873015873015873
80,Educational News,GQ,0.0031746031746031746
81,Educational News,Funny Or Die,0.0015873015873015873
82,Educational News,rSlash,0.0015873015873015873
83,Educational News,Wild 'N Out,0.0031746031746031746
84,Educational News,Top 10 Talent,0.0015873015873015873
85,Educational News,TheEllenShow,0.004761904761904762
86,Educational News,America's Got Talent,0.0015873015873015873
87,Educational News,Comedy Central UK,0.0015873015873015873
88,Educational News,sthe luthuli,0.0015873015873015873
89,Educational News,Billboard,0.0015873015873015873
90,Educational News,92Y Plus,0.0015873015873015873
91,Educational News,American Film Institute,0.0015873015873015873
92,Educational News,MsMojo,0.0015873015873015873
93,Educational News,A Swizzle,0.0015873015873015873
94,Educational News,Yeah that's so it,0.0015873015873015873
95,Educational News,Top 10 Beyond The Screen,0.0015873015873015873
96,Educational News,NO offense,0.0015873015873015873
97,Educational News,LOL Network,0.0015873015873015873
98,Educational News,CNN,0.011111111111111112
99,Educational News,MTV AUSTRALIA,0.0015873015873015873
100,Educational News,The Pat McAfee Show,0.0015873015873015873
101,Educational News,NowThis News,0.0031746031746031746
102,Educational News,Brian Tyler Cohen,0.0015873015873015873
103,Educational News,Fox News,0.0015873015873015873
104,Educational News,The Damage Report,0.0015873015873015873
105,Educational News,9 News Australia,0.0015873015873015873
106,Educational News,Enigma,0.0015873015873015873
107,Educational News,Christo Aivalis,0.0015873015873015873
108,Educational News,KSDK News,0.0015873015873015873
109,Educational News,Town Hall Seattle,0.0015873015873015873
110,Educational News,Senate Majority Leader Mitch McConnell,0.0015873015873015873
111,Educational News,TED-Ed,0.0015873015873015873
112,Educational News,CGP Grey,0.0015873015873015873
113,Educational News,BuzzFeed Multiplayer,0.0031746031746031746
114,Educational News,LegalEagle,0.0015873015873015873
115,Educational News,Philip DeFranco,0.0015873015873015873
116,Educational News,Vsauce,0.004761904761904762
117,Educational News,J.J. McCullough,0.0015873015873015873
118,Educational News,Sean Carroll,0.0015873015873015873
119,Educational News,BuzzFeed Unsolved Network,0.0015873015873015873
120,Educational News,Dimension 20,0.0015873015873015873
