,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Libertarian,SenatorRandPaul,FIELD HEARING: Fed. Spending Resulting from Restrictive Logging Access and Timber Tariffs - 10/7/19,335,SenatorRandPaul,10
1,Libertarian,HooverInstitution,McMaster COVID 19 Geopolitical Geoeconomic implications | Hoover Virtual Policy Briefing,17540,HooverInstitution,10
2,Libertarian,Matt Christiansen,"#197 | Super Tuesday Fallout, Schumer’s Threat, Come and Take Buck’s AR-15 | Beauty & the Beta",39150,Matt Christiansen,1
3,Libertarian,Matt Christiansen,"#197 | Super Tuesday Fallout, Schumer’s Threat, Come and Take Buck’s AR-15 | Beauty & the Beta",39150,John Anderson,1
4,Libertarian,Matt Christiansen,"#197 | Super Tuesday Fallout, Schumer’s Threat, Come and Take Buck’s AR-15 | Beauty & the Beta",39150,jimgaffigan,1
5,Libertarian,Matt Christiansen,"#197 | Super Tuesday Fallout, Schumer’s Threat, Come and Take Buck’s AR-15 | Beauty & the Beta",39150,HooverInstitution,5
6,Libertarian,Matt Christiansen,"#197 | Super Tuesday Fallout, Schumer’s Threat, Come and Take Buck’s AR-15 | Beauty & the Beta",39150,Bret Weinstein,1
7,Libertarian,Matt Christiansen,"#197 | Super Tuesday Fallout, Schumer’s Threat, Come and Take Buck’s AR-15 | Beauty & the Beta",39150,Bernie Sanders,1
8,Libertarian,Yaron Brook,Yaron & Amy Show: Combating and Escaping Coronavirus Era Authoritarianism,1366,Yaron Brook,6
9,Libertarian,Yaron Brook,Yaron & Amy Show: Combating and Escaping Coronavirus Era Authoritarianism,1366,XTV Online,1
10,Libertarian,Yaron Brook,Yaron & Amy Show: Combating and Escaping Coronavirus Era Authoritarianism,1366,ImproveThePlanet,1
11,Libertarian,Yaron Brook,Yaron & Amy Show: Combating and Escaping Coronavirus Era Authoritarianism,1366,John Anderson,1
12,Libertarian,Yaron Brook,Yaron & Amy Show: Combating and Escaping Coronavirus Era Authoritarianism,1366,Real Vision Finance,1
13,Libertarian,The Cato Institute,What Frightens Us? And Why? Threat Perception During and After COVID-19,1098,The Cato Institute,2
