,Category,Next Channel,Count
0,Libertarian,ReasonTV,35
1,Libertarian,Wendover Productions,2
2,Libertarian,Fox News,186
3,Libertarian,The Rubin Report,142
4,Libertarian,Julie Borowski,5
5,Libertarian,C-SPAN,2
6,Libertarian,TEDx Talks,7
7,Libertarian,CNN,29
8,Libertarian,The Aspen Institute,42
9,Libertarian,"Buck Parker, M.D.",1
10,Libertarian,TED,7
11,Libertarian,The Cato Institute,9
12,Libertarian,Liberalistene,1
13,Libertarian,Vox,1
14,Libertarian,CNBC,3
15,Libertarian,Jasmine Ahrar,1
16,Libertarian,Association of American Physicians and Surgeons,1
17,Libertarian,Peter Schiff,12
18,Libertarian,IdolxNews,1
19,Libertarian,Bill Cushing,1
20,Libertarian,Ayn Rand Institute,36
21,Libertarian,Jan Helfeld,1
22,Libertarian,vlogbrothers,1
23,Libertarian,HooverInstitution,311
24,Libertarian,The Spectator,2
25,Libertarian,InstituteForJustice,20
26,Libertarian,The List,1
27,Libertarian,NJTV News,1
28,Libertarian,Respectful Revolution,1
29,Libertarian,Lifetime,1
30,Libertarian,laborvideo,1
31,Libertarian,CBS Denver,1
32,Libertarian,Married At First Sight Unfiltered,1
33,Libertarian,PragerU,15
34,Libertarian,Polar Bears International,1
35,Libertarian,Canadian Geographic,1
36,Libertarian,BBC Earth,3
37,Libertarian,Stefan Forster,1
38,Libertarian,Room for Discussion,23
39,Libertarian,Lewis Howes,28
40,Libertarian,Liberty University,3
41,Libertarian,Animal Planet,2
42,Libertarian,National Geographic,2
43,Libertarian,Sargon of Akkad Live,2
44,Libertarian,EcoFarmVideo,2
45,Libertarian,EdChoice,19
46,Libertarian,BiolaUniversity,3
47,Libertarian,UKIP,3
48,Libertarian,Commonwealth Club,8
49,Libertarian,MIT School of Architecture & Planning,1
50,Libertarian,The New School,49
51,Libertarian,Reagan Library,3
52,Libertarian,Yaron Brook,7
53,Libertarian,Coleman Hughes,21
54,Libertarian,XTV Online,2
55,Libertarian,Race Forward,1
56,Libertarian,How To Academy,9
57,Libertarian,OxfordUnion,56
58,Libertarian,PBS NewsHour,8
59,Libertarian,Styxhexenhammer666,8
60,Libertarian,Sean Kim,11
61,Libertarian,USA TODAY Life,1
62,Libertarian,60 Minutes Australia,1
63,Libertarian,Learn Liberty,29
64,Libertarian,VICE,6
65,Libertarian,talkRADIO,3
66,Libertarian,SenatorRandPaul,51
67,Libertarian,Shane Killian,3
68,Libertarian,Talks at Google,2
69,Libertarian,Orange County Register,1
70,Libertarian,Levy Economics Institute,3
71,Libertarian,ReaganFoundation,4
72,Libertarian,Town Hall Seattle,1
73,Libertarian,Dartmouth,1
74,Libertarian,Pepperdine School of Public Policy,5
75,Libertarian,UWinnipeg,1
76,Libertarian,Intelligence Squared,2
77,Libertarian,UNRISD,1
78,Libertarian,The Pholosopher,7
79,Libertarian,Evan Pickett,1
80,Libertarian,CNA,1
81,Libertarian,CGTN,1
82,Libertarian,Simon Yu,1
83,Libertarian,Sky News Australia,35
84,Libertarian,Understood,3
85,Libertarian,cebitchannel,2
86,Libertarian,South China Morning Post,1
87,Libertarian,Leadership Institute,3
88,Libertarian,CNA Insider,2
89,Libertarian,Mark Rober,2
90,Libertarian,Carnegie Mellon University,1
91,Libertarian,NBC News,13
92,Libertarian,Global News,14
93,Libertarian,PowerfulJRE,14
94,Libertarian,John Stossel,34
