,Category,Next Channel,Count
0,MRA,Sandman,16
1,MRA,The Roommates,2
2,MRA,The Rubin Report,7
3,MRA,Think Before You Sleep,1
4,MRA,Young ManHood Channel [YMC],1
5,MRA,TEDx Talks,11
6,MRA,Anna Akana,3
7,MRA,TREAD MARK,1
8,MRA,Fox News,166
9,MRA,HooverInstitution,229
10,MRA,Terrence Popp,22
11,MRA,CosmicSkeptic,1
12,MRA,HoneyBadgerRadio,10
13,MRA,NCASVideo,1
14,MRA,The Film Theorists,2
15,MRA,CBC,8
16,MRA,Megaprojects,1
17,MRA,Philosophy Tube,2
18,MRA,Patriot Act,4
19,MRA,The Late Show with Stephen Colbert,2
20,MRA,Jocko Podcast,90
21,MRA,3Blue1Brown,1
22,MRA,Brian Tyler Cohen,1
23,MRA,Emory University,1
24,MRA,DoctorRandomercam,15
25,MRA,FUSION,1
26,MRA,Cassie Jaye,2
27,MRA,Jubilee,3
28,MRA,Studio 10,59
29,MRA,JRE Clips,3
30,MRA,Bret Weinstein,2
31,MRA,Jordan B Peterson,20
32,MRA,Professor Dave Explains,9
33,MRA,British GQ,15
34,MRA,92nd Street Y,10
35,MRA,Channel 4 News,10
36,MRA,Skavlan,22
37,MRA,The Bearded Nemophilist,1
38,MRA,The School of Life,18
39,MRA,Backfire,1
40,MRA,TVO Docs,70
41,MRA,DoctorOz,3
42,MRA,Kevin O'Leary,22
43,MRA,Motivation Madness,20
44,MRA,21 Studios,1
45,MRA,Foundation for Economic Education,53
46,MRA,GQ,12
47,MRA,BlackScoutSurvival,1
48,MRA,Tavarish,1
49,MRA,LegalEagle,4
50,MRA,Thinking-Ape,19
51,MRA,This Morning,54
52,MRA,Geo History,1
53,MRA,ARIRANG NEWS,11
54,MRA,The Aspen Institute,41
55,MRA,Georgia Free,19
56,MRA,TED,3
57,MRA,Charisma on Command,79
58,MRA,Room for Discussion,44
59,MRA,How To Academy,51
60,MRA,Janet Jackson,1
61,MRA,INDEPTH Sound Design,1
62,MRA,Village food factory,1
63,MRA,Lex Fridman,5
64,MRA,Bite-sized Philosophy,2
65,MRA,MULLIGAN BROTHERS INTERVIEWS,8
66,MRA,Sky News Australia,8
67,MRA,6oodfella,19
68,MRA,WWE,1
69,MRA,The Royal Institution,12
70,MRA,Inside Edition,1
71,MRA,Roland S. Martin,23
72,MRA,Valuetainment,4
