,Category,Next Channel,Count
0,Mainstream News,The Agenda with Steve Paikin,28
1,Mainstream News,NCASVideo,1
2,Mainstream News,Bloomberg QuickTake Originals,10
3,Mainstream News,AFP News Agency,8
4,Mainstream News,Fox News,127
5,Mainstream News,The Independent,5
6,Mainstream News,WTVR CBS 6,1
7,Mainstream News,Eyewitness News ABC7NY,3
8,Mainstream News,MSNBC,79
9,Mainstream News,Jarhead6,1
10,Mainstream News,Fox Business,4
11,Mainstream News,Sky News,11
12,Mainstream News,9 News Australia,25
13,Mainstream News,WFAA,1
14,Mainstream News,On Demand News,1
15,Mainstream News,Tallahassee Democrat,2
16,Mainstream News,Global News,10
17,Mainstream News,The Telegraph,4
18,Mainstream News,WCCO - CBS Minnesota,9
19,Mainstream News,KARE 11,2
20,Mainstream News,UnHerd,6
21,Mainstream News,BuzzFeed News,4
22,Mainstream News,HooverInstitution,13
23,Mainstream News,NPR,2
24,Mainstream News,Patriot Act,115
25,Mainstream News,Kevin O'Leary,50
26,Mainstream News,Emory University,6
27,Mainstream News,ABC Action News,3
28,Mainstream News,Senator Ted Cruz,6
29,Mainstream News,The Late Show with Stephen Colbert,50
30,Mainstream News,socratesinthecity,1
31,Mainstream News,GrayStillPlays,1
32,Mainstream News,BBC HARDtalk,17
33,Mainstream News,Al Jazeera English,27
34,Mainstream News,euronews (in English),2
35,Mainstream News,EURACTIV,1
36,Mainstream News,BBC Newsnight,14
37,Mainstream News,DW News,14
38,Mainstream News,ATV Magyarország,3
39,Mainstream News,Ruptly,2
40,Mainstream News,FRANCE 24 English,5
41,Mainstream News,blacktreetv,3
42,Mainstream News,CGTN America,1
43,Mainstream News,WOWK 13 News,1
44,Mainstream News,CBN News,1
45,Mainstream News,BBC Radio 4,7
46,Mainstream News,wunderkammerchannel,1
47,Mainstream News,BBC Earth,4
48,Mainstream News,BBC,4
49,Mainstream News,Nat Geo WILD,1
50,Mainstream News,John Downer Productions,1
51,Mainstream News,BBC Studios,2
52,Mainstream News,Great Big Story,2
53,Mainstream News,Adrian C,1
54,Mainstream News,ring caneo,1
55,Mainstream News,Bryan Bruce,1
56,Mainstream News,BBC News,11
57,Mainstream News,ParrotsRUS1,1
58,Mainstream News,Joe Furman,1
59,Mainstream News,TODAY,10
60,Mainstream News,CBC News,21
61,Mainstream News,Good Morning Britain,31
62,Mainstream News,DW Documentary,14
63,Mainstream News,NBC News,118
64,Mainstream News,FOX 5 Atlanta,1
65,Mainstream News,Governor Andrew M. Cuomo,5
66,Mainstream News,LastWeekTonight,36
67,Mainstream News,Rick Steves' Europe,1
68,Mainstream News,60 Minutes Australia,34
69,Mainstream News,CNN,48
70,Mainstream News,The New Yorker,9
71,Mainstream News,EIDOS Foundation,1
72,Mainstream News,Lewis Howes,1
73,Mainstream News,Skavlan,1
74,Mainstream News,Esther Perel,4
75,Mainstream News,Tim Ferriss,1
76,Mainstream News,SXSW,1
77,Mainstream News,DLDconference,1
78,Mainstream News,Maria Shriver,1
79,Mainstream News,scienceandnonduality,1
80,Mainstream News,Refinery29,5
81,Mainstream News,Saturday Night Live,3
82,Mainstream News,Rolling Stone,4
83,Mainstream News,ABC News (Australia),33
84,Mainstream News,CRUX,1
85,Mainstream News,Business Insider,2
86,Mainstream News,ITV News,12
87,Mainstream News,The Economist,26
88,Mainstream News,ABC News,10
89,Mainstream News,"Christy Risinger, MD",1
90,Mainstream News,AJ+,13
91,Mainstream News,Sesame Street,1
92,Mainstream News,Vanity Fair,1
93,Mainstream News,The People,2
94,Mainstream News,Vox,18
95,Mainstream News,YouTube,5
96,Mainstream News,MostAmazingTop10,1
97,Mainstream News,Chicago Tribune,9
98,Mainstream News,What Would You Do?,3
99,Mainstream News,CBS Sports HQ,2
100,Mainstream News,MTV News,3
101,Mainstream News,GQ,1
102,Mainstream News,CBC,3
103,Mainstream News,Kansas City Chiefs,1
104,Mainstream News,Arcadia Boosted,9
105,Mainstream News,Valuetainment,2
106,Mainstream News,YouTube Movies,13
107,Mainstream News,CNBC Make It.,9
108,Mainstream News,GZERO Media,1
109,Mainstream News,CNBC,42
110,Mainstream News,CNBC International,3
111,Mainstream News,Real Engineering,3
112,Mainstream News,WIRED,2
113,Mainstream News,The New School,16
114,Mainstream News,TimTom,1
115,Mainstream News,Stanford,7
116,Mainstream News,WIRED UK,8
117,Mainstream News,Kid Matters Counseling - Child Therapists,1
118,Mainstream News,TEDx Talks,16
119,Mainstream News,Milestone Churches,1
120,Mainstream News,HSD Social Media,1
121,Mainstream News,BBC Ideas,29
122,Mainstream News,Wonders of the World,1
123,Mainstream News,neo,1
124,Mainstream News,Long Now Foundation,1
125,Mainstream News,Mississippi Public Broadcasting,1
126,Mainstream News,Mark Rober,1
127,Mainstream News,The University of Sydney,7
128,Mainstream News,Chris James,1
129,Mainstream News,FOX 10 Phoenix,9
130,Mainstream News,92nd Street Y,6
131,Mainstream News,ReaganFoundation,3
132,Mainstream News,Liberty University,2
133,Mainstream News,CNBC Television,17
134,Mainstream News,CBS News,3
135,Mainstream News,Financial Times,6
136,Mainstream News,TheJournal.ie,1
137,Mainstream News,ABC News In-depth,18
138,Mainstream News,The Obama White House,6
139,Mainstream News,7NEWS Australia,19
140,Mainstream News,Sky News Australia,5
141,Mainstream News,TRT World Now,1
142,Mainstream News,TRT World,2
143,Mainstream News,LA-OC.tv,1
144,Mainstream News,Anadolu Agency,1
145,Mainstream News,NeoScribe,2
146,Mainstream News,Late Night with Seth Meyers,17
147,Mainstream News,University of Kentucky College of Arts & Sciences,1
148,Mainstream News,Jocko Podcast,9
149,Mainstream News,Gapminder Foundation,2
150,Mainstream News,MotivationHub,2
151,Mainstream News,LegalEagle,6
152,Mainstream News,VICE,4
153,Mainstream News,The Atlantic,4
154,Mainstream News,TED,6
155,Mainstream News,The Royal Institution,2
156,Mainstream News,National Geographic,7
157,Mainstream News,The Wonton Don,1
158,Mainstream News,News4JAX,9
159,Mainstream News,The New York Times,16
160,Mainstream News,Wendover Productions,2
161,Mainstream News,CBC News: The National,10
162,Mainstream News,Foundation for Economic Education,1
163,Mainstream News,Michelle 'ATLien' Brown,4
164,Mainstream News,Cole The Cornstar,1
165,Mainstream News,Jack Chapple,1
166,Mainstream News,This Morning,1
167,Mainstream News,jimgaffigan,9
168,Mainstream News,Paula Deen,9
169,Mainstream News,PBS NewsHour,33
170,Mainstream News,Trevor Noah,1
171,Mainstream News,Jomboy Media,1
172,Mainstream News,syracuse.com,4
173,Mainstream News,Origin Of Everything,2
174,Mainstream News,Washington Post,2
175,Mainstream News,America's Test Kitchen,2
176,Mainstream News,Guga Foods,1
177,Mainstream News,Cooking with Shotgun Red,1
178,Mainstream News,Gordon Ramsay,2
179,Mainstream News,Magnolia,1
180,Mainstream News,Bon Appétit,1
181,Mainstream News,BBQ Pit Boys,1
182,Mainstream News,Jenny Can Cook,3
183,Mainstream News,Chinese Cooking Demystified,1
184,Mainstream News,Smokin' & Grillin' wit AB,1
185,Mainstream News,Chowhound,1
186,Mainstream News,John Kirkwood,1
