,Category,Next Channel,Probability
0,Educational News,Dinesh D'Souza,0.004761904761904762
1,Educational News,Liberty University,0.014285714285714285
2,Educational News,Talent Replay,0.0015873015873015873
3,Educational News,Fox News,0.05873015873015873
4,Educational News,Richard Nixon Foundation,0.0015873015873015873
5,Educational News,YAFTV,0.006349206349206349
6,Educational News,Fox Business,0.004761904761904762
7,Educational News,CNN,0.006349206349206349
8,Educational News,University of Notre Dame,0.0031746031746031746
9,Educational News,Top 10 Talent,0.0031746031746031746
10,Educational News,Physics Girl,0.0015873015873015873
11,Educational News,Got Talent Global,0.0015873015873015873
12,Educational News,thkelly67,0.006349206349206349
13,Educational News,Sky News Australia,0.015873015873015872
14,Educational News,Jonathan Pageau,0.0015873015873015873
15,Educational News,TED,0.0015873015873015873
16,Educational News,Josh Gad,0.0031746031746031746
17,Educational News,Mark Rober,0.007936507936507936
18,Educational News,jimgaffigan,0.004761904761904762
19,Educational News,Chris Stuckmann,0.0015873015873015873
20,Educational News,WIRED UK,0.0015873015873015873
21,Educational News,Phil Robertson,0.0015873015873015873
22,Educational News,Sideways,0.0015873015873015873
23,Educational News,Dream,0.004761904761904762
24,Educational News,MrBeast,0.0015873015873015873
25,Educational News,Danny Gonzalez,0.0015873015873015873
26,Educational News,9 News Australia,0.007936507936507936
27,Educational News,JRE Clips,0.004761904761904762
28,Educational News,jacksepticeye,0.0015873015873015873
29,Educational News,Tree Of Logic,0.007936507936507936
30,Educational News,socratesinthecity,0.0015873015873015873
31,Educational News,Nerdist,0.0015873015873015873
32,Educational News,Democracy Now!,0.0015873015873015873
33,Educational News,GadgetGirlKylie,0.0015873015873015873
34,Educational News,Bill Wiese,0.0015873015873015873
35,Educational News,Reiki with Anna,0.0015873015873015873
36,Educational News,The Narrow Gate,0.0015873015873015873
37,Educational News,Binge Watchers,0.0015873015873015873
38,Educational News,News4JAX,0.0015873015873015873
39,Educational News,English Like A Native,0.0015873015873015873
40,Educational News,CBS Sacramento,0.0015873015873015873
41,Educational News,Doctor Who,0.0015873015873015873
42,Educational News,American Enterprise Institute,0.0015873015873015873
43,Educational News,Just a Robot,0.0015873015873015873
44,Educational News,NateTalksToYou,0.02857142857142857
45,Educational News,FOCLOnline,0.0015873015873015873
46,Educational News,Sydney Watson,0.0031746031746031746
47,Educational News,Innuendo Studios,0.0015873015873015873
48,Educational News,Vanity Fair,0.0015873015873015873
49,Educational News,Sarah Z,0.0015873015873015873
50,Educational News,BBC Newsnight,0.0015873015873015873
51,Educational News,Slightly Offens*ve,0.0031746031746031746
52,Educational News,VICE,0.011111111111111112
53,Educational News,truTV,0.007936507936507936
54,Educational News,OxfordUnion,0.004761904761904762
55,Educational News,Studio 10,0.015873015873015872
56,Educational News,92nd Street Y,0.004761904761904762
57,Educational News,LastWeekTonight,0.01904761904761905
58,Educational News,HooverInstitution,0.09206349206349207
59,Educational News,Vito,0.0015873015873015873
60,Educational News,PowerfulJRE,0.05238095238095238
61,Educational News,Jimmy Carr,0.012698412698412698
62,Educational News,CBC News,0.004761904761904762
63,Educational News,The Rubin Report,0.004761904761904762
64,Educational News,Dangerfield,0.0015873015873015873
65,Educational News,How To Academy,0.0015873015873015873
66,Educational News,TVO Docs,0.012698412698412698
67,Educational News,Jordan B Peterson,0.014285714285714285
68,Educational News,Lewis Howes,0.0015873015873015873
69,Educational News,John Anderson,0.0031746031746031746
70,Educational News,Room for Discussion,0.006349206349206349
71,Educational News,vpro documentary,0.007936507936507936
72,Educational News,Bret Weinstein,0.0015873015873015873
73,Educational News,Jocko Podcast,0.0015873015873015873
74,Educational News,Skavlan,0.009523809523809525
75,Educational News,LBC,0.0015873015873015873
76,Educational News,News2Share,0.0015873015873015873
77,Educational News,Rocky Mountain PBS,0.0015873015873015873
78,Educational News,TODAY,0.0031746031746031746
79,Educational News,Intelligence Squared,0.004761904761904762
80,Educational News,CBC News: The National,0.0015873015873015873
81,Educational News,TRT World,0.0015873015873015873
82,Educational News,Alan Howard / JW3 Speaker Series,0.0015873015873015873
83,Educational News,VICE News,0.0015873015873015873
84,Educational News,NBC News,0.006349206349206349
85,Educational News,Chicago Humanities Festival,0.0015873015873015873
86,Educational News,A&E,0.0015873015873015873
87,Educational News,9NEWS,0.004761904761904762
88,Educational News,Jubilee,0.009523809523809525
89,Educational News,Foundation for Economic Education,0.01904761904761905
90,Educational News,Razbuten,0.0015873015873015873
91,Educational News,itsRucka,0.0015873015873015873
92,Educational News,TheDooo,0.0015873015873015873
93,Educational News,Charisma on Command,0.011111111111111112
94,Educational News,Real Time with Bill Maher,0.007936507936507936
95,Educational News,Channel 4 News,0.006349206349206349
96,Educational News,Philosophy Tube,0.0015873015873015873
97,Educational News,Gattor Martin,0.0015873015873015873
98,Educational News,Steubenville Conferences,0.004761904761904762
99,Educational News,The Hill,0.004761904761904762
100,Educational News,Vox,0.0015873015873015873
101,Educational News,Brown University,0.0015873015873015873
102,Educational News,The Salvation Army Kroc Center,0.0015873015873015873
103,Educational News,EdChoice,0.0031746031746031746
104,Educational News,FOX 13 News Utah,0.0015873015873015873
105,Educational News,Jeremy Vine on 5 - Official Channel,0.006349206349206349
106,Educational News,Calming Music,0.0015873015873015873
107,Educational News,Moyers & Company,0.006349206349206349
108,Educational News,SleepTube - Hypnotic Relaxation,0.0015873015873015873
109,Educational News,Emory University,0.0015873015873015873
110,Educational News,PragerU,0.0015873015873015873
111,Educational News,rSlash,0.0015873015873015873
112,Educational News,American Battlefield Trust,0.0015873015873015873
113,Educational News,Rebel News,0.0015873015873015873
114,Educational News,Good Morning Britain,0.0031746031746031746
115,Educational News,The Frustrated Indian - English,0.0015873015873015873
116,Educational News,ABC News (Australia),0.0031746031746031746
117,Educational News,MILO,0.004761904761904762
118,Educational News,FOX 11 Los Angeles,0.0031746031746031746
119,Educational News,LaughPlanet,0.014285714285714285
120,Educational News,VICE TV,0.0031746031746031746
121,Educational News,It'sWhateverMedia,0.0015873015873015873
122,Educational News,UFC - Ultimate Fighting Championship,0.0015873015873015873
123,Educational News,abcqanda,0.006349206349206349
124,Educational News,GQ,0.007936507936507936
125,Educational News,Stefan Molyneux,0.0015873015873015873
126,Educational News,Valuetainment,0.0015873015873015873
127,Educational News,YouTube Movies,0.004761904761904762
128,Educational News,The New School,0.006349206349206349
129,Educational News,MR. OBVIOUS,0.0015873015873015873
130,Educational News,Principles by Ray Dalio,0.0015873015873015873
131,Educational News,CNBC Television,0.004761904761904762
132,Educational News,The Royal Institution,0.004761904761904762
133,Educational News,Professor Dave Explains,0.015873015873015872
134,Educational News,Bearing,0.0015873015873015873
135,Educational News,CGP Grey,0.006349206349206349
136,Educational News,Just For Laughs,0.006349206349206349
137,Educational News,RedLetterMedia,0.004761904761904762
138,Educational News,George Carlin Official YouTube Channel,0.0031746031746031746
139,Educational News,Styxhexenhammer666,0.0015873015873015873
140,Educational News,Patriot Act,0.0015873015873015873
141,Educational News,Talks at Google,0.0015873015873015873
142,Educational News,CNBC,0.0015873015873015873
143,Educational News,i24NEWS English,0.0015873015873015873
144,Educational News,AnthonyPadilla,0.0015873015873015873
145,Educational News,John Ward,0.0015873015873015873
146,Educational News,The View,0.004761904761904762
147,Educational News,The Charisma Matrix,0.0015873015873015873
148,Educational News,BDZ,0.0015873015873015873
149,Educational News,ReasonTV,0.004761904761904762
150,Educational News,CBS News,0.007936507936507936
151,Educational News,OWN,0.0015873015873015873
152,Educational News,Turning Point USA,0.0015873015873015873
153,Educational News,BMOnus,0.006349206349206349
154,Educational News,Wild 'N Out,0.0015873015873015873
155,Educational News,Pawn Stars,0.0015873015873015873
156,Educational News,Gabriel Iglesias,0.0015873015873015873
157,Educational News,ABC7 News Bay Area,0.0015873015873015873
158,Educational News,SyqeMike,0.0015873015873015873
159,Educational News,Johnny Harris,0.0015873015873015873
160,Educational News,What Would You Do?,0.0015873015873015873
161,Educational News,Oppressed Media,0.0015873015873015873
162,Educational News,Daily Mail,0.0015873015873015873
