,Category,Next Channel,Count
0,ManoelAltRight,Laura Towler,13
1,ManoelAltRight,Jordan B Peterson,121
2,ManoelAltRight,Kelamaty,1
3,ManoelAltRight,HooverInstitution,209
4,ManoelAltRight,Amazing Auditions,1
5,ManoelAltRight,Thomas Baden-Riess,1
6,ManoelAltRight,NBC News,13
7,ManoelAltRight,PowerfulJRE,16
8,ManoelAltRight,Fox News,65
9,ManoelAltRight,The Sun,27
10,ManoelAltRight,Foundation for Economic Education,56
11,ManoelAltRight,Keith Woods,1
12,ManoelAltRight,Jakes & Latte,13
13,ManoelAltRight,Brandon D'Eon Music,1
14,ManoelAltRight,The Rubin Report,2
15,ManoelAltRight,Jared George,1
16,ManoelAltRight,YouTube Movies,9
17,ManoelAltRight,,8
18,ManoelAltRight,Morrakiu,4
19,ManoelAltRight,The Late Show with Stephen Colbert,1
20,ManoelAltRight,The Tonight Show Starring Jimmy Fallon,2
21,ManoelAltRight,Saturday Night Live,2
22,ManoelAltRight,Bad Lip Reading,1
23,ManoelAltRight,ABC News,1
24,ManoelAltRight,Global News,1
25,ManoelAltRight,CNN,3
26,ManoelAltRight,BuzzFeedVideo,1
27,ManoelAltRight,Gayfurry77777,1
28,ManoelAltRight,Teach Argument,1
29,ManoelAltRight,SHOWTIME,1
30,ManoelAltRight,The Daily Conversation,1
31,ManoelAltRight,LosGranosTV,2
32,ManoelAltRight,FOX 10 Phoenix,2
33,ManoelAltRight,NPI / RADIX,17
34,ManoelAltRight,The New School,48
35,ManoelAltRight,How To Academy,13
36,ManoelAltRight,Josh Gad,9
37,ManoelAltRight,Philosophy Tube,8
38,ManoelAltRight,Valuetainment,6
39,ManoelAltRight,Encore +,17
40,ManoelAltRight,Jocko Podcast,14
41,ManoelAltRight,Novara Media,1
42,ManoelAltRight,UnHerd,3
43,ManoelAltRight,Black Pigeon Speaks,8
44,ManoelAltRight,Prince of Zimbabwe,1
45,ManoelAltRight,Survive the Jive,4
46,ManoelAltRight,Jonathan Pageau,1
47,ManoelAltRight,Reflex Cinema,1
48,ManoelAltRight,Tory Burch,1
49,ManoelAltRight,The HU,1
50,ManoelAltRight,Sargon of Akkad,1
51,ManoelAltRight,Johnny Cash,1
52,ManoelAltRight,60 Minutes Australia,2
53,ManoelAltRight,Real Engineering,1
54,ManoelAltRight,Economics Explained,1
55,ManoelAltRight,AustralianRealist,4
56,ManoelAltRight,The Aspen Institute,57
57,ManoelAltRight,Chris Hines,1
58,ManoelAltRight,Studio 10,13
59,ManoelAltRight,Council on Foreign Relations,3
60,ManoelAltRight,The Royal Institution,14
61,ManoelAltRight,Gapminder Foundation,8
62,ManoelAltRight,NCASVideo,1
63,ManoelAltRight,UKIP,3
