,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,ManoelIDW,Matt Christiansen,"#141 | SOTU Recap, Green New Deal for the Unwilling to Work, RIP Warren Campaign | Beauty & the Beta",50640,Matt Christiansen,2
1,ManoelIDW,Matt Christiansen,"#141 | SOTU Recap, Green New Deal for the Unwilling to Work, RIP Warren Campaign | Beauty & the Beta",50640,Patriot Act,1
2,ManoelIDW,Matt Christiansen,"#141 | SOTU Recap, Green New Deal for the Unwilling to Work, RIP Warren Campaign | Beauty & the Beta",50640,Yahoo,1
3,ManoelIDW,Matt Christiansen,"#141 | SOTU Recap, Green New Deal for the Unwilling to Work, RIP Warren Campaign | Beauty & the Beta",50640,Lex Fridman,1
4,ManoelIDW,Matt Christiansen,"#141 | SOTU Recap, Green New Deal for the Unwilling to Work, RIP Warren Campaign | Beauty & the Beta",50640,PowerfulJRE,2
5,ManoelIDW,Matt Christiansen,"#141 | SOTU Recap, Green New Deal for the Unwilling to Work, RIP Warren Campaign | Beauty & the Beta",50640,HooverInstitution,1
6,ManoelIDW,Matt Christiansen,"#141 | SOTU Recap, Green New Deal for the Unwilling to Work, RIP Warren Campaign | Beauty & the Beta",50640,LastWeekTonight,1
7,ManoelIDW,Matt Christiansen,"#141 | SOTU Recap, Green New Deal for the Unwilling to Work, RIP Warren Campaign | Beauty & the Beta",50640,Fox News,1
8,ManoelIDW,YAFTV,Who are the science deniers? Allie Stuckey DECIMATES the Left on Capitol Hill,238787,YAFTV,7
9,ManoelIDW,YAFTV,Who are the science deniers? Allie Stuckey DECIMATES the Left on Capitol Hill,238787,Senator Ted Cruz,1
10,ManoelIDW,YAFTV,Who are the science deniers? Allie Stuckey DECIMATES the Left on Capitol Hill,238787,The Rubin Report,1
11,ManoelIDW,YAFTV,Who are the science deniers? Allie Stuckey DECIMATES the Left on Capitol Hill,238787,PragerU,1
12,ManoelIDW,Matt Christiansen,"#164 | 'Send Her Back,' Ilhan & Her Brother, Erica Thomas Hoax Hate | Beauty & the Beta",51957,Matt Christiansen,3
13,ManoelIDW,Matt Christiansen,"#164 | 'Send Her Back,' Ilhan & Her Brother, Erica Thomas Hoax Hate | Beauty & the Beta",51957,HooverInstitution,1
14,ManoelIDW,Matt Christiansen,"#164 | 'Send Her Back,' Ilhan & Her Brother, Erica Thomas Hoax Hate | Beauty & the Beta",51957,Yahoo,1
15,ManoelIDW,Matt Christiansen,"#164 | 'Send Her Back,' Ilhan & Her Brother, Erica Thomas Hoax Hate | Beauty & the Beta",51957,Fox News,2
16,ManoelIDW,Matt Christiansen,"#164 | 'Send Her Back,' Ilhan & Her Brother, Erica Thomas Hoax Hate | Beauty & the Beta",51957,PowerfulJRE,1
17,ManoelIDW,Matt Christiansen,"#164 | 'Send Her Back,' Ilhan & Her Brother, Erica Thomas Hoax Hate | Beauty & the Beta",51957,Peter Kay,1
18,ManoelIDW,Matt Christiansen,"#164 | 'Send Her Back,' Ilhan & Her Brother, Erica Thomas Hoax Hate | Beauty & the Beta",51957,GrassRoots Community Network,1
19,ManoelIDW,Jordan B Peterson,Update: Law Society of Ontario Compelled Speech,59554,Jordan B Peterson,5
20,ManoelIDW,Jordan B Peterson,Update: Law Society of Ontario Compelled Speech,59554,ideacity,1
21,ManoelIDW,Jordan B Peterson,Update: Law Society of Ontario Compelled Speech,59554,The Agenda with Steve Paikin,1
22,ManoelIDW,Jordan B Peterson,Update: Law Society of Ontario Compelled Speech,59554,HooverInstitution,2
23,ManoelIDW,Jordan B Peterson,Update: Law Society of Ontario Compelled Speech,59554,Penn State McCourtney Institute for Democracy,1
24,ManoelIDW,Essential Truth,Jordan Peterson: When things go wrong in your life,83668,Essential Truth,5
25,ManoelIDW,Essential Truth,Jordan Peterson: When things go wrong in your life,83668,Dustin Larocque,1
26,ManoelIDW,Essential Truth,Jordan Peterson: When things go wrong in your life,83668,Alex Swan,1
27,ManoelIDW,Essential Truth,Jordan Peterson: When things go wrong in your life,83668,Bite-sized Philosophy,1
28,ManoelIDW,Essential Truth,Jordan Peterson: When things go wrong in your life,83668,MULLIGAN BROTHERS INTERVIEWS,1
29,ManoelIDW,Essential Truth,Jordan Peterson: When things go wrong in your life,83668,TheArchangel911,1
30,ManoelIDW,Trigger Happy Media,Ben Shapiro vs. Social Justice Warriors Compilation #2,631929,Trigger Happy Media,1
31,ManoelIDW,Trigger Happy Media,Ben Shapiro vs. Social Justice Warriors Compilation #2,631929,Liberty University,1
32,ManoelIDW,Trigger Happy Media,Ben Shapiro vs. Social Justice Warriors Compilation #2,631929,Studio 10,1
33,ManoelIDW,Trigger Happy Media,Ben Shapiro vs. Social Justice Warriors Compilation #2,631929,Fox News,1
34,ManoelIDW,Trigger Happy Media,Ben Shapiro vs. Social Justice Warriors Compilation #2,631929,Gravitahn,1
