,AntiSJW,AntiTheist,AntiWhiteness,Conspiracy,Educational,LateNightTalkShow,Libertarian,MRA,Mainstream News,ManoelAltLite,ManoelAltRight,MissingLinkMedia,PartisanLeft,PartisanRight,Provocateur,ReligiousConservative,SocialJustice,Socialist,StateFunded,WhiteIdentitarian
AntiSJW,0.13628158844765345,0.0009025270758122744,0.027978339350180504,0.0,0.029783393501805054,0.00631768953068592,0.25722021660649824,0.009927797833935019,0.009025270758122744,0.0,0.0,0.0036101083032490976,0.04963898916967508,0.39259927797833943,0.0,0.021660649819494587,0.02256317689530686,0.0,0.026173285198555957,0.00631768953068592
AntiTheist,0.08342857142857142,0.5462857142857144,0.0,0.0,0.030857142857142854,0.10628571428571429,0.054857142857142854,0.0,0.001142857142857143,0.0,0.0,0.0034285714285714284,0.1097142857142857,0.03657142857142857,0.0,0.0,0.01942857142857143,0.0,0.008000000000000002,0.0
AntiWhiteness,0.0,0.0,0.36403508771929827,0.0,0.006578947368421052,0.0942982456140351,0.006578947368421052,0.0,0.046052631578947366,0.0,0.0,0.006578947368421052,0.3026315789473685,0.041666666666666664,0.0,0.0,0.06798245614035087,0.0,0.06359649122807018,0.0
Conspiracy,0.05161943319838057,0.0,0.0,0.06477732793522267,0.016194331983805668,0.0010121457489878543,0.22064777327935223,0.0,0.010121457489878543,0.0,0.0,0.0,0.09109311740890688,0.4848178137651821,0.0,0.003036437246963563,0.0374493927125506,0.0,0.01923076923076923,0.0
Educational,0.05046343975283213,0.047373841400617914,0.0,0.0,0.5736354273944391,0.03501544799176107,0.037075180226570546,0.0,0.014418125643666322,0.0,0.0,0.07209062821833162,0.0792996910401648,0.008238928939237899,0.0,0.0020597322348094747,0.06797116374871266,0.0,0.01235839340885685,0.0
LateNightTalkShow,0.0,0.0,0.0,0.0,0.0,0.6426229508196722,0.0,0.0,0.0024590163934426227,0.0,0.0,0.0,0.3467213114754098,0.004098360655737705,0.0,0.0,0.003278688524590164,0.0,0.000819672131147541,0.0
Libertarian,0.043548387096774194,0.0024193548387096775,0.016129032258064516,0.0032258064516129032,0.021774193548387097,0.0,0.640322580645161,0.0,0.0072580645161290334,0.0,0.0,0.0008064516129032258,0.04758064516129034,0.19112903225806446,0.0,0.0008064516129032258,0.014516129032258063,0.0,0.010483870967741936,0.0
MRA,0.17678381256656017,0.0031948881789137383,0.024494142705005325,0.0,0.10010649627263046,0.0074547390841320565,0.268370607028754,0.09904153354632589,0.007454739084132056,0.0,0.0,0.003194888178913738,0.026624068157614485,0.1799787007454739,0.0,0.022364217252396165,0.07667731629392972,0.0,0.004259850905218318,0.0
Mainstream News,0.0017226528854435831,0.0,0.0,0.0,0.02153316106804479,0.13781223083548666,0.012919896640826874,0.0,0.11455641688199827,0.0,0.0,0.0,0.34969853574504745,0.12144702842377261,0.0,0.0,0.018087855297157625,0.0,0.2222222222222222,0.0
ManoelAltLite,0.14127144298688196,0.0,0.0,0.0,0.015136226034308779,0.005045408678102927,0.16145307769929362,0.0,0.005045408678102927,0.0020181634712411706,0.0,0.008072653884964682,0.07366296670030274,0.5166498486377397,0.0,0.012108980827447024,0.01513622603430878,0.0,0.04137235116044399,0.0030272452068617556
