,Category,Next Channel,Count
0,MissingLinkMedia,VICE News,33
1,MissingLinkMedia,BBC London,1
2,MissingLinkMedia,Bloomberg QuickTake Originals,3
3,MissingLinkMedia,VICE,63
4,MissingLinkMedia,Vox,36
5,MissingLinkMedia,TEDx Talks,13
6,MissingLinkMedia,60 Minutes Australia,19
7,MissingLinkMedia,Channel 4 News,1
8,MissingLinkMedia,The People,2
9,MissingLinkMedia,WIRED,10
10,MissingLinkMedia,Rick & Bubba,23
11,MissingLinkMedia,YouTube,11
12,MissingLinkMedia,Phil Robertson,28
13,MissingLinkMedia,Graham Allen,5
14,MissingLinkMedia,HooverInstitution,47
15,MissingLinkMedia,Valuetainment,1
16,MissingLinkMedia,Fox News,317
17,MissingLinkMedia,The Real News Network,1
18,MissingLinkMedia,The Royal Institution,1
19,MissingLinkMedia,What If,1
20,MissingLinkMedia,US Military Defense,1
21,MissingLinkMedia,The Infographics Show,6
22,MissingLinkMedia,PewDiePie,2
23,MissingLinkMedia,LBC,1
24,MissingLinkMedia,CBC News,4
25,MissingLinkMedia,Exploring Alternatives,2
26,MissingLinkMedia,The Wonton Don,4
27,MissingLinkMedia,TED,5
28,MissingLinkMedia,BuzzFeed News,5
29,MissingLinkMedia,This Morning,1
30,MissingLinkMedia,The Tim Traveller,1
31,MissingLinkMedia,TODAY,6
32,MissingLinkMedia,BuzzFeedVideo,2
33,MissingLinkMedia,BuzzFeed Multiplayer,1
34,MissingLinkMedia,The Straits Times,1
35,MissingLinkMedia,As/Is,3
36,MissingLinkMedia,euronews (in English),2
37,MissingLinkMedia,LosGranosTV,6
38,MissingLinkMedia,Dish Nation,1
39,MissingLinkMedia,Tasty,2
40,MissingLinkMedia,BBC News,3
41,MissingLinkMedia,The Economist,9
42,MissingLinkMedia,Patriot Act,19
43,MissingLinkMedia,CNBC Make It.,11
44,MissingLinkMedia,Cheddar,37
45,MissingLinkMedia,Brew,1
46,MissingLinkMedia,Real Science,1
47,MissingLinkMedia,TRT World,8
48,MissingLinkMedia,South China Morning Post,2
49,MissingLinkMedia,The Medical Futurist,1
50,MissingLinkMedia,Stated Clearly,1
51,MissingLinkMedia,UC San Diego Health,1
52,MissingLinkMedia,Wendover Productions,12
53,MissingLinkMedia,WIRED UK,8
54,MissingLinkMedia,Council on Foreign Relations,1
55,MissingLinkMedia,The Guardian,3
56,MissingLinkMedia,National Geographic,4
57,MissingLinkMedia,Los Angeles Times,1
58,MissingLinkMedia,Mic,2
59,MissingLinkMedia,The New York Times,5
60,MissingLinkMedia,Judnich Law Office,1
61,MissingLinkMedia,WKRG,1
62,MissingLinkMedia,LastWeekTonight,1
63,MissingLinkMedia,ProvinceofBC,13
64,MissingLinkMedia,MSNBC,26
65,MissingLinkMedia,Jubilee,33
66,MissingLinkMedia,MiamiSAO,1
67,MissingLinkMedia,The Late Show with Stephen Colbert,19
68,MissingLinkMedia,Mark Coleman,1
69,MissingLinkMedia,Central Florida Concealed Weapons,1
70,MissingLinkMedia,ABC13 Houston,15
71,MissingLinkMedia,Studio 10,10
72,MissingLinkMedia,The Daily Signal,5
73,MissingLinkMedia,FOX 2 St. Louis,3
74,MissingLinkMedia,KVUE,1
75,MissingLinkMedia,GZERO Media,1
76,MissingLinkMedia,NBC4 Columbus,1
77,MissingLinkMedia,Good Morning America,6
78,MissingLinkMedia,CBS 42,1
79,MissingLinkMedia,WCPO 9,1
80,MissingLinkMedia,KETV NewsWatch 7,1
81,MissingLinkMedia,The Sun,3
82,MissingLinkMedia,WPLG Local 10,2
83,MissingLinkMedia,41 Action News,1
84,MissingLinkMedia,National Post,1
85,MissingLinkMedia,Yahoo Finance,1
86,MissingLinkMedia,Newsy,2
87,MissingLinkMedia,AP Archive,1
88,MissingLinkMedia,PBS NewsHour,13
89,MissingLinkMedia,CBS News,4
90,MissingLinkMedia,Liberty University,19
91,MissingLinkMedia,NBC News,45
92,MissingLinkMedia,The Telegraph,2
93,MissingLinkMedia,CNN,20
94,MissingLinkMedia,DW Documentary,1
95,MissingLinkMedia,ReaganFoundation,5
96,MissingLinkMedia,Learn Liberty,8
97,MissingLinkMedia,BEME News,11
98,MissingLinkMedia,The Dave Ramsey Show,3
99,MissingLinkMedia,CNBC,10
100,MissingLinkMedia,FRANCE 24 English,1
101,MissingLinkMedia,TLDR News,1
102,MissingLinkMedia,"Don't Walk, Run! Productions",1
103,MissingLinkMedia,KPBS,2
104,MissingLinkMedia,Oscar Boyson,4
105,MissingLinkMedia,wocomoHUMANITY,1
106,MissingLinkMedia,American Brain Foundation,1
107,MissingLinkMedia,NowThis World,9
108,MissingLinkMedia,Lord's Cricket Ground,1
109,MissingLinkMedia,United States Institute of Peace,1
110,MissingLinkMedia,VOA News,2
111,MissingLinkMedia,Wall Street Journal,2
112,MissingLinkMedia,World Government Summit,1
113,MissingLinkMedia,OxfordUnion,4
114,MissingLinkMedia,CNBC International TV,2
115,MissingLinkMedia,Geography Now,5
116,MissingLinkMedia,Dunya News,1
117,MissingLinkMedia,FRONTLINE PBS | Official,2
118,MissingLinkMedia,NowThis News,30
119,MissingLinkMedia,Late Night with Seth Meyers,9
120,MissingLinkMedia,Top 10 Talent,1
121,MissingLinkMedia,Comedy Hype,3
122,MissingLinkMedia,syracuse.com,1
123,MissingLinkMedia,Good Morning Britain,4
124,MissingLinkMedia,Entertainment Tonight,1
125,MissingLinkMedia,The Epoch Times,4
126,MissingLinkMedia,NTD,14
127,MissingLinkMedia,China in Focus - NTD,12
128,MissingLinkMedia,Crossroads with JOSHUA PHILIPP,1
129,MissingLinkMedia,Jimmy Kimmel Live,3
