,Category,Next Channel,Probability
0,Educational News,VICE TV,0.07765451664025357
1,Educational News,Official Jim Cornette,0.004754358161648178
2,Educational News,rfvideo1,0.001584786053882726
3,Educational News,ArcadianVanguard,0.003169572107765452
4,Educational News,WrestleTalk,0.003169572107765452
5,Educational News,RickRomo,0.001584786053882726
6,Educational News,lmourand,0.004754358161648178
7,Educational News,Wrestlers vs The World!,0.004754358161648178
8,Educational News,WWE,0.004754358161648178
9,Educational News,Alicie's Action Figure Frenzy,0.001584786053882726
10,Educational News,julio1988,0.003169572107765452
11,Educational News,TheJCEngland,0.001584786053882726
12,Educational News,Hella Opinions from BuzzFeed News,0.020602218700475437
13,Educational News,TEDx Talks,0.003169572107765452
14,Educational News,Anya Grace,0.001584786053882726
15,Educational News,Saddleback Church,0.001584786053882726
16,Educational News,Jake Ducey,0.001584786053882726
17,Educational News,Regan Hillyer,0.001584786053882726
18,Educational News,Evan Carmichael,0.001584786053882726
19,Educational News,Mr.Within's Gift,0.001584786053882726
20,Educational News,Complex Hustle,0.001584786053882726
21,Educational News,Lewis Howes,0.003169572107765452
22,Educational News,Brain Power Studio,0.001584786053882726
23,Educational News,Hope Lynette’,0.001584786053882726
24,Educational News,Asti Maree,0.001584786053882726
25,Educational News,BuzzFeed News,0.001584786053882726
26,Educational News,etthehiphoppreacher,0.001584786053882726
27,Educational News,Washed Media,0.003169572107765452
28,Educational News,Bill Wiese,0.001584786053882726
29,Educational News,Josh Gad,0.004754358161648178
30,Educational News,reelblack,0.001584786053882726
31,Educational News,Got Talent Global,0.00792393026941363
32,Educational News,BBC America,0.001584786053882726
33,Educational News,TODAY,0.001584786053882726
34,Educational News,The Tonight Show Starring Jimmy Fallon,0.006339144215530904
35,Educational News,BBC,0.001584786053882726
36,Educational News,Television Academy,0.001584786053882726
37,Educational News,Team Coco,0.004754358161648178
38,Educational News,truTV,0.003169572107765452
39,Educational News,Late Night with Seth Meyers,0.00792393026941363
40,Educational News,Derpston P Derp,0.001584786053882726
41,Educational News,Pawn Stars,0.001584786053882726
42,Educational News,Jimmy Carr,0.014263074484944533
43,Educational News,The View,0.001584786053882726
44,Educational News,Talks at Google,0.001584786053882726
45,Educational News,RoveOnline,0.001584786053882726
46,Educational News,Trevor Noah,0.1045958795562599
47,Educational News,YouTube,0.006339144215530904
48,Educational News,Just For Laughs,0.004754358161648178
49,Educational News,Henok Mekonnen,0.00792393026941363
50,Educational News,Anders Jacobsson,0.003169572107765452
51,Educational News,Patriot Act,0.014263074484944533
52,Educational News,Sole DXB,0.001584786053882726
53,Educational News,The Business of Fashion,0.001584786053882726
54,Educational News,92nd Street Y,0.003169572107765452
55,Educational News,Gerard Adams,0.001584786053882726
56,Educational News,HYPEBEAST Radio,0.001584786053882726
57,Educational News,Footwear News,0.003169572107765452
58,Educational News,Entrepreneur,0.001584786053882726
59,Educational News,Noisey,0.004754358161648178
60,Educational News,First We Feast,0.003169572107765452
61,Educational News,Pyer Moss,0.004754358161648178
62,Educational News,itsjrgraphy,0.001584786053882726
63,Educational News,DESUS & MERO on SHOWTIME,0.001584786053882726
64,Educational News,HYPEBEAST,0.001584786053882726
65,Educational News,Highsnobiety,0.003169572107765452
66,Educational News,Marc Jacobs,0.001584786053882726
67,Educational News,PopBuzz,0.001584786053882726
68,Educational News,Detroit Public TV,0.001584786053882726
69,Educational News,OWN,0.001584786053882726
70,Educational News,KTLA 5,0.006339144215530904
71,Educational News,The Late Show with Stephen Colbert,0.004754358161648178
72,Educational News,Good Mythical Morning,0.001584786053882726
73,Educational News,Ahmad Asaad,0.001584786053882726
74,Educational News,Al Jazeera English,0.001584786053882726
75,Educational News,sequiser.vallier,0.022187004754358162
76,Educational News,Triggernometry,0.001584786053882726
77,Educational News,Button Poetry,0.001584786053882726
78,Educational News,ABC7 News Bay Area,0.00792393026941363
79,Educational News,Wrestling Shoot Interviews - Diamond Joe,0.001584786053882726
80,Educational News,Title Match Wrestling,0.001584786053882726
81,Educational News,World Peace,0.003169572107765452
82,Educational News,LiveSigning,0.001584786053882726
83,Educational News,The School Guide,0.003169572107765452
84,Educational News,THE REVOLUTION,0.001584786053882726
85,Educational News,Chris Jericho,0.001584786053882726
86,Educational News,Munchies,0.02377179080824089
87,Educational News,Trill Future,0.001584786053882726
88,Educational News,The Main Eventer,0.001584786053882726
89,Educational News,GQ,0.030110935023771792
90,Educational News,Wrestling Podcasts,0.001584786053882726
91,Educational News,Wrestlelamia,0.001584786053882726
92,Educational News,Nerds for Humanity,0.001584786053882726
93,Educational News,VICE Asia,0.006339144215530904
94,Educational News,Newsy,0.001584786053882726
95,Educational News,NBC News,0.020602218700475437
96,Educational News,Bleacher Report,0.001584786053882726
97,Educational News,The Radical Revolution,0.001584786053882726
98,Educational News,Yahoo Finance,0.001584786053882726
99,Educational News,University of Bath,0.001584786053882726
100,Educational News,JRE Clips,0.004754358161648178
101,Educational News,Elizabeth Warren,0.001584786053882726
102,Educational News,Swamp Dragon,0.001584786053882726
103,Educational News,TheRichest,0.001584786053882726
104,Educational News,VICE,0.020602218700475437
105,Educational News,MTV AUSTRALIA,0.001584786053882726
106,Educational News,Talent Replay,0.001584786053882726
107,Educational News,Gabriel Iglesias,0.009508716323296355
