,Category,Next Channel,Count
0,PartisanRight,Fox News,138
1,PartisanRight,Fox Business,2
2,PartisanRight,Good Morning America,1
3,PartisanRight,MSNBC,13
4,PartisanRight,The Rubin Report,36
5,PartisanRight,NBC News,48
6,PartisanRight,ESPN,1
7,PartisanRight,Five Star,10
8,PartisanRight,CNN,18
9,PartisanRight,Voxiversity,4
10,PartisanRight,CrashCourse,1
11,PartisanRight,Richard Wolff Briefly,1
12,PartisanRight,Patricia Jenkinson,1
13,PartisanRight,Digiday,2
14,PartisanRight,Philosophy Tube,2
15,PartisanRight,TEDx Talks,4
16,PartisanRight,Paul Griffin,1
17,PartisanRight,Lauren Sergy,1
18,PartisanRight,Gresham College,1
19,PartisanRight,Lindybeige,1
20,PartisanRight,Mississippi Public Broadcasting,4
21,PartisanRight,The Marxist Project,1
22,PartisanRight,How To Academy,13
23,PartisanRight,The School of Life,1
24,PartisanRight,Stephen Klien,1
25,PartisanRight,Matthew North,3
26,PartisanRight,Chelsea,1
27,PartisanRight,HooverInstitution,276
28,PartisanRight,WatchMojo.com,2
29,PartisanRight,The Young Turks,1
30,PartisanRight,Rebel Wisdom,1
31,PartisanRight,Saturday Night Live,1
32,PartisanRight,Moyers & Company,11
33,PartisanRight,REVOLT TV,5
34,PartisanRight,fred26er,1
35,PartisanRight,MILO,1
36,PartisanRight,Simulation,2
37,PartisanRight,Final Call News,1
38,PartisanRight,Seattle Channel,1
39,PartisanRight,MedCircle,1
40,PartisanRight,Emory University,4
41,PartisanRight,Jimmy Carr,4
42,PartisanRight,WIRED UK,2
43,PartisanRight,American Thought Leaders - The Epoch Times,3
44,PartisanRight,TODAY,5
45,PartisanRight,The Daily Signal,2
46,PartisanRight,John James,1
47,PartisanRight,Liberty University,30
48,PartisanRight,Zooming In with Simone Gao,2
49,PartisanRight,U.S. Department of State,1
50,PartisanRight,World Affairs,1
51,PartisanRight,FRONTLINE PBS | Official,9
52,PartisanRight,PBS NewsHour,12
53,PartisanRight,Global News,4
54,PartisanRight,ANU TV,1
55,PartisanRight,ABC13 Houston,2
56,PartisanRight,News 19 WLTX,5
57,PartisanRight,Coop's Channel,11
58,PartisanRight,Leo Ashe,1
59,PartisanRight,Reuters,1
60,PartisanRight,Nik Nikam,1
61,PartisanRight,The Intercept,1
62,PartisanRight,The Late Show with Stephen Colbert,4
63,PartisanRight,The Real News Network,1
64,PartisanRight,LosGranosTV,2
65,PartisanRight,CBS Philly,1
66,PartisanRight,LSU Tiger TV,1
67,PartisanRight,PTW,1
68,PartisanRight,TheDC Shorts,2
69,PartisanRight,Another Conservative Commentator,1
70,PartisanRight,Candace Owens,5
71,PartisanRight,OxfordUnion,8
72,PartisanRight,The Eric Metaxas Radio Show,6
73,PartisanRight,Liberty Hangout,4
74,PartisanRight,Jubilee,2
75,PartisanRight,Chortzy,1
76,PartisanRight,anabellugh,3
77,PartisanRight,TehMimi,1
78,PartisanRight,Roly,1
79,PartisanRight,applejooss,1
80,PartisanRight,FBE,1
81,PartisanRight,ImAllexx,1
82,PartisanRight,Kat Blaque,1
83,PartisanRight,Studio 10,6
84,PartisanRight,VICE,9
85,PartisanRight,Asha Logos,2
86,PartisanRight,Talks at Google,11
87,PartisanRight,Jordan B Peterson,53
88,PartisanRight,Fall of Civilizations,1
89,PartisanRight,YaleCourses,8
90,PartisanRight,History Time,1
91,PartisanRight,TVO Docs,18
92,PartisanRight,Wyoming PBS,2
93,PartisanRight,KCETOnline,1
94,PartisanRight,FilmRise Documentaries,1
95,PartisanRight,The Oriental Institute,1
96,PartisanRight,BBC Documentary,5
97,PartisanRight,EcoFarmVideo,6
98,PartisanRight,Survive the Jive,2
99,PartisanRight,Rick Beato,1
100,PartisanRight,The Daily Wire,2
101,PartisanRight,Ken Martinez,1
102,PartisanRight,The Invisible Man,1
103,PartisanRight,FreedomToons,1
104,PartisanRight,DSA President Nick Mullen,1
105,PartisanRight,SHAMIEN,3
106,PartisanRight,Channel 4 News,3
107,PartisanRight,Gravitahn,2
108,PartisanRight,MyTalkShowHeroes,1
109,PartisanRight,Pantagruelian,1
110,PartisanRight,Skavlan,2
111,PartisanRight,players02,1
112,PartisanRight,A Dormant Dynasty,4
113,PartisanRight,Jabroney,1
114,PartisanRight,Family Guy,1
115,PartisanRight,FORA.tv,2
116,PartisanRight,Cryo Chamber,1
117,PartisanRight,Questar Entertainment,1
118,PartisanRight,BiolaUniversity,2
119,PartisanRight,Josh Gad,4
120,PartisanRight,X22Report Spotlight,5
