,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Provocateur,Sargon of Akkad,All EU Countries Are Expected to Adopt the Euro,131649,Sargon of Akkad,3
1,Provocateur,Sargon of Akkad,All EU Countries Are Expected to Adopt the Euro,131649,LastWeekTonight,1
2,Provocateur,Sargon of Akkad,All EU Countries Are Expected to Adopt the Euro,131649,UnHerd,1
3,Provocateur,Sargon of Akkad,All EU Countries Are Expected to Adopt the Euro,131649,Netflix Is A Joke,1
4,Provocateur,Sargon of Akkad,All EU Countries Are Expected to Adopt the Euro,131649,Fox News,2
5,Provocateur,Sargon of Akkad,All EU Countries Are Expected to Adopt the Euro,131649,HooverInstitution,1
6,Provocateur,Sargon of Akkad,All EU Countries Are Expected to Adopt the Euro,131649,BBC News,1
7,Provocateur,Tariq Radio,Tariq Nasheed: Beware Of Trojan Horses,96851,Tariq Radio,2
8,Provocateur,Tariq Radio,Tariq Nasheed: Beware Of Trojan Horses,96851,HOT 97,1
9,Provocateur,Tariq Radio,Tariq Nasheed: Beware Of Trojan Horses,96851,Breakfast Club Power 105.1 FM,3
10,Provocateur,Tariq Radio,Tariq Nasheed: Beware Of Trojan Horses,96851,Brown University,1
11,Provocateur,Tariq Radio,Tariq Nasheed: Beware Of Trojan Horses,96851,Chicago Humanities Festival,1
12,Provocateur,Tariq Radio,Tariq Nasheed: Beware Of Trojan Horses,96851,The New School,1
13,Provocateur,Tariq Radio,Tariq Nasheed: Beware Of Trojan Horses,96851,AfterBuzz TV,1
14,Provocateur,Count Dankula Streams,A Chat With Bolerhatman - Part 2,22799,Count Dankula Streams,4
15,Provocateur,Count Dankula Streams,A Chat With Bolerhatman - Part 2,22799,H3 Podcast Highlights,1
16,Provocateur,Count Dankula Streams,A Chat With Bolerhatman - Part 2,22799,Triggernometry,1
17,Provocateur,Count Dankula Streams,A Chat With Bolerhatman - Part 2,22799,djvlad,1
18,Provocateur,Count Dankula Streams,A Chat With Bolerhatman - Part 2,22799,SWAY'S UNIVERSE,1
19,Provocateur,Count Dankula Streams,A Chat With Bolerhatman - Part 2,22799,Joseph Anderson,1
20,Provocateur,Count Dankula Streams,A Chat With Bolerhatman - Part 2,22799,PowerfulJRE,1
21,Provocateur,Akkad Daily,Adele Outed as Fatphobic,222071,Akkad Daily,1
22,Provocateur,Akkad Daily,Adele Outed as Fatphobic,222071,HooverInstitution,2
23,Provocateur,Akkad Daily,Adele Outed as Fatphobic,222071,Skavlan,1
24,Provocateur,Akkad Daily,Adele Outed as Fatphobic,222071,JRE Clips,1
25,Provocateur,Akkad Daily,Adele Outed as Fatphobic,222071,PowerfulJRE,2
26,Provocateur,Akkad Daily,Adele Outed as Fatphobic,222071,Peter Kay,1
27,Provocateur,Akkad Daily,Adele Outed as Fatphobic,222071,This Morning,1
28,Provocateur,Akkad Daily,Adele Outed as Fatphobic,222071,Fox News,1
29,Provocateur,Sargon of Akkad,British Banter with Milo Yiannopolous,161761,Sargon of Akkad,1
30,Provocateur,Sargon of Akkad,British Banter with Milo Yiannopolous,161761,UKIP,3
31,Provocateur,Sargon of Akkad,British Banter with Milo Yiannopolous,161761,The Aspen Institute,1
32,Provocateur,Sargon of Akkad,British Banter with Milo Yiannopolous,161761,Room for Discussion,1
33,Provocateur,Sargon of Akkad,British Banter with Milo Yiannopolous,161761,Studio 10,1
34,Provocateur,Sargon of Akkad,British Banter with Milo Yiannopolous,161761,The Eric Metaxas Radio Show,1
35,Provocateur,Sargon of Akkad,British Banter with Milo Yiannopolous,161761,Channel 4 News,1
36,Provocateur,Sargon of Akkad,British Banter with Milo Yiannopolous,161761,Gravitahn,1
37,Provocateur,ReyRoSho,Lil Uzi Vert's 'Gay Mannerisms' VS Hip Hop Homophobia,225420,ReyRoSho,3
38,Provocateur,ReyRoSho,Lil Uzi Vert's 'Gay Mannerisms' VS Hip Hop Homophobia,225420,HOT 97,1
39,Provocateur,ReyRoSho,Lil Uzi Vert's 'Gay Mannerisms' VS Hip Hop Homophobia,225420,Netflix Is A Joke,1
40,Provocateur,ReyRoSho,Lil Uzi Vert's 'Gay Mannerisms' VS Hip Hop Homophobia,225420,JJ Olatunji,2
41,Provocateur,ReyRoSho,Lil Uzi Vert's 'Gay Mannerisms' VS Hip Hop Homophobia,225420,NardwuarServiette,1
42,Provocateur,ReyRoSho,Lil Uzi Vert's 'Gay Mannerisms' VS Hip Hop Homophobia,225420,yadiiiigg,1
43,Provocateur,ReyRoSho,Lil Uzi Vert's 'Gay Mannerisms' VS Hip Hop Homophobia,225420,Brandon Rashad,1
44,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,Project Veritas Action,1
45,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,Fox News,2
46,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,Senate of the Philippines,1
47,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,오마이뉴스,1
48,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,The Young Turks,1
49,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,David Cho,1
50,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,CNN,1
51,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,Dist. e-Governance Soecity Ganjam Collectorate,1
52,Provocateur,Project Veritas Action,Additional Voter Fraud Proof for FEC Commissioner Weintraub Filed With FEC,12954,yazakchattiest,1
53,Provocateur,Project Veritas Action,James O'Keefe Interviews Bredesen Campaign Staff and Manager for Comment on Undercover Video,50059,Project Veritas Action,1
54,Provocateur,Project Veritas Action,James O'Keefe Interviews Bredesen Campaign Staff and Manager for Comment on Undercover Video,50059,Tennessean,1
55,Provocateur,Project Veritas Action,James O'Keefe Interviews Bredesen Campaign Staff and Manager for Comment on Undercover Video,50059,Liberty University,1
56,Provocateur,Project Veritas Action,James O'Keefe Interviews Bredesen Campaign Staff and Manager for Comment on Undercover Video,50059,GrassRoots Community Network,1
57,Provocateur,Project Veritas Action,James O'Keefe Interviews Bredesen Campaign Staff and Manager for Comment on Undercover Video,50059,KOMO News,1
58,Provocateur,Project Veritas Action,James O'Keefe Interviews Bredesen Campaign Staff and Manager for Comment on Undercover Video,50059,Studio 10,1
59,Provocateur,Project Veritas Action,James O'Keefe Interviews Bredesen Campaign Staff and Manager for Comment on Undercover Video,50059,Fox News,3
60,Provocateur,Project Veritas Action,James O'Keefe Interviews Bredesen Campaign Staff and Manager for Comment on Undercover Video,50059,Marsha Blackburn for U.S. Senate,1
61,Provocateur,Russell Brand,If You're Feeling Lonely - Watch This...,91440,Russell Brand,7
62,Provocateur,Russell Brand,If You're Feeling Lonely - Watch This...,91440,Creating Success,1
63,Provocateur,Russell Brand,If You're Feeling Lonely - Watch This...,91440,Sync Mind - Binaural Beats Meditation,1
64,Provocateur,Russell Brand,If You're Feeling Lonely - Watch This...,91440,Netflix Is A Joke,1
65,Provocateur,Sargon of Akkad Live,Agora Newscast (27/07/2018),55983,Sargon of Akkad Live,1
66,Provocateur,Sargon of Akkad Live,Agora Newscast (27/07/2018),55983,HooverInstitution,2
67,Provocateur,Sargon of Akkad Live,Agora Newscast (27/07/2018),55983,디씨멘터리,1
68,Provocateur,Sargon of Akkad Live,Agora Newscast (27/07/2018),55983,Rekieta Law,1
