,Category,Current Channel,Current Video,Current Views,Next Channel,Count
0,Revolutionary,Hakim,Is Capitalism Destroying Healthcare?,13704,Hakim,3
1,Revolutionary,Hakim,Is Capitalism Destroying Healthcare?,13704,Vox,1
2,Revolutionary,Hakim,Is Capitalism Destroying Healthcare?,13704,HooverInstitution,1
3,Revolutionary,Hakim,Is Capitalism Destroying Healthcare?,13704,Angie Speaks,1
4,Revolutionary,Hakim,Is Capitalism Destroying Healthcare?,13704,LibertyPen,1
5,Revolutionary,Hakim,Is Capitalism Destroying Healthcare?,13704,MedCram - Medical Lectures Explained CLEARLY,1
6,Revolutionary,Hakim,Is Capitalism Destroying Healthcare?,13704,Ayn Rand Institute,1
7,Revolutionary,Hakim,Is Capitalism Destroying Healthcare?,13704,NCASVideo,1
8,Revolutionary,GETchan,Anthem of the Chinese Soviet Republic - The Internationale (1931-1937) [Vocal],58160,GETchan,9
9,Revolutionary,GETchan,Anthem of the Chinese Soviet Republic - The Internationale (1931-1937) [Vocal],58160,The United States Army Field Band,1
10,Revolutionary,anarchopac,Maoist Rebel News Is A Transphobe,13310,anarchopac,4
11,Revolutionary,anarchopac,Maoist Rebel News Is A Transphobe,13310,Philosophy Tube,1
12,Revolutionary,anarchopac,Maoist Rebel News Is A Transphobe,13310,Fox News,1
13,Revolutionary,anarchopac,Maoist Rebel News Is A Transphobe,13310,Lindybeige,1
14,Revolutionary,anarchopac,Maoist Rebel News Is A Transphobe,13310,LastWeekTonight,1
15,Revolutionary,anarchopac,Maoist Rebel News Is A Transphobe,13310,Historia Civilis,1
16,Revolutionary,anarchopac,Maoist Rebel News Is A Transphobe,13310,NCASVideo,1
17,Revolutionary,Socialist East,Azərbaycan Sovet Sosialist Respublikasının Himni! Anthem of the Azerbaijan SSR! (English Lyrics),17569,Socialist East,6
18,Revolutionary,Socialist East,Azərbaycan Sovet Sosialist Respublikasının Himni! Anthem of the Azerbaijan SSR! (English Lyrics),17569,Various Artists - Topic,2
19,Revolutionary,Socialist East,Azərbaycan Sovet Sosialist Respublikasının Himni! Anthem of the Azerbaijan SSR! (English Lyrics),17569,NP FLAGS,1
20,Revolutionary,Socialist East,Azərbaycan Sovet Sosialist Respublikasının Himni! Anthem of the Azerbaijan SSR! (English Lyrics),17569,Kashgar Khanate,1
21,Revolutionary,Hakim,Overpopulation Is A Capitalist Lie,35984,Hakim,3
22,Revolutionary,Hakim,Overpopulation Is A Capitalist Lie,35984,Kurzgesagt – In a Nutshell,2
23,Revolutionary,Hakim,Overpopulation Is A Capitalist Lie,35984,NV atCEPImperial,1
24,Revolutionary,Hakim,Overpopulation Is A Capitalist Lie,35984,SciShow,1
25,Revolutionary,Hakim,Overpopulation Is A Capitalist Lie,35984,THINK Global School,1
26,Revolutionary,Hakim,Overpopulation Is A Capitalist Lie,35984,halim alrah,1
27,Revolutionary,Hakim,Overpopulation Is A Capitalist Lie,35984,TEDx Talks,1
28,Revolutionary,GETchan,The People of Yanbian Love Chairman Mao [Tibetan Version],63023,GETchan,4
29,Revolutionary,GETchan,The People of Yanbian Love Chairman Mao [Tibetan Version],63023,Les Choeurs de l'Armée Rouge Alexandrov - Officiel,1
30,Revolutionary,GETchan,The People of Yanbian Love Chairman Mao [Tibetan Version],63023,Dragon Music,1
31,Revolutionary,GETchan,The People of Yanbian Love Chairman Mao [Tibetan Version],63023,cctv13music,1
32,Revolutionary,GETchan,The People of Yanbian Love Chairman Mao [Tibetan Version],63023,Meheandus Revolution,1
33,Revolutionary,GETchan,The People of Yanbian Love Chairman Mao [Tibetan Version],63023,Songs from the DPRK,1
34,Revolutionary,GETchan,The People of Yanbian Love Chairman Mao [Tibetan Version],63023,LeiFengMedia,1
35,Revolutionary,TheFinnishBolshevik,"RE: ""Why Marxism Cannot Work""",33449,TheFinnishBolshevik,5
36,Revolutionary,TheFinnishBolshevik,"RE: ""Why Marxism Cannot Work""",33449,HooverInstitution,2
37,Revolutionary,TheFinnishBolshevik,"RE: ""Why Marxism Cannot Work""",33449,The School of Life,1
38,Revolutionary,TheFinnishBolshevik,"RE: ""Why Marxism Cannot Work""",33449,DiEM25,1
39,Revolutionary,TheFinnishBolshevik,"RE: ""Why Marxism Cannot Work""",33449,alpergaga,1
40,Revolutionary,TheFinnishBolshevik,Crazy Anti-North Korea Propaganda (RE: Secular Talk Kyle Kulinski),13723,TheFinnishBolshevik,4
41,Revolutionary,TheFinnishBolshevik,Crazy Anti-North Korea Propaganda (RE: Secular Talk Kyle Kulinski),13723,Philosophy Tube,1
42,Revolutionary,TheFinnishBolshevik,Crazy Anti-North Korea Propaganda (RE: Secular Talk Kyle Kulinski),13723,HooverInstitution,1
43,Revolutionary,TheFinnishBolshevik,Crazy Anti-North Korea Propaganda (RE: Secular Talk Kyle Kulinski),13723,azureScapegoat,1
44,Revolutionary,TheFinnishBolshevik,Crazy Anti-North Korea Propaganda (RE: Secular Talk Kyle Kulinski),13723,Channel 4 News,1
45,Revolutionary,TheFinnishBolshevik,Crazy Anti-North Korea Propaganda (RE: Secular Talk Kyle Kulinski),13723,Commonwealth Club,1
46,Revolutionary,TheFinnishBolshevik,Crazy Anti-North Korea Propaganda (RE: Secular Talk Kyle Kulinski),13723,The School of Life,1
47,Revolutionary,TheFinnishBolshevik,The Marxist Labor Theory of Value,25124,TheFinnishBolshevik,5
48,Revolutionary,TheFinnishBolshevik,The Marxist Labor Theory of Value,25124,Workplace Democracy,1
49,Revolutionary,TheFinnishBolshevik,The Marxist Labor Theory of Value,25124,UMassEconomics,1
50,Revolutionary,TheFinnishBolshevik,The Marxist Labor Theory of Value,25124,YouTube,1
51,Revolutionary,TheFinnishBolshevik,The Marxist Labor Theory of Value,25124,Tom Stephens,1
52,Revolutionary,TheFinnishBolshevik,The Marxist Labor Theory of Value,25124,Reading Marx's Capital with David Harvey,1
53,Revolutionary,GETchan,Гімн Української РСР (Сталінська версія) - Anthem of the Ukrainian SSR (Stalin Version),28339,GETchan,5
54,Revolutionary,GETchan,Гімн Української РСР (Сталінська версія) - Anthem of the Ukrainian SSR (Stalin Version),28339,Bartje Bartmans,1
55,Revolutionary,GETchan,Гімн Української РСР (Сталінська версія) - Anthem of the Ukrainian SSR (Stalin Version),28339,Ian Berwick,1
56,Revolutionary,GETchan,Гімн Української РСР (Сталінська версія) - Anthem of the Ukrainian SSR (Stalin Version),28339,Les Choeurs de l'Armée Rouge Alexandrov - Officiel,2
57,Revolutionary,GETchan,Гімн Української РСР (Сталінська версія) - Anthem of the Ukrainian SSR (Stalin Version),28339,Norwegian Baron,1
58,Revolutionary,TheFinnishBolshevik,Syria & Imperialism (ft. DemocraticSocialist01),12607,TheFinnishBolshevik,5
59,Revolutionary,TheFinnishBolshevik,Syria & Imperialism (ft. DemocraticSocialist01),12607,The School of Life,1
60,Revolutionary,TheFinnishBolshevik,Syria & Imperialism (ft. DemocraticSocialist01),12607,Philosophy Tube,1
61,Revolutionary,TheFinnishBolshevik,Syria & Imperialism (ft. DemocraticSocialist01),12607,Fox News,1
62,Revolutionary,TheFinnishBolshevik,Syria & Imperialism (ft. DemocraticSocialist01),12607,The Royal Institution,1
63,Revolutionary,TheFinnishBolshevik,Syria & Imperialism (ft. DemocraticSocialist01),12607,CrashCourse,1
64,Revolutionary,Hakim,"No, MORE Millennials Should Be Communists (Debunking TheBurgerKrieg)",33406,Hakim,1
