,Category,Next Channel,Probability
0,Educational News,AM to DM,0.03492063492063492
1,Educational News,TANISHA LAVERNE GRANT,0.0015873015873015873
2,Educational News,Austin & Jess Vlogs,0.0015873015873015873
3,Educational News,TheTalko,0.0031746031746031746
4,Educational News,Netflix Is A Joke,0.0015873015873015873
5,Educational News,The Late Show with Stephen Colbert,0.004761904761904762
6,Educational News,Film at Lincoln Center,0.0015873015873015873
7,Educational News,serendipity,0.0015873015873015873
8,Educational News,Strahan Sara and Keke,0.007936507936507936
9,Educational News,Marla Catherine,0.0015873015873015873
10,Educational News,Arthur Kade,0.0015873015873015873
11,Educational News,Sarahs Day,0.0015873015873015873
12,Educational News,Bobblehead Conan,0.0015873015873015873
13,Educational News,Daddyhunt App,0.0015873015873015873
14,Educational News,Google,0.0015873015873015873
15,Educational News,TODAY,0.011111111111111112
16,Educational News,Aifoss,0.0015873015873015873
17,Educational News,Entertainment Tonight,0.004761904761904762
18,Educational News,BUILD Series,0.011111111111111112
19,Educational News,VICE TV,0.020634920634920634
20,Educational News,VICE Life,0.004761904761904762
21,Educational News,sequiser.vallier,0.0031746031746031746
22,Educational News,julio1988,0.0015873015873015873
23,Educational News,VICE,0.011111111111111112
24,Educational News,Larry King,0.0015873015873015873
25,Educational News,Trill Future,0.0015873015873015873
26,Educational News,LastWeekTonight,0.0015873015873015873
27,Educational News,Munchies,0.0031746031746031746
28,Educational News,Comedy Central Stand-Up,0.0031746031746031746
29,Educational News,Mia Hagerty,0.0015873015873015873
30,Educational News,PeterCaribbeanCruise,0.0015873015873015873
31,Educational News,Mia Mulder,0.05238095238095238
32,Educational News,Philosophy Tube,0.007936507936507936
33,Educational News,ContraPoints,0.007936507936507936
34,Educational News,let's talk about stuff.,0.0015873015873015873
35,Educational News,Samantha Lux,0.0015873015873015873
36,Educational News,hayitsmatthew,0.0015873015873015873
37,Educational News,FUNDACIÓN JUAN MARCH,0.0015873015873015873
38,Educational News,Questing Beast,0.0015873015873015873
39,Educational News,Jason Sliger,0.0015873015873015873
40,Educational News,Rufus Wainwright,0.004761904761904762
41,Educational News,Olive Toulouse,0.0015873015873015873
42,Educational News,lyric1228,0.0015873015873015873
43,Educational News,FastTheLatestNews,0.0015873015873015873
44,Educational News,BBC Radio 2,0.0015873015873015873
45,Educational News,Phil Robertson,0.0015873015873015873
46,Educational News,Xtra Magazine,0.0015873015873015873
47,Educational News,mjp221972,0.0015873015873015873
48,Educational News,onemediamusic,0.0015873015873015873
49,Educational News,lordravenhill,0.007936507936507936
50,Educational News,CBC,0.0015873015873015873
51,Educational News,Watch What Happens Live with Andy Cohen,0.006349206349206349
52,Educational News,92nd Street Y,0.006349206349206349
53,Educational News,PeopleTV,0.004761904761904762
54,Educational News,q on cbc,0.0015873015873015873
55,Educational News,The Fowler Show,0.03015873015873016
56,Educational News,YouTube,0.0015873015873015873
57,Educational News,David Guetta,0.0015873015873015873
58,Educational News,AA Speakers and More,0.0015873015873015873
59,Educational News,Saturday Night Live,0.006349206349206349
60,Educational News,The Office,0.0015873015873015873
61,Educational News,Chicago Humanities Festival,0.0031746031746031746
62,Educational News,WQED Pittsburgh,0.0015873015873015873
63,Educational News,Real Families,0.012698412698412698
64,Educational News,Trend Max,0.0031746031746031746
65,Educational News,Nicki Swift,0.0015873015873015873
66,Educational News,bigbangbonanza,0.0031746031746031746
67,Educational News,OWN,0.007936507936507936
68,Educational News,CBC News: The National,0.012698412698412698
69,Educational News,Congresswoman Cheri Bustos,0.0015873015873015873
70,Educational News,Jimmy Carr,0.007936507936507936
71,Educational News,House Committee on Education and Labor,0.0015873015873015873
72,Educational News,NBC News,0.009523809523809525
73,Educational News,Lewis Howes,0.0031746031746031746
74,Educational News,WLWT,0.0015873015873015873
75,Educational News,AFP News Agency,0.0015873015873015873
76,Educational News,MLive,0.0015873015873015873
77,Educational News,truTV,0.006349206349206349
78,Educational News,Montreal Gazette,0.0015873015873015873
79,Educational News,The Atheist Experience,0.0015873015873015873
80,Educational News,NBCLA,0.0031746031746031746
81,Educational News,LaughPlanet,0.004761904761904762
82,Educational News,PBS NewsHour,0.0031746031746031746
83,Educational News,BiolaUniversity,0.0015873015873015873
84,Educational News,Out & About Nashville,0.0015873015873015873
85,Educational News,socratesinthecity,0.004761904761904762
86,Educational News,Annenberg School for Communication,0.0015873015873015873
87,Educational News,Whitney Cummings,0.0015873015873015873
88,Educational News,Jimmy Kimmel Live,0.0031746031746031746
89,Educational News,RubinMuseum,0.0015873015873015873
90,Educational News,Pete Holmes,0.0015873015873015873
91,Educational News,The Wendy Williams Show,0.0031746031746031746
92,Educational News,The Late Late Show with James Corden,0.006349206349206349
93,Educational News,BDZ,0.0031746031746031746
94,Educational News,jimgaffigan,0.0015873015873015873
95,Educational News,Russell Brand,0.0015873015873015873
96,Educational News,LIVEKellyandRyan,0.0015873015873015873
97,Educational News,First We Feast,0.0015873015873015873
98,Educational News,Mississippi Public Broadcasting,0.004761904761904762
99,Educational News,BetterHelp,0.0015873015873015873
100,Educational News,The Zero Hour with RJ Eskow,0.014285714285714285
101,Educational News,The Royal Institution,0.004761904761904762
102,Educational News,Eric Garcetti,0.0031746031746031746
103,Educational News,9 News Australia,0.01746031746031746
104,Educational News,NewYork-Presbyterian Hospital,0.0031746031746031746
105,Educational News,KTLA 5,0.006349206349206349
106,Educational News,Fox News,0.025396825396825397
107,Educational News,WXYZ-TV Detroit | Channel 7,0.0015873015873015873
108,Educational News,BBC Newsnight,0.0031746031746031746
109,Educational News,AnthonyPadilla,0.0015873015873015873
110,Educational News,Fresh Lifestyle,0.0031746031746031746
111,Educational News,恕我直言,0.0015873015873015873
112,Educational News,Jaymes Mansfield,0.0015873015873015873
113,Educational News,Josh Gad,0.007936507936507936
114,Educational News,Isla Rose,0.0015873015873015873
115,Educational News,Tinder,0.0015873015873015873
116,Educational News,TEDx Talks,0.007936507936507936
117,Educational News,them,0.0031746031746031746
118,Educational News,GQ,0.011111111111111112
119,Educational News,Zooming In with Simone Gao,0.0015873015873015873
120,Educational News,The Boiler Room,0.0015873015873015873
121,Educational News,Financial Post,0.0015873015873015873
122,Educational News,WELT Documentary,0.0015873015873015873
123,Educational News,Anthony Pompliano,0.0031746031746031746
124,Educational News,Deep Look,0.0031746031746031746
125,Educational News,Vox,0.0015873015873015873
126,Educational News,NASA,0.0031746031746031746
127,Educational News,The Intercept,0.0015873015873015873
128,Educational News,George Carlin Official YouTube Channel,0.0015873015873015873
129,Educational News,CBC Vancouver,0.0031746031746031746
130,Educational News,Bleacher Report,0.0015873015873015873
131,Educational News,Russell Howard,0.0015873015873015873
132,Educational News,VICE News,0.004761904761904762
133,Educational News,Rolling Stone,0.0015873015873015873
134,Educational News,Sky News Australia,0.0015873015873015873
135,Educational News,ognet,0.0015873015873015873
136,Educational News,Matt Orfalea,0.0015873015873015873
137,Educational News,ABC TV & iview,0.0015873015873015873
138,Educational News,Fire Films,0.0015873015873015873
139,Educational News,Yahoo Finance,0.0015873015873015873
140,Educational News,The Hill,0.0015873015873015873
141,Educational News,TV One,0.0015873015873015873
142,Educational News,The Knockturnal,0.0015873015873015873
143,Educational News,The Actors Fund,0.0015873015873015873
144,Educational News,Wild 'N Out,0.0031746031746031746
145,Educational News,Paper Planes Collective LA,0.0015873015873015873
146,Educational News,RuPaul's Drag Race,0.0031746031746031746
147,Educational News,WIRED,0.004761904761904762
148,Educational News,Southern AIDS Coalition,0.0015873015873015873
149,Educational News,ET Canada,0.007936507936507936
150,Educational News,Studio 10,0.0031746031746031746
151,Educational News,JacobOlli,0.0015873015873015873
152,Educational News,OK! Magazine,0.0015873015873015873
153,Educational News,The Why,0.0015873015873015873
154,Educational News,This Happened,0.006349206349206349
155,Educational News,The Tonight Show Starring Jimmy Fallon,0.004761904761904762
156,Educational News,Crazy Youngster,0.0015873015873015873
157,Educational News,Top Famous Tube,0.0015873015873015873
158,Educational News,On Air With Ryan Seacrest,0.0015873015873015873
159,Educational News,blairingoutshow,0.0015873015873015873
160,Educational News,BuzzFeed Celeb,0.0031746031746031746
161,Educational News,Anna Kendrick Vietnam,0.0015873015873015873
162,Educational News,TheThings,0.0015873015873015873
163,Educational News,Enigma,0.007936507936507936
