,Category,Next Channel,Count
0,Socialist,Tom Nicholas,33
1,Socialist,Curio,1
2,Socialist,Max Joseph,3
3,Socialist,Mad Blender,1
4,Socialist,Peter Coffin,7
5,Socialist,TEDx Talks,21
6,Socialist,Then & Now,14
7,Socialist,Cuck Philosophy,23
8,Socialist,NCASVideo,6
9,Socialist,HooverInstitution,66
10,Socialist,Philosophy Guy,1
11,Socialist,GETchan,25
12,Socialist,Various Artists - Topic,1
13,Socialist,CaptainGoldenhind,2
14,Socialist,Nurettin Yilmaz,1
15,Socialist,tristeresaca,1
16,Socialist,Телеканал ОНТ,1
17,Socialist,Slovak Philharmonic - Topic,1
18,Socialist,Thought Slime,46
19,Socialist,YouTube,27
20,Socialist,Lindsay Ellis,8
21,Socialist,Office of Graduate Research Flinders University,1
22,Socialist,Texas A&M University,1
23,Socialist,zontulfilmsltd,1
24,Socialist,nottinghamscience,1
25,Socialist,MovementMaterial,23
26,Socialist,Graduate Research School Western Sydney University,2
27,Socialist,Lucy Kissick - The PhDiaries,1
28,Socialist,Pop Culture Detective,3
29,Socialist,cecile badenhorst,1
30,Socialist,The Rubin Report,1
31,Socialist,Simon Clark,3
32,Socialist,Atun-Shei Films,9
33,Socialist,azureScapegoat,13
34,Socialist,lilsimsie,3
35,Socialist,James Turner,3
36,Socialist,periodistadigital,1
37,Socialist,Carl's Sim Guides,3
38,Socialist,Elliandra,1
39,Socialist,Viki 1999,1
40,Socialist,Fantayzia,2
41,Socialist,Larry Bundy Jr,2
42,Socialist,EvanMCGaming,1
43,Socialist,TeleSUR English,6
44,Socialist,NBC News,12
45,Socialist,CBC News: The National,3
46,Socialist,MSNBC,32
47,Socialist,TED-Ed,12
48,Socialist,CARIBUPDATE CHANNEL,1
49,Socialist,Jason Smart Travel,1
50,Socialist,Vox,16
51,Socialist,The Laura Flanders Show,41
52,Socialist,CBC,25
53,Socialist,ShirleyFilms,2
54,Socialist,CNN,8
55,Socialist,Grow Successful,1
56,Socialist,TRT World,13
57,Socialist,ZIZOnline,1
58,Socialist,Hip Hughes,2
59,Socialist,Al Jazeera English,2
60,Socialist,RichardDWolff,15
61,Socialist,Levy Economics Institute,54
62,Socialist,Democracy At Work,16
63,Socialist,thepostarchive,4
64,Socialist,Town Hall Seattle,5
65,Socialist,Bertelsmann Foundation,15
66,Socialist,Moyers & Company,16
67,Socialist,The New School,35
68,Socialist,KET - Kentucky Educational Television,8
69,Socialist,Fox News,98
70,Socialist,YouTube Movies,14
71,Socialist,UnHerd,8
72,Socialist,Encore +,6
73,Socialist,Mexie,16
74,Socialist,LibertyPen,3
75,Socialist,Philosophy Tube,29
76,Socialist,Chomsky's Philosophy,5
77,Socialist,The Zero Hour with RJ Eskow,3
78,Socialist,PBS NewsHour,12
79,Socialist,Ed Mays,1
80,Socialist,LegalEagle,10
81,Socialist,MIT School of Architecture & Planning,4
82,Socialist,New Economic Thinking,3
83,Socialist,Valuetainment,3
84,Socialist,The Late Show with Stephen Colbert,15
85,Socialist,The Intercept,2
86,Socialist,Xexizy,1
87,Socialist,Simple History,2
88,Socialist,John D Ruddy,1
89,Socialist,The Aspen Institute,5
90,Socialist,NowThis World,3
91,Socialist,BBC News,1
92,Socialist,The Economist,14
93,Socialist,Xanderhal,1
94,Socialist,Shaun,21
95,Socialist,LastWeekTonight,39
96,Socialist,hbomberguy,18
97,Socialist,Three Arrows,12
98,Socialist,Patriot Act,27
99,Socialist,Big Joel,20
100,Socialist,Renegade Cut,3
101,Socialist,Jack Saint,3
102,Socialist,Fredrik Knudsen,2
103,Socialist,Quinton Reviews,3
104,Socialist,Some More News,5
105,Socialist,Schaffrillas Productions,1
106,Socialist,Kurtis Conner,1
107,Socialist,Russell Brand,13
108,Socialist,VICE,2
109,Socialist,PowerfulJRE,3
110,Socialist,Medlife Crisis,1
111,Socialist,The Sun,5
112,Socialist,Fit Of Vet,1
113,Socialist,Lewis Howes,2
114,Socialist,Tom Bilyeu,2
115,Socialist,Wim Hof,1
116,Socialist,Jocko Podcast,25
117,Socialist,Red Star Videos,6
118,Socialist,TED,5
119,Socialist,Professor Dave Explains,15
120,Socialist,TVO Docs,3
121,Socialist,Daryl Talks Games,3
122,Socialist,Real Time with Bill Maher,1
123,Socialist,John Anderson,1
124,Socialist,Official Jim Cornette,3
125,Socialist,Aba & Preach,1
126,Socialist,Rolling Stone,26
